"Country","KD","KW","KM","KD0.5","KW0.5","KM0.5","KD1.5","KW1.5","KM1.5"
"Afghanistan",35.61126486323556,35.56037716458173,42.92512563653636,17.80563243161778,17.780188582290865,21.46256281826818,53.41689729485334,53.3405657468726,64.38768845480453
"Albania",35.15477927891947,37.03038850877429,52.306743201677364,17.577389639459735,18.515194254387144,26.153371600838682,52.7321689183792,55.545582763161434,78.46011480251605
"Algeria",31.345232407048425,34.54995543474129,54.31958725490802,15.672616203524212,17.274977717370646,27.15979362745401,47.017848610572635,51.82493315211194,81.47938088236204
"AmericanSamoa",23.516727409666284,26.261060050644037,44.86783458738009,11.758363704833142,13.130530025322019,22.433917293690044,35.275091114499425,39.39159007596606,67.30175188107013
"Andorra",29.933992851421493,31.693229344576128,35.57622990214897,14.966996425710747,15.846614672288064,17.788114951074483,44.90098927713224,47.539844016864194,53.36434485322345
"Angola",22.58708821411998,25.56699603605451,36.050649453198986,11.29354410705999,12.783498018027254,18.025324726599493,33.880632321179974,38.350494054081764,54.07597417979848
"Anguilla",33.865455049973434,38.63419432978899,56.16597426489712,16.932727524986717,19.317097164894495,28.08298713244856,50.79818257496015,57.95129149468349,84.24896139734568
"AntiguaBarbuda",38.83576985512127,37.3550022747622,47.92654324296263,19.417884927560635,18.6775011373811,23.963271621481315,58.253654782681906,56.0325034121433,71.88981486444395
"Argentina",28.514708081058064,29.21000110880481,35.02931394303324,14.257354040529032,14.605000554402405,17.51465697151662,42.7720621215871,43.81500166320721,52.54397091454986
"Armenia",33.00099184540406,36.29006486341349,49.76470386830267,16.50049592270203,18.145032431706746,24.882351934151334,49.50148776810609,54.43509729512024,74.647055802454
"Aruba",22.866285494639015,25.698774672297965,33.505915032188945,11.433142747319508,12.849387336148983,16.752957516094472,34.29942824195852,38.54816200844695,50.25887254828342
"Australia",40.406019595162924,46.72776570694391,56.051846089034676,20.203009797581462,23.363882853471956,28.025923044517338,60.60902939274439,70.09164856041588,84.07776913355201
"Austria",36.797236615224904,37.875122517714765,42.81978431740575,18.398618307612452,18.937561258857382,21.409892158702874,55.195854922837356,56.81268377657214,64.22967647610862
"Azerbaijan",34.862781712477656,35.81692015130774,47.57168067366739,17.431390856238828,17.90846007565387,23.785840336833694,52.29417256871648,53.72538022696161,71.35752101050107
"Bahamas",24.246137384093235,26.626652437234515,36.63969984975786,12.123068692046617,13.313326218617258,18.31984992487893,36.369206076139854,39.939978655851775,54.95954977463679
"Bahrain",28.340854099618902,30.63911864633395,36.46546448746732,14.170427049809451,15.319559323166976,18.23273224373366,42.511281149428356,45.958677969500926,54.69819673120098
"Bangladesh",39.77923711934474,42.5081314364312,50.123382984081196,19.88961855967237,21.2540657182156,25.061691492040598,59.66885567901711,63.7621971546468,75.1850744761218
"Barbados",48.326428953962235,47.905580297270404,59.90821427571322,24.163214476981118,23.952790148635202,29.95410713785661,72.48964343094335,71.8583704459056,89.86232141356983
"Belarus",29.32385074513615,29.2165890149714,39.258156085120646,14.661925372568074,14.6082945074857,19.629078042560323,43.98577611770422,43.8248835224571,58.88723412768097
"Belgium",29.007826691058046,28.57875969126806,42.62321477158322,14.503913345529023,14.28937984563403,21.31160738579161,43.51174003658707,42.86813953690209,63.93482215737483
"Belize",31.510921495400584,31.64313282286317,40.09941155715287,15.755460747700292,15.821566411431585,20.049705778576435,47.26638224310088,47.464699234294756,60.1491173357293
"Benin",22.264890484374458,25.00338617896587,34.02349066227654,11.132445242187229,12.501693089482934,17.01174533113827,33.397335726561685,37.5050792684488,51.0352359934148
"Bermuda",30.556493631342306,31.954430374958527,40.324971100340726,15.278246815671153,15.977215187479263,20.162485550170363,45.83474044701346,47.931645562437794,60.48745665051109
"Bhutan",27.100853676685816,26.872137634101605,35.66629674909165,13.550426838342908,13.436068817050803,17.833148374545825,40.65128051502872,40.30820645115241,53.49944512363747
"Bolivia",28.563229523057366,28.586244705894178,36.59223000259887,14.281614761528683,14.293122352947089,18.296115001299434,42.844844284586046,42.87936705884127,54.8883450038983
"BosniaHerzegovina",37.819797206189584,39.283869272511,53.68346320053021,18.909898603094792,19.6419346362555,26.841731600265106,56.72969580928438,58.9258039087665,80.52519480079532
"Botswana",20.77131159251265,24.667092064214184,49.17669611563194,10.385655796256325,12.333546032107092,24.58834805781597,31.156967388768976,37.000638096321275,73.7650441734479
"Brazil",32.65050137163762,33.09796011121639,40.49739183344521,16.32525068581881,16.548980055608194,20.248695916722603,48.975752057456425,49.64694016682458,60.74608775016781
"BritishVirginIslands",27.858802256244868,29.081576709918515,41.23254294099771,13.929401128122434,14.540788354959258,20.616271470498855,41.7882033843673,43.62236506487777,61.84881441149656
"Brunei",28.695390183156434,29.6070872892529,37.67632003517057,14.347695091578217,14.80354364462645,18.838160017585285,43.04308527473465,44.41063093387935,56.51448005275586
"Bulgaria",36.24045286377227,36.418405546183045,50.193561400160235,18.120226431886135,18.209202773091523,25.096780700080117,54.3606792956584,54.62760831927457,75.29034210024035
"BurkinaFaso",26.918337404381287,32.00821484553989,48.776350504292125,13.459168702190643,16.004107422769945,24.388175252146063,40.37750610657193,48.01232226830983,73.1645257564382
"Burundi",26.86382746127916,27.144093354333016,42.51867759710462,13.43191373063958,13.572046677166508,21.25933879855231,40.295741191918744,40.71614003149952,63.778016395656934
"Cambodia",49.731368633560244,49.58646103105804,51.358107737602886,24.865684316780122,24.79323051552902,25.679053868801443,74.59705295034037,74.37969154658707,77.03716160640433
"Cameroon",28.946201695291357,33.93930732875571,48.8759447351102,14.473100847645679,16.969653664377855,24.4379723675551,43.41930254293703,50.90896099313356,73.3139171026653
"Canada",26.899969268915687,28.400050885674048,34.02735612238102,13.449984634457843,14.200025442837024,17.01367806119051,40.34995390337353,42.60007632851107,51.04103418357153
"CapeVerde",21.54558814865941,24.216354018468174,36.19349064619474,10.772794074329704,12.108177009234087,18.09674532309737,32.318382222989115,36.324531027702264,54.29023596929211
"CaymanIslands",38.141649433064714,40.80763978873856,55.98570504193289,19.070824716532357,20.40381989436928,27.992852520966444,57.21247414959707,61.21145968310785,83.97855756289934
"CentralAfricanRepublic",32.88605485176886,38.62686906845546,53.37056781591208,16.44302742588443,19.31343453422773,26.68528390795604,49.32908227765329,57.940303602683194,80.05585172386813
"Chad",30.786461877327625,37.985085452719616,51.11562665219099,15.393230938663812,18.992542726359808,25.557813326095495,46.17969281599144,56.977628179079424,76.67343997828648
"Chile",33.01797345130209,33.59430849362924,37.77499172110985,16.508986725651045,16.79715424681462,18.887495860554925,49.52696017695314,50.39146274044386,56.66248758166478
"China",16.550898577801807,16.541387743076886,33.21926584301594,8.275449288900903,8.270693871538443,16.60963292150797,24.82634786670271,24.81208161461533,49.82889876452391
"Colombia",48.683563871864294,48.56392077118464,54.86502718145473,24.341781935932147,24.28196038559232,27.432513590727364,73.02534580779644,72.84588115677695,82.29754077218209
"Comoros",25.47932416751202,26.212550975556148,42.488088858336695,12.73966208375601,13.106275487778074,21.244044429168348,38.21898625126803,39.31882646333422,63.73213328750504
"RepublicCongo",39.674686439178586,37.9547804875013,45.65348584682606,19.837343219589293,18.97739024375065,22.82674292341303,59.51202965876788,56.93217073125196,68.48022877023908
