,Date_reported,New_cases,SmoothedCases,cutDatesW
0,2020-01-03,0,1.146453858847238,0
1,2020-01-04,0,1.278140141644133,0
2,2020-01-05,0,1.4245639636064042,0
3,2020-01-06,0,1.587312426557517,0
4,2020-01-07,0,1.7681340324524404,0
5,2020-01-08,0,1.9689537031651951,0
6,2020-01-09,0,2.1918890027587894,0
7,2020-01-10,0,2.43926763237305,0
8,2020-01-11,0,2.7136462685593297,0
9,2020-01-12,0,3.017830816102814,0
10,2020-01-13,0,3.3548981460434786,0
11,2020-01-14,0,3.7282193886769326,0
12,2020-01-15,0,4.141484849729266,0
13,2020-01-16,0,4.598730615602138,0
14,2020-01-17,0,5.104366910526902,0
15,2020-01-18,0,5.663208264607963,0
16,2020-01-19,0,6.280505547042305,0
17,2020-01-20,0,6.961979913251761,0
18,2020-01-21,0,7.713858708246914,0
19,2020-01-22,0,8.542913361260482,0
20,2020-01-23,0,9.456499298564289,0
21,2020-01-24,0,10.462597892454992,0
22,2020-01-25,0,11.569860454716755,0
23,2020-01-26,0,12.787654272520287,0
24,2020-01-27,0,14.126110673793901,0
25,2020-01-28,0,15.59617509771989,0
26,2020-01-29,0,17.209659134304072,0
27,2020-01-30,0,18.979294485090506,0
28,2020-01-31,0,20.918788785215234,0
29,2020-02-01,0,23.04288321529144,0
30,2020-02-02,0,25.367411820281447,0
31,2020-02-03,0,27.909362441727776,0
32,2020-02-04,0,30.68693915967359,0
33,2020-02-05,0,33.71962613148075,0
34,2020-02-06,0,37.02825270671299,0
35,2020-02-07,0,40.63505969043324,0
36,2020-02-08,0,44.56376662177785,0
37,2020-02-09,0,48.83963993058919,0
38,2020-02-10,0,53.4895618322445,0
39,2020-02-11,0,58.54209981959288,0
40,2020-02-12,0,64.02757661103472,0
41,2020-02-13,0,69.97814041511992,0
42,2020-02-14,0,76.42783537441781,0
43,2020-02-15,0,83.41267205457687,0
44,2020-02-16,0,90.97069784814803,0
45,2020-02-17,0,99.14206716653263,0
46,2020-02-18,0,107.96911129694033,0
47,2020-02-19,0,117.49640780405747,0
48,2020-02-20,0,127.77084935776662,0
49,2020-02-21,0,138.8417118682328,0
50,2020-02-22,0,150.7607218074887,0
51,2020-02-23,0,163.5821225918203,0
52,2020-02-24,0,177.36273989131567,0
53,2020-02-25,0,192.16204572145847,0
54,2020-02-26,0,208.0422211562522,0
