,Date_reported,New_cases,SmoothedCases,cutDatesW
2997,2020-01-03,0,4.607257675302091e-05,0
2998,2020-01-04,0,6.069857482301102e-05,0
2999,2020-01-05,0,7.987481709708134e-05,0
3000,2020-01-06,0,0.00010498063165526028,0
3001,2020-01-07,0,0.00013779962569196482,0
3002,2020-01-08,0,0.0001806330433233875,0
3003,2020-01-09,0,0.0002364430631530673,0
3004,2020-01-10,0,0.00030903330503484467,0
3005,2020-01-11,0,0.0004032753693873431,0
3006,2020-01-12,0,0.0005253920519958256,0
3007,2020-01-13,0,0.0006833099878280647,0
3008,2020-01-14,0,0.0008870969005563909,0
3009,2020-01-15,0,0.0011495013856320597,0
3010,2020-01-16,0,0.001486616240339981,0
3011,2020-01-17,0,0.0019186897685071925,0
3012,2020-01-18,0,0.002471113208923628,0
3013,2020-01-19,0,0.003175616424026813,0
3014,2020-01-20,0,0.0040717081747005295,0
3015,2020-01-21,0,0.005208401607021799,0
3016,2020-01-22,0,0.00664626986646284,0
3017,2020-01-23,0,0.008459880881254045,0
3018,2020-01-24,0,0.010740664132810824,0
3019,2020-01-25,0,0.013600265437574085,0
3020,2020-01-26,0,0.017174448150105298,0
3021,2020-01-27,0,0.02162760048269091,0
3022,2020-01-28,0,0.027157908520454445,0
3023,2020-01-29,0,0.0340032526763593,0
3024,2020-01-30,0,0.04244788145498445,0
3025,2020-01-31,0,0.05282991016024956,0
3026,2020-02-01,0,0.06554968329089561,0
3027,2020-02-02,0,0.08107902755098748,0
3028,2020-02-03,0,0.09997140744074082,0
3029,2020-02-04,0,0.12287297712884643,0
3030,2020-02-05,0,0.1505345006648747,0
3031,2020-02-06,0,0.18382408759066707,0
3032,2020-02-07,0,0.2237406627889264,0
3033,2020-02-08,0,0.2714280582324587,0
3034,2020-02-09,0,0.3281895805809995,0
3035,2020-02-10,0,0.39550287288374414,0
3036,2020-02-11,0,0.475034851719043,0
3037,2020-02-12,0,0.5686564638403028,0
3038,2020-02-13,0,0.6784569698647807,0
3039,2020-02-14,0,0.8067574279575052,0
3040,2020-02-15,0,0.9561230191755927,0
3041,2020-02-16,0,1.129373829600321,0
3042,2020-02-17,0,1.3295936841101583,0
3043,2020-02-18,0,1.5601366141675963,0
3044,2020-02-19,0,1.8246305387961728,0
3045,2020-02-20,0,2.1269777454008816,0
3046,2020-02-21,0,2.4713517764593105,0
3047,2020-02-22,0,2.8621903603769607,0
3048,2020-02-23,0,3.304184070661024,0
3049,2020-02-24,0,3.802260457377891,0
3050,2020-02-25,0,4.361563468581723,0
3051,2020-02-26,0,4.987428066565745,0
3052,2020-02-27,0,5.6853500434747115,0
3053,2020-02-28,0,6.460951151648568,0
3054,2020-02-29,0,7.319939784218256,0
3055,2020-03-01,0,8.268067568695296,0
3056,2020-03-02,0,9.311082367952768,0
3057,2020-03-03,0,10.454678316118,0
3058,2020-03-04,0,11.70444364824427,0
3059,2020-03-05,0,13.065807208752014,0
3060,2020-03-06,0,14.543984640948329,0
3061,2020-03-07,0,16.143925364805728,0
3062,2020-03-08,1,17.87026153898334,0
3063,2020-03-09,0,19.727260272270108,0
3064,2020-03-10,0,21.71878039584948,0
3065,2020-03-11,2,23.848235127890874,0
3066,2020-03-12,0,26.118561953140045,0
3067,2020-03-13,6,28.532200999968236,0
3068,2020-03-14,4,31.09108312377784,0
3069,2020-03-15,3,33.796628797340276,0
3070,2020-03-16,8,36.64975876480009,0
3071,2020-03-17,21,39.65091723672376,0
3072,2020-03-18,20,42.80010818957409,0
3073,2020-03-19,28,46.09694508620556,0
3074,2020-03-20,15,49.54071405734398,0
3075,2020-03-21,20,53.13045028165711,0
3076,2020-03-22,68,56.86502697930729,0
3077,2020-03-23,0,60.7432560974526,0
3078,2020-03-24,81,64.76399942393415,0
3079,2020-03-25,29,68.92628852644937,0
3080,2020-03-26,72,73.22945158899222,0
3081,2020-03-27,92,77.67324491617985,0
3082,2020-03-28,21,82.25798661072947,0
3083,2020-03-29,232,86.9846897113634,0
3084,2020-03-30,69,91.85519191904336,0
3085,2020-03-31,-90,96.8722789490646,0
3086,2020-04-01,96,102.0397985341881,0
3087,2020-04-02,108,107.36276217674089,0
3088,2020-04-03,159,112.84743191008398,0
3089,2020-04-04,96,118.50138958371801,0
3090,2020-04-05,106,124.33358652992365,0
3091,2020-04-06,139,130.35437189798984,0
3092,2020-04-07,79,136.57549844583903,0
3093,2020-04-08,94,143.01010514564518,0
3094,2020-04-09,201,149.672676573902,0
3095,2020-04-10,274,156.57897969841088,0
3096,2020-04-11,169,163.74597932358634,0
3097,2020-04-12,250,171.19173408851975,0
3098,2020-04-13,236,178.93527550600953,0
3099,2020-04-14,67,186.99647306225822,0
3100,2020-04-15,76,195.39588884464666,0
3101,2020-04-16,127,204.1546255099724,0
3102,2020-04-17,126,213.2941716323772,0
3103,2020-04-18,128,222.836248567941,0
3104,2020-04-19,206,232.80266293577523,0
3105,2020-04-20,182,243.21516864323905,0
3106,2020-04-21,171,254.09534208130648,0
3107,2020-04-22,185,265.4644736965876,0
3108,2020-04-23,172,277.34347862592375,0
3109,2020-04-24,207,289.7528284794146,0
3110,2020-04-25,205,302.71250570357114,0
3111,2020-04-26,320,316.2419812759523,0
3112,2020-04-27,261,330.36021580526597,0
3113,2020-04-28,237,345.08568346530643,0
3114,2020-04-29,218,360.436417604181,0
3115,2020-04-30,352,376.43007636560026,0
3116,2020-05-01,262,393.08402625533773,0
3117,2020-05-02,296,410.4154412961427,0
3118,2020-05-03,499,428.4414152444929,0
3119,2020-05-04,279,447.17908429135207,0
3120,2020-05-05,383,466.6457577280492,0
3121,2020-05-06,305,486.85905421201426,0
3122,2020-05-07,640,507.837041493896,0
3123,2020-05-08,346,529.5983777412566,0
3124,2020-05-09,497,552.1624528852935,0
3125,2020-05-10,595,575.5495286955337,0
3126,2020-05-11,444,599.780876524029,0
3127,2020-05-12,568,624.8789118295648,0
3128,2020-05-13,550,650.8673246737181,0
3129,2020-05-14,659,677.7712053618695,0
3130,2020-05-15,658,705.6171642800937,0
3131,2020-05-16,680,734.4334447601784,0
3132,2020-05-17,606,764.2500275070232,0
3133,2020-05-18,723,795.0987247727701,0
3134,2020-05-19,635,827.0132620963038,0
3135,2020-05-20,721,860.0293450881512,0
3136,2020-05-21,640,894.1847084763431,0
3137,2020-05-22,752,929.5191444861167,0
3138,2020-05-23,643,966.0745076502559,0
3139,2020-05-24,801,1003.8946933751057,0
3140,2020-05-25,1046,1043.0255880470024,0
3141,2020-05-26,998,1083.5149891678193,0
3142,2020-05-27,806,1125.4124949524228,0
3143,2020-05-28,1022,1168.7693639819443,0
3144,2020-05-29,1101,1213.6383468422384,0
3145,2020-05-30,1262,1260.0734931248326,0
3146,2020-05-31,1322,1308.129938649318,0
3147,2020-06-01,1548,1357.863679188847,0
3148,2020-06-02,1147,1409.3313382426454,0
3149,2020-06-03,1110,1462.5899373965117,0
3150,2020-06-04,1340,1517.696678442763,0
3151,2020-06-05,1521,1574.7087466041953,0
3152,2020-06-06,1766,1633.6831438488794,0
3153,2020-06-07,1515,1694.6765603448225,0
3154,2020-06-08,1392,1757.745290565912,0
3155,2020-06-09,1209,1822.9451984374116,0
3156,2020-06-10,1483,1890.331733251078,0
3157,2020-06-11,1359,1959.9599949737647,0
3158,2020-06-12,1604,2031.8848441409218,0
3159,2020-06-13,1530,2106.1610479197934,0
3160,2020-06-14,1646,2182.843450322315,0
3161,2020-06-15,1888,2261.987151136312,0
3162,2020-06-16,2193,2343.6476751226974,0
3163,2020-06-17,2124,2427.8811105877435,0
3164,2020-06-18,1868,2514.744194758364,0
3165,2020-06-19,2115,2604.294322612191,0
3166,2020-06-20,3171,2696.589456053136,0
3167,2020-06-21,3059,2791.6879116410555,0
3168,2020-06-22,2357,2889.6480074934016,0
3169,2020-06-23,3019,2990.5275534344,0
3170,2020-06-24,2531,3094.3831728748673,0
3171,2020-06-25,2389,3201.2694501129454,0
3172,2020-06-26,3541,3311.237902555668,0
3173,2020-06-27,3486,3424.3357835396846,0
3174,2020-06-28,3843,3540.604727716988,0
3175,2020-06-29,4149,3660.0792570962253,0
3176,2020-06-30,3178,3782.7851715220504,0
3177,2020-07-01,3274,3908.7378523807174,0
3178,2020-07-02,2803,4037.9405124163573,0
3179,2020-07-03,4163,4170.38242754899,0
3180,2020-07-04,4101,4306.037188374494,0
3181,2020-07-05,3395,4444.861009530999,0
3182,2020-07-06,3884,4586.791134331333,0
3183,2020-07-07,3721,4731.7443700471595,0
3184,2020-07-08,3171,4879.615786106996,0
3185,2020-07-09,4213,5030.277603410639,0
3186,2020-07-10,4144,5183.578298182357,0
3187,2020-07-11,5335,5339.341938530811,0
3188,2020-07-12,6803,5497.367766417309,0
3189,2020-07-13,4586,5657.430032318674,0
3190,2020-07-14,5083,5819.278084755614,0
3191,2020-07-15,3832,5982.636712262716,0
3192,2020-07-16,5621,6147.206731482036,0
3193,2020-07-17,5271,6312.665811999045,0
3194,2020-07-18,8037,6478.6695263801275,0
3195,2020-07-19,8934,6644.852612628967,0
3196,2020-07-20,8560,6810.83043590816,0
3197,2020-07-21,6578,6976.200636771369,0
3198,2020-07-22,6727,7140.544954170012,0
3199,2020-07-23,7033,7303.431212948914,0
3200,2020-07-24,7390,7464.415467213294,0
