,Date_reported,New_cases,SmoothedCases,cutDatesPV
0,2020-01-03,0,0.0004586577962538687,0
1,2020-01-04,0,0.0005839594857400019,0
2,2020-01-05,0,0.0007405717927549517,0
3,2020-01-06,0,0.0009352818432477509,0
4,2020-01-07,0,0.0011759968279745519,0
5,2020-01-08,0,0.001471815773981005,0
6,2020-01-09,0,0.001833069270999913,0
7,2020-01-10,0,0.002271316210792024,0
8,2020-01-11,0,0.0027992881811295532,0
9,2020-01-12,0,0.003430776559374282,0
10,2020-01-13,0,0.004180465817778461,0
11,2020-01-14,0,0.005063730540175377,0
12,2020-01-15,0,0.0060964347726478905,0
13,2020-01-16,0,0.007294802283659264,0
14,2020-01-17,0,0.008675466772673368,0
15,2020-01-18,0,0.01025586361745927,0
16,2020-01-19,0,0.012055190798013446,0
17,2020-01-20,0,0.014096247399554972,0
18,2020-01-21,0,0.016408554638388338,0
19,2020-01-22,0,0.019033277634851905,0
20,2020-01-23,0,0.022030597097579683,0
21,2020-01-24,0,0.025490329550154466,0
22,2020-01-25,0,0.029546763391387412,0
23,2020-01-26,0,0.034398866060603446,0
24,2020-01-27,0,0.04033722391622878,0
25,2020-01-28,0,0.04777929834905043,0
26,2020-01-29,0,0.05731481373119831,0
27,2020-01-30,0,0.06976332625918458,0
28,2020-01-31,0,0.08624624490164455,0
29,2020-02-01,0,0.10827576983132928,0
30,2020-02-02,0,0.13786335968382343,0
31,2020-02-03,0,0.17765041405863624,0
32,2020-02-04,1,0.23106383841796857,0
33,2020-02-05,0,0.3024990229395903,0
34,2020-02-06,0,0.39753249683896197,0
35,2020-02-07,0,0.5231661033758005,0
36,2020-02-08,0,0.6881039745665158,0
37,2020-02-09,0,0.903062874032688,0
38,2020-02-10,0,1.1811156356507235,0
39,2020-02-11,0,1.538066475628709,0
40,2020-02-12,0,1.9928559201195193,0
41,2020-02-13,0,2.5679919908786366,0
42,2020-02-14,0,3.2900031405194836,0
43,2020-02-15,0,4.189907224347709,0
44,2020-02-16,0,5.303689515140553,0
45,2020-02-17,0,6.672781365333992,0
46,2020-02-18,0,8.344529531091972,0
47,2020-02-19,0,10.372644312630783,0
48,2020-02-20,0,12.817612449737162,0
49,2020-02-21,0,15.747058069922058,0
50,2020-02-22,0,19.23603188521248,0
51,2020-02-23,0,23.36720530021326,0
52,2020-02-24,0,28.230942243486716,0
53,2020-02-25,0,33.92521758879925,0
54,2020-02-26,0,40.5553473350669,0
55,2020-02-27,0,48.23349272765896,0
56,2020-02-28,0,57.077898798946435,0
57,2020-02-29,0,67.2118280256402,0
58,2020-03-01,0,78.7621526093452,0
59,2020-03-02,18,91.85757490317285,0
60,2020-03-03,19,106.62645522212401,0
61,2020-03-04,34,123.1942399649072,0
62,2020-03-05,53,141.68050061829734,0
63,2020-03-06,81,162.1956154218711,0
64,2020-03-07,110,184.83714943664222,0
65,2020-03-08,27,209.68601425730225,0
66,2020-03-09,64,236.80251401610593,0
67,2020-03-10,94,266.22240772218635,0
68,2020-03-11,99,297.9531372648495,0
69,2020-03-12,174,331.9703834869551,0
70,2020-03-13,250,368.2151177169735,0
71,2020-03-14,338,406.5913115736901,0
72,2020-03-15,179,446.9644528946964,0
73,2020-03-16,214,489.1609902546387,0
74,2020-03-17,387,532.9687935961634,0
75,2020-03-18,422,578.1386757743096,0
76,2020-03-19,534,624.3869719233444,0
77,2020-03-20,713,671.3991237497836,1
78,2020-03-21,662,718.8341677649474,0
79,2020-03-22,469,766.3299837560833,0
80,2020-03-23,486,813.5091257819447,0
81,2020-03-24,1328,859.9850353009103,0
82,2020-03-25,1195,905.3684263448039,0
83,2020-03-26,1199,949.2736364049249,0
84,2020-03-27,1363,991.324753115895,0
85,2020-03-28,1518,1031.161353955021,0
86,2020-03-29,844,1068.4437311125437,0
87,2020-03-30,683,1102.857512897752,0
88,2020-03-31,1738,1134.1176327671171,0
89,2020-04-01,1681,1161.9716337255916,0
90,2020-04-02,1516,1186.20232646858,0
91,2020-04-03,1478,1206.629842080674,0
92,2020-04-04,1694,1223.1131333181377,0
93,2020-04-05,922,1235.5509824911478,0
94,2020-04-06,665,1243.8825697319958,0
95,2020-04-07,1934,1248.0876447658895,0
96,2020-04-08,1515,1248.1863304631938,0
97,2020-04-09,1598,1244.2385698996625,0
98,2020-04-10,2239,1236.3432127309204,0
99,2020-04-11,2336,1224.6367234072713,0
100,2020-04-12,1029,1209.2914846357576,0
101,2020-04-13,524,1190.5136655117217,0
102,2020-04-14,537,1168.5406253357817,0
103,2020-04-15,1560,1143.637831290859,0
104,2020-04-16,1633,1116.0952805047343,0
105,2020-04-17,1674,1086.2234339269187,0
106,2020-04-18,1394,1054.3486900649064,0
107,2020-04-19,722,1020.8084499455897,0
108,2020-04-20,443,985.9458495139663,0
109,2020-04-21,1276,950.1042606864613,0
110,2020-04-22,1270,913.6216858749592,0
111,2020-04-23,777,876.8251912471235,0
112,2020-04-24,976,840.0255394398235,0
113,2020-04-25,811,803.512191070615,0
114,2020-04-26,388,767.5488445787572,0
115,2020-04-27,205,732.3696744742556,0
116,2020-04-28,755,698.1764084171289,1
117,2020-04-29,569,665.1363539357219,0
118,2020-04-30,522,633.3814471797931,0
119,2020-05-01,586,603.0083509591074,0
120,2020-05-02,237,574.0795803030627,0
121,2020-05-03,286,546.6255843193458,0
122,2020-05-04,140,520.6476669069702,0
123,2020-05-05,670,496.1215894492791,0
124,2020-05-06,546,473.00166904087155,0
125,2020-05-07,552,451.22516833224154,0
