,Date_reported,New_cases,SmoothedCases,cutDatesPV
11988,2020-01-03,0,0.0356091063432312,0
11989,2020-01-04,0,0.042003029298802855,0
11990,2020-01-05,0,0.049428513415013045,0
11991,2020-01-06,0,0.058023453242165866,0
11992,2020-01-07,0,0.06793756134041601,0
11993,2020-01-08,0,0.07933192921924817,0
11994,2020-01-09,0,0.09237824752626059,0
11995,2020-01-10,0,0.10725767726633478,0
11996,2020-01-11,0,0.12415939761500554,0
11997,2020-01-12,0,0.1432789039916718,0
11998,2020-01-13,0,0.16481619494298902,0
11999,2020-01-14,0,0.18897407018695792,0
12000,2020-01-15,0,0.21595686641767808,0
12001,2020-01-16,0,0.24597008282891333,0
12002,2020-01-17,0,0.2792214943215117,0
12003,2020-01-18,0,0.31592451526815635,0
12004,2020-01-19,0,0.3563047574431081,0
12005,2020-01-20,0,0.4006109180066872,0
12006,2020-01-21,0,0.44913133210059114,0
12007,2020-01-22,0,0.5022177241093203,0
12008,2020-01-23,0,0.56031788666791,0
12009,2020-01-24,0,0.6240192026639904,0
12010,2020-01-25,0,0.6941050999429653,0
12011,2020-01-26,0,0.7716266902669964,0
12012,2020-01-27,0,0.8579919944074357,0
12013,2020-01-28,0,0.9550752968608051,0
12014,2020-01-29,0,1.0653493102922686,0
12015,2020-01-30,0,1.1920429649347681,0
12016,2020-01-31,0,1.33932777369535,0
12017,2020-02-01,1,1.5125358584209654,0
12018,2020-02-02,0,1.7184128509342114,0
12019,2020-02-03,0,1.9654089927455458,0
12020,2020-02-04,1,2.2640118321861666,0
12021,2020-02-05,18,2.6271239330366503,0
12022,2020-02-06,0,3.0704889343860176,0
12023,2020-02-07,1,3.6131691019627765,0
12024,2020-02-08,0,4.2780771469126435,0
12025,2020-02-09,0,5.092564516650359,0
12026,2020-02-10,3,6.089067540631701,0
12027,2020-02-11,1,7.3058116990338755,0
12028,2020-02-12,1,8.787572834313362,0
12029,2020-02-13,4,10.586492308849735,0
12030,2020-02-14,1,12.762940897397788,0
12031,2020-02-15,1,15.38642357077904,0
12032,2020-02-16,0,18.53651426858627,0
12033,2020-02-17,0,22.303806279607596,0
12034,2020-02-18,0,26.79085997311864,0
12035,2020-02-19,1,32.11312539792128,0
12036,2020-02-20,0,38.39981276095117,0
12037,2020-02-21,0,45.7946791160061,0
12038,2020-02-22,0,54.45669487330776,0
12039,2020-02-23,2,64.56054915880814,0
12040,2020-02-24,0,76.29694882674659,0
12041,2020-02-25,6,89.87266232099596,0
12042,2020-02-26,2,105.51025689220667,0
12043,2020-02-27,3,123.44747624637746,0
12044,2020-02-28,2,143.93620589010214,0
12045,2020-02-29,8,167.24097562381567,0
12046,2020-03-01,12,193.63695318411223,0
12047,2020-03-02,4,223.40739028353443,0
12048,2020-03-03,20,256.84049251198724,0
12049,2020-03-04,41,294.22569792275897,0
12050,2020-03-05,57,335.8493656717067,0
12051,2020-03-06,56,381.989895689363,0
12052,2020-03-07,49,432.9123227266953,0
12053,2020-03-08,83,488.8624526927523,0
12054,2020-03-09,68,550.0606352339836,0
12055,2020-03-10,55,616.6952930009701,0
12056,2020-03-11,148,688.9163538107332,0
12057,2020-03-12,265,766.8287555728957,0
12058,2020-03-13,403,850.486213922463,0
12059,2020-03-14,484,939.8854574677445,0
12060,2020-03-15,478,1034.9611439457929,0
12061,2020-03-16,352,1135.5816710577085,0
12062,2020-03-17,441,1241.5460872671638,0
12063,2020-03-18,602,1352.5822896833356,0
12064,2020-03-19,783,1468.3466680637378,0
12065,2020-03-20,984,1588.4253162410166,0
12066,2020-03-21,1040,1712.3368857537707,0
12067,2020-03-22,1253,1839.5371025865659,0
12068,2020-03-23,1183,1969.4249087030937,0
12069,2020-03-24,1361,2101.35012798918,0
12070,2020-03-25,2289,2234.6224941969317,0
12071,2020-03-26,2353,2368.5218196282563,1
12072,2020-03-27,2666,2502.3090308129626,0
12073,2020-03-28,3039,2635.2377543941857,0
12074,2020-03-29,3154,2766.566105572696,0
12075,2020-03-30,2774,2895.5683149983533,0
12076,2020-03-31,2818,3021.545829450847,0
12077,2020-04-01,4195,3143.837537708116,0
12078,2020-04-02,4463,3261.8288054229115,0
12079,2020-04-03,4891,3374.959050426615,0
12080,2020-04-04,4824,3482.7276505467976,0
12081,2020-04-05,4853,3584.698046831056,0
12082,2020-04-06,3976,3680.4999824199817,0
12083,2020-04-07,3556,3769.829897155184,0
12084,2020-04-08,5273,3852.449576081405,0
12085,2020-04-09,5477,3928.1832220960687,0
12086,2020-04-10,5146,3996.913185228613,0
12087,2020-04-11,4875,4058.574630080723,0
12088,2020-04-12,4327,4113.149456298055,0
12089,2020-04-13,3585,4160.659802993159,0
12090,2020-04-14,3507,4201.161466262726,0
12091,2020-04-15,4203,4234.737539878279,0
12092,2020-04-16,4335,4261.492554443709,0
12093,2020-04-17,5070,4281.54734228533,0
12094,2020-04-18,5292,4295.034797289366,0
12095,2020-04-19,4977,4302.096634566208,0
12096,2020-04-20,4744,4302.881188207102,0
12097,2020-04-21,3881,4297.542220519942,0
12098,2020-04-22,4441,4286.238656750169,0
12099,2020-04-23,4795,4269.135108693426,0
12100,2020-04-24,5517,4246.403011399036,0
12101,2020-04-25,5167,4218.222171144655,0
12102,2020-04-26,4961,4184.782510933722,0
12103,2020-04-27,3757,4146.285801913264,0
12104,2020-04-28,3476,4102.947184438146,0
12105,2020-04-29,4739,4054.9963093455344,0
12106,2020-04-30,4719,4002.677966036717,0
12107,2020-05-01,5433,3946.252106416565,0
12108,2020-05-02,4961,3885.9932195735073,0
12109,2020-05-03,4766,3822.189058198277,0
12110,2020-05-04,3258,3755.138761185222,0
12111,2020-05-05,3002,3685.1504550102377,0
12112,2020-05-06,3398,3612.538447189013,0
12113,2020-05-07,3686,3537.62014683724,0
12114,2020-05-08,3832,3460.7128591947976,0
12115,2020-05-09,3787,3382.130602740848,0
12116,2020-05-10,3064,3302.181089683848,0
12117,2020-05-11,2170,3221.1629942264367,0
12118,2020-05-12,2337,3139.363609644027,0
12119,2020-05-13,3612,3057.056966808028,0
12120,2020-05-14,3410,2974.5024554791235,0
12121,2020-05-15,3330,2891.9439577055355,0
12122,2020-05-16,2630,2809.6094721113864,0
12123,2020-05-17,2530,2727.711180653838,0
12124,2020-05-18,2082,2646.4458871309434,0
12125,2020-05-19,1837,2565.995740482467,1
12126,2020-05-20,2581,2486.529146421616,0
12127,2020-05-21,3063,2408.201768362266,0
12128,2020-05-22,2719,2331.157522695694,0
12129,2020-05-23,2567,2255.5294835408104,0
12130,2020-05-24,2057,2181.4406271197663,0
12131,2020-05-25,1532,2109.0043646239787,0
12132,2020-05-26,1373,2038.3248334122927,0
12133,2020-05-27,1625,1969.4969381529133,0
12134,2020-05-28,2070,1902.6061546625972,0
12135,2020-05-29,1825,1837.7281284213468,0
12136,2020-05-30,1757,1774.9281159614068,0
12137,2020-05-31,1531,1714.2603297096668,0
12138,2020-06-01,1132,1655.7672548476692,0
12139,2020-06-02,1080,1599.4790100798,0
12140,2020-06-03,1439,1545.4128228882012,0
12141,2020-06-04,1492,1493.57268418385,0
12142,2020-06-05,1369,1443.9492377449158,0
12143,2020-06-06,1249,1396.5199471565415,0
12144,2020-06-07,1123,1351.2495679554336,0
12145,2020-06-08,804,1308.0909362459622,0
12146,2020-06-09,722,1266.986068131883,0
12147,2020-06-10,1099,1227.8675478231346,0
12148,2020-06-11,1165,1190.6601670933812,0
12149,2020-06-12,1196,1155.2827656443542,0
12150,2020-06-13,1013,1121.6502115082549,0
12151,2020-06-14,1053,1089.6754533621818,0
12152,2020-06-15,886,1059.2715728358419,0
12153,2020-06-16,826,1030.3537646777017,0
12154,2020-06-17,1045,1002.841175931995,0
12155,2020-06-18,1103,976.6585418188253,0
12156,2020-06-19,1017,951.7375653909999,0
12157,2020-06-20,1022,928.0179997172135,0
12158,2020-06-21,993,905.4484046607391,0
12159,2020-06-22,683,883.9865645676055,0
12160,2020-06-23,636,863.5995676031412,0
12161,2020-06-24,899,844.2635613501524,0
12162,2020-06-25,883,825.9632119299223,0
12163,2020-06-26,777,808.6909047436093,0
12164,2020-06-27,726,792.4457334925265,0
12165,2020-06-28,666,777.232330100323,0
12166,2020-06-29,653,763.0595913633273,0
12167,2020-06-30,449,749.9393585908001,0
12168,2020-07-01,724,737.8851043094753,0
12169,2020-07-02,623,726.9106755761949,0
12170,2020-07-03,652,717.0291369591661,0
12171,2020-07-04,606,708.251748283948,0
12172,2020-07-05,568,700.5871033144165,0
12173,2020-07-06,399,694.0404461858974,0
12174,2020-07-07,558,688.6131731441387,0
12175,2020-07-08,714,684.3025184408833,0
12176,2020-07-09,609,681.1014154972768,0
12177,2020-07-10,713,678.998517988323,0
12178,2020-07-11,722,677.9783605495575,0
12179,2020-07-12,568,678.0216354891132,0
12180,2020-07-13,459,679.1055602397544,0
12181,2020-07-14,366,681.2043102570162,0
12182,2020-07-15,740,684.2894935390317,0
12183,2020-07-16,705,688.3306457290558,0
12184,2020-07-17,777,693.2957286351856,0
12185,2020-07-18,712,699.1516197023008,0
12186,2020-07-19,582,705.8645852159403,0
12187,2020-07-20,505,713.4007355114188,0
12188,2020-07-21,448,721.7264659037212,0
12189,2020-07-22,830,730.8088921459364,0
12190,2020-07-23,788,740.6162936746828,0
12191,2020-07-24,816,751.1185814323035,0
12192,2020-07-25,808,762.2878094109226,0
12193,2020-07-26,774,774.0987500169807,0
12194,2020-07-27,530,786.5295527238194,0
12195,2020-07-28,563,799.5625031384415,0
12196,2020-07-29,869,813.1848955037617,0
12197,2020-07-30,856,827.3900258251316,0
12198,2020-07-31,1062,842.1783053886033,0
12199,2020-08-01,946,857.5584856816935,0
12200,2020-08-02,698,873.5489760090602,0
12201,2020-08-03,559,890.1792249079402,0
12202,2020-08-04,564,907.4911264119896,0
12203,2020-08-05,1060,925.5404029751021,0
12204,2020-08-06,1066,944.3979091925502,0
12205,2020-08-07,1092,964.1507951034986,0
12206,2020-08-08,1105,984.9034655490325,0
12207,2020-08-09,973,1006.7782734239908,0
12208,2020-08-10,710,1029.9158901788335,0
12209,2020-08-11,627,1054.475306870883,0
12210,2020-08-12,1499,1080.6334334436026,0
12211,2020-08-13,1378,1108.5842824384022,0
12212,2020-08-14,1242,1138.5377454000084,0
12213,2020-08-15,1156,1170.7179948769826,0
12214,2020-08-16,1185,1205.3615708841965,0
12215,2020-08-17,714,1242.715236455777,0
12216,2020-08-18,602,1283.0337107476519,0
12217,2020-08-19,1298,1326.5774082150392,0
12218,2020-08-20,1116,1373.610326866602,0
12219,2020-08-21,1282,1424.398235794239,0
12220,2020-08-22,1498,1479.2073106765235,0
12221,2020-08-23,1218,1538.303354737263,0
12222,2020-08-24,842,1601.9517212102842,0
12223,2020-08-25,831,1670.4180218316694,0
12224,2020-08-26,1301,1743.9696650379892,0
12225,2020-08-27,1270,1822.8782188695204,0
12226,2020-08-28,1388,1907.4225391968594,0
12227,2020-08-29,1591,1997.892546523012,0
12228,2020-08-30,1632,2094.593477428767,0
12229,2020-08-31,1230,2197.8503831773887,0
12230,2020-09-01,1171,2308.0126016068753,0
12231,2020-09-02,1513,2425.457892605293,0
12232,2020-09-03,2288,2550.595905212271,0
12233,2020-09-04,3077,2683.8706381630427,0
12234,2020-09-05,3152,2825.761567169656,0
12235,2020-09-06,3092,2976.783142185295,0
12236,2020-09-07,2551,3137.482406086219,0
12237,2020-09-08,2465,3308.434551358833,0
12238,2020-09-09,3931,3490.2363112159337,0
12239,2020-09-10,3370,3683.497172886099,0
12240,2020-09-11,3365,3888.82849964869,0
12241,2020-09-12,3628,4106.830749962892,0
12242,2020-09-13,3324,4338.079081839731,0
12243,2020-09-14,2670,4583.1077233905835,0
12244,2020-09-15,2154,4842.393571351458,0
12245,2020-09-16,3428,5116.339543813922,0
12246,2020-09-17,3551,5405.258257501557,0
12247,2020-09-18,4399,5709.356620663938,0
12248,2020-09-19,4675,6028.721927987383,0
12249,2020-09-20,4973,6363.310012973381,0
12250,2020-09-21,4889,6712.935956398227,0
12251,2020-09-22,5340,7077.267768424839,0
12252,2020-09-23,5627,7455.823359651794,0
12253,2020-09-24,6441,7847.970997012815,0
12254,2020-09-25,7096,8252.93330918065,0
12255,2020-09-26,7682,8669.79476900272,0
12256,2020-09-27,7318,9097.512444055406,0
12257,2020-09-28,6810,9534.929677394248,0
12258,2020-09-29,7023,9980.792245551069,0
12259,2020-09-30,9983,10433.766445744763,0
12260,2020-10-01,10366,10892.458494101316,0
12261,2020-10-02,12717,11355.434575050882,0
12262,2020-10-03,13357,11821.240870994838,0
12263,2020-10-04,13854,12288.422921021061,0
12264,2020-10-05,11667,12755.543706247203,0
12265,2020-10-06,11953,13221.199933881539,0
12266,2020-10-07,16753,13684.03608737098,0
12267,2020-10-08,17250,14142.755919955072,0
12268,2020-10-09,18573,14596.131186770885,0
12269,2020-10-10,18425,15043.00752941506,0
12270,2020-10-11,15893,15482.307540034317,0
12271,2020-10-12,12648,15913.031133988805,0
12272,2020-10-13,12202,16334.253446691908,0
12273,2020-10-14,19671,16745.12053882891,0
12274,2020-10-15,19116,17144.843244057512,0
12275,2020-10-16,19920,17532.689525510617,0
12276,2020-10-17,18607,17907.97572448344,0
12277,2020-10-18,17915,18270.05709022659,0
12278,2020-10-19,14882,18618.3179779985,0
12279,2020-10-20,14311,18952.162097653374,0
12280,2020-10-21,25872,19271.0031906496,0
12281,2020-10-22,25613,19574.256511916174,0
12282,2020-10-23,25714,19861.331495444818,0
12283,2020-10-24,23475,20131.62598797041,0
12284,2020-10-25,21694,20384.522441102927,0
12285,2020-10-26,16434,20619.386454691434,0
12286,2020-10-27,15896,20835.568057834305,0
