,Date_reported,New_cases,SmoothedCases,cutDatesW
13986,2020-01-03,0,0.06580320176221142,0
13987,2020-01-04,0,0.07555677506070033,0
13988,2020-01-05,0,0.08654883680572897,0
13989,2020-01-06,0,0.09888736010884953,0
13990,2020-01-07,0,0.11267840444249495,0
13991,2020-01-08,0,0.12802311954051013,0
13992,2020-01-09,0,0.14501429050750259,0
13993,2020-01-10,0,0.1637324970370046,0
13994,2020-01-11,0,0.18424201112996103,0
13995,2020-01-12,0,0.2065866169431766,0
13996,2020-01-13,0,0.2307856009485239,0
13997,2020-01-14,0,0.25683022703097946,0
13998,2020-01-15,0,0.2846810754710491,0
13999,2020-01-16,0,0.31426668301163074,0
14000,2020-01-17,0,0.34548397059287383,0
14001,2020-01-18,0,0.3782009854668169,0
14002,2020-01-19,0,0.41226251874015435,0
14003,2020-01-20,1,0.44749919660563664,0
14004,2020-01-21,0,0.48374069856477436,0
14005,2020-01-22,0,0.5208338507206498,0
14006,2020-01-23,0,0.5586665057913375,0
14007,2020-01-24,0,0.5971983899502807,0
14008,2020-01-25,5,0.6365005128331744,0
14009,2020-01-26,1,0.6768053507505216,0
14010,2020-01-27,0,0.7185708812509471,0
14011,2020-01-28,1,0.7625627348818982,0
14012,2020-01-29,0,0.8099603121025563,0
14013,2020-01-30,0,0.8624947755666773,0
14014,2020-01-31,0,0.9226294677190414,0
14015,2020-02-01,0,0.9937966289020025,0
14016,2020-02-02,1,1.0807084178017377,0
14017,2020-02-03,1,1.1897652819400206,0
14018,2020-02-04,3,1.3295908017600393,0
14019,2020-02-05,4,1.5117293282546191,0
14020,2020-02-06,2,1.751551104231825,0
14021,2020-02-07,0,2.069419097058058,0
14022,2020-02-08,0,2.4921823836829384,0
14023,2020-02-09,1,3.0550724064481627,0
14024,2020-02-10,0,3.8040903956739003,0
14025,2020-02-11,0,4.798986173461607,0
14026,2020-02-12,0,6.116939619912332,0
14027,2020-02-13,0,7.8570652354772,0
14028,2020-02-14,2,10.14586611267713,0
14029,2020-02-15,1,13.143764573410389,0
14030,2020-02-16,1,17.052830784582792,0
14031,2020-02-17,0,22.125815653886445,0
14032,2020-02-18,0,28.676567918950013,0
14033,2020-02-19,2,37.09187529251073,0
14034,2020-02-20,5,47.84471376738348,0
14035,2020-02-21,3,61.50881617490763,0
14036,2020-02-22,1,78.77438009759958,0
14037,2020-02-23,5,100.46462667045455,0
14038,2020-02-24,8,127.55279753848986,0
14039,2020-02-25,0,161.17904088277487,0
14040,2020-02-26,4,202.66649452090022,0
14041,2020-02-27,4,253.53573214471305,0
14042,2020-02-28,8,315.5166071438438,0
14043,2020-02-29,5,390.5564180641655,0
14044,2020-03-01,4,480.8232424223336,0
14045,2020-03-02,9,588.7032534091979,0
14046,2020-03-03,18,716.7908583156014,0
