,Date_reported,New_cases,SmoothedCases,cutDatesW
0,2020-01-03,0,1.8848655967726824e-10,0
1,2020-01-04,0,5.804160745464675e-10,0
2,2020-01-05,0,1.7566528857118436e-09,0
3,2020-01-06,0,5.21443873419503e-09,0
4,2020-01-07,0,1.5147169814174284e-08,0
5,2020-01-08,0,4.295798424519113e-08,0
6,2020-01-09,0,1.1866323905177832e-07,0
7,2020-01-10,0,3.185201155893443e-07,0
8,2020-01-11,0,8.289828967400555e-07,0
9,2020-01-12,0,2.087688161124089e-06,0
10,2020-01-13,0,5.078437101817581e-06,0
11,2020-01-14,0,1.1915102064307566e-05,0
12,2020-01-15,0,2.6931320198636337e-05,0
13,2020-01-16,0,5.858978063879158e-05,0
14,2020-01-17,0,0.00012260564007858085,0
15,2020-01-18,0,0.000246678388968887,0
16,2020-01-19,0,0.0004770437766618681,0
17,2020-01-20,0,0.0008865714599346963,0
18,2020-01-21,0,0.0015832568953542423,0
19,2020-01-22,0,0.002716721052681863,0
20,2020-01-23,0,0.0044789958955732045,0
21,2020-01-24,0,0.007094977235820752,0
22,2020-01-25,0,0.010798228725239849,0
23,2020-01-26,0,0.01579005144043725,0
24,2020-01-27,0,0.022184177181443828,0
25,2020-01-28,0,0.02994549817863939,0
26,2020-01-29,0,0.03883721387343568,0
27,2020-01-30,0,0.04839414852702721,0
28,2020-01-31,0,0.057938320801014916,0
29,2020-02-01,0,0.06664495512244538,0
30,2020-02-02,0,0.07365414309627048,0
31,2020-02-03,0,0.07820890851231141,0
32,2020-02-04,1,0.07978960024290191,0
33,2020-02-05,0,0.07821194797013414,0
34,2020-02-06,0,0.07366380979729761,0
35,2020-02-07,0,0.06667195166853418,0
36,2020-02-08,0,0.05801026776463048,0
37,2020-02-09,0,0.0485787044432789,0
38,2020-02-10,0,0.039293399679043405,0
39,2020-02-11,0,0.03103241754528672,0
40,2020-02-12,0,0.024681111796510852,0
41,2020-02-13,0,0.02132211521480378,0
42,2020-02-14,0,0.022622134118427464,0
43,2020-02-15,0,0.0314821322079809,0
44,2020-02-16,0,0.05303364970314207,0
45,2020-02-17,0,0.09606912800059358,0
46,2020-02-18,0,0.174969780380754,0
47,2020-02-19,0,0.31212182615330625,0
48,2020-02-20,0,0.5406801720820917,0
49,2020-02-21,0,0.9073570809334808,0
50,2020-02-22,0,1.4747214865811775,0
51,2020-02-23,0,2.3223650121135995,0
52,2020-02-24,0,3.5463167810054177,0
53,2020-02-25,0,5.256352723705693,0
54,2020-02-26,0,7.5713691748456675,0
55,2020-02-27,0,10.613692884319075,0
56,2020-02-28,0,14.503875569204077,0
57,2020-02-29,0,19.35788249089196,0
58,2020-03-01,0,25.288361642297488,0
59,2020-03-02,18,32.41076201336889,0
60,2020-03-03,19,40.853618660478205,0
61,2020-03-04,34,50.770789076020534,0
62,2020-03-05,53,62.35241416334617,0
63,2020-03-06,81,75.83139191268818,0
64,2020-03-07,110,91.4833264188924,0
65,2020-03-08,27,109.61987579921035,0
66,2020-03-09,64,130.57738978638773,0
67,2020-03-10,94,154.70383824862824,0
68,2020-03-11,99,182.34673949753795,0
69,2020-03-12,174,213.84314261144044,0
70,2020-03-13,250,249.5103275703662,0
71,2020-03-14,338,289.6337168563673,0
72,2020-03-15,179,334.44747230430505,0
73,2020-03-16,214,384.10400656928334,0
74,2020-03-17,387,438.6313555053137,0
75,2020-03-18,422,497.881724228797,0
76,2020-03-19,534,561.4796534561864,0
77,2020-03-20,713,628.7826572869596,0
78,2020-03-21,662,698.8689418229088,0
79,2020-03-22,469,770.5642181692942,0
80,2020-03-23,486,842.5121507464368,0
81,2020-03-24,1328,913.2821108137779,0
82,2020-03-25,1195,981.4970804928616,0
