,Date_reported,New_cases,SmoothedCases,cutDatesW
1998,2020-01-03,0,2.6101971649048882e-23,0
1999,2020-01-04,0,1.3960729199659223e-22,0
2000,2020-01-05,0,7.36263958404154e-22,0
2001,2020-01-06,0,3.822738807417555e-21,0
2002,2020-01-07,0,1.9508001504830214e-20,0
2003,2020-01-08,0,9.767797323417214e-20,0
2004,2020-01-09,0,4.790235673530749e-19,0
2005,2020-01-10,0,2.296807651954918e-18,0
2006,2020-01-11,0,1.0748607628819234e-17,0
2007,2020-01-12,0,4.901561163507337e-17,0
2008,2020-01-13,0,2.1748433042287934e-16,0
2009,2020-01-14,0,9.377061332001323e-16,0
2010,2020-01-15,0,3.9243824740295106e-15,0
2011,2020-01-16,0,1.592764536742036e-14,0
2012,2020-01-17,0,6.264740161690749e-14,0
2013,2020-01-18,0,2.3867022640069805e-13,0
2014,2020-01-19,0,8.803889178345289e-13,0
2015,2020-01-20,0,3.1435572235629663e-12,0
2016,2020-01-21,0,1.0863439268907032e-11,0
2017,2020-01-22,0,3.633035231987972e-11,0
2018,2020-01-23,0,1.1757230875598378e-10,0
2019,2020-01-24,0,3.6818305770016446e-10,0
2020,2020-01-25,0,1.1156933121171704e-09,0
2021,2020-01-26,0,3.2715460360834235e-09,0
2022,2020-01-27,0,9.283197303984244e-09,0
2023,2020-01-28,0,2.5491245120905786e-08,0
2024,2020-01-29,0,6.774062243975942e-08,0
2025,2020-01-30,0,1.742171969943141e-07,0
2026,2020-01-31,0,4.3364999446262626e-07,0
2027,2020-02-01,0,1.0447716380218689e-06,0
2028,2020-02-02,0,2.4365187052255347e-06,0
2029,2020-02-03,0,5.5007741741835195e-06,0
2030,2020-02-04,0,1.202351088370293e-05,0
2031,2020-02-05,0,2.544781488144461e-05,0
2032,2020-02-06,0,5.2161863790572474e-05,0
2033,2020-02-07,0,0.00010356855364034767,0
2034,2020-02-08,0,0.0001992441801890593,0
2035,2020-02-09,0,0.00037150545131859616,0
2036,2020-02-10,0,0.000671647957002534,0
2037,2020-02-11,0,0.001177977333152273,0
2038,2020-02-12,0,0.002005544823998365,0
2039,2020-02-13,0,0.0033173049030573907,0
2040,2020-02-14,0,0.00533640352481957,0
2041,2020-02-15,0,0.0083597307426747,0
2042,2020-02-16,0,0.012774004995437219,0
2043,2020-02-17,0,0.019077685375872313,0
2044,2020-02-18,0,0.02791488271581372,0
2045,2020-02-19,0,0.04013074249941078,0
2046,2020-02-20,0,0.056860692664799026,0
2047,2020-02-21,0,0.07966745683594975,0
2048,2020-02-22,0,0.11073898035122187,0
2049,2020-02-23,0,0.1531573016524486,0
2050,2020-02-24,0,0.21124409711901904,0
2051,2020-02-25,0,0.2909857715916915,0
2052,2020-02-26,0,0.4005432505060872,0
2053,2020-02-27,1,0.550862672711659,0
2054,2020-02-28,0,0.7564248954698558,0
2055,2020-02-29,0,1.0362026442564256,0
2056,2020-03-01,0,1.4149283887115232,0
