,Date_reported,New_cases,SmoothedCases,cutDatesW
3996,2020-01-03,0,4.071192271415989e-11,0
3997,2020-01-04,0,8.553110660182339e-11,0
3998,2020-01-05,0,1.7862749172127075e-10,0
3999,2020-01-06,0,3.7067321982133183e-10,0
4000,2020-01-07,0,7.639043373552166e-10,0
4001,2020-01-08,0,1.5626726538389828e-09,0
4002,2020-01-09,0,3.1713669632598668e-09,0
4003,2020-01-10,0,6.381698891762885e-09,0
4004,2020-01-11,0,1.2726101597182987e-08,0
4005,2020-01-12,0,2.5135092449414343e-08,0
4006,2020-01-13,0,4.91417088664181e-08,0
4007,2020-01-14,0,9.505358117884383e-08,0
4008,2020-01-15,0,1.818056769941909e-07,0
4009,2020-01-16,0,3.43677473686727e-07,0
4010,2020-01-17,0,6.417973196718426e-07,0
4011,2020-01-18,0,1.1834870697461687e-06,0
4012,2020-01-19,0,2.1541821102082767e-06,0
4013,2020-01-20,0,3.86909303595586e-06,0
4014,2020-01-21,0,6.855180911592744e-06,0
4015,2020-01-22,0,1.1978628627972831e-05,0
4016,2020-01-23,0,2.06389986354452e-05,0
4017,2020-01-24,0,3.505875755911586e-05,0
4018,2020-01-25,0,5.87057009206247e-05,0
4019,2020-01-26,0,9.68955754781642e-05,0
4020,2020-01-27,0,0.00015763194799836675,0
4021,2020-01-28,0,0.00025274857306781956,0
4022,2020-01-29,0,0.00039942393281442096,0
4023,2020-01-30,0,0.0006221353276570686,0
4024,2020-01-31,0,0.0009551074346903826,0
4025,2020-02-01,0,0.0014452840383018068,0
4026,2020-02-02,0,0.002155808643902385,0
4027,2020-02-03,0,0.003169938386057253,0
4028,2020-02-04,0,0.004595237209617147,0
4029,2020-02-05,0,0.0065678038837698,0
4030,2020-02-06,0,0.009256198255628125,0
4031,2020-02-07,0,0.012864651280939728,0
4032,2020-02-08,0,0.017635102403063513,0
4033,2020-02-09,0,0.023847627664152167,0
4034,2020-02-10,0,0.03181893091813049,0
4035,2020-02-11,0,0.041898793430598755,0
4036,2020-02-12,0,0.054464730839380526,0
4037,2020-02-13,0,0.06991559406999119,0
4038,2020-02-14,0,0.08866545650672969,0
4039,2020-02-15,0,0.11113981492691268,0
4040,2020-02-16,0,0.1377768340673865,0
4041,2020-02-17,0,0.16903700065226496,0
4042,2020-02-18,0,0.20542502393899098,0
4043,2020-02-19,0,0.24752802314081035,0
4044,2020-02-20,0,0.2960738815571131,0
4045,2020-02-21,0,0.35201304681675816,0
4046,2020-02-22,0,0.4166259707774985,0
4047,2020-02-23,0,0.4916568032079301,0
4048,2020-02-24,0,0.5794719115358155,0
4049,2020-02-25,1,0.6832393618853567,0
4050,2020-02-26,0,0.8071227610142,0
4051,2020-02-27,2,0.9564799435357202,0
4052,2020-02-28,0,1.1380540309378127,0
4053,2020-02-29,2,1.3601415451654262,0
4054,2020-03-01,1,1.6327197156445323,0
4055,2020-03-02,1,1.9675131040900848,0
4056,2020-03-03,0,2.377978474851818,0
4057,2020-03-04,2,2.8791868149564386,0
4058,2020-03-05,1,3.4875829682116306,0
4059,2020-03-06,0,4.220606920503032,0
4060,2020-03-07,1,5.096166735858169,0
4061,2020-03-08,1,6.131961722078768,0
4062,2020-03-09,0,7.344665563326648,0
4063,2020-03-10,0,8.748992484429746,0
4064,2020-03-11,2,10.35668415000676,0
4065,2020-03-12,5,12.175469635133984,0
4066,2020-03-13,0,14.208063735228022,0
4067,2020-03-14,13,16.4512782004287,0
4068,2020-03-15,6,18.895324312814694,0
4069,2020-03-16,11,21.523382043632484,0
4070,2020-03-17,8,24.311499946891388,0
4071,2020-03-18,8,27.228870969160237,0
4072,2020-03-19,16,30.23850351083453,0
4073,2020-03-20,24,33.298276398446376,0
