,Date_reported,New_cases,SmoothedCases,cutDatesW
12987,2020-01-03,0,2.2108395814331236e-83,0
12988,2020-01-04,0,4.567846216991564e-81,0
12989,2020-01-05,0,9.086577103806176e-79,0
12990,2020-01-06,0,1.72902498070607e-76,0
12991,2020-01-07,0,3.125592091080072e-74,0
12992,2020-01-08,0,5.331116555658473e-72,0
12993,2020-01-09,0,8.524890608722769e-70,0
12994,2020-01-10,0,1.2710533698537128e-67,0
12995,2020-01-11,0,1.7594311022143803e-65,0
12996,2020-01-12,0,2.2541269818702058e-63,0
12997,2020-01-13,0,2.6675882203688194e-61,0
12998,2020-01-14,0,2.91265613177368e-59,0
12999,2020-01-15,0,2.932400464891723e-57,0
13000,2020-01-16,0,2.721407344365677e-55,0
13001,2020-01-17,0,2.327794866085141e-53,0
13002,2020-01-18,0,1.835079582016397e-51,0
13003,2020-01-19,0,1.3332644740424953e-49,0
13004,2020-01-20,0,8.927428421911707e-48,0
13005,2020-01-21,0,5.5091474226393895e-46,0
13006,2020-01-22,0,3.133215176128843e-44,0
13007,2020-01-23,0,1.642267516314872e-42,0
13008,2020-01-24,0,7.933147890226589e-41,0
13009,2020-01-25,0,3.53179365563537e-39,0
13010,2020-01-26,0,1.4490835337297342e-37,0
13011,2020-01-27,0,5.479489643132877e-36,0
13012,2020-01-28,0,1.9095706182145909e-34,0
13013,2020-01-29,0,6.1331090989166044e-33,0
13014,2020-01-30,0,1.8154134917248251e-31,0
13015,2020-01-31,0,4.952460633903534e-30,0
13016,2020-02-01,0,1.245139500895164e-28,0
13017,2020-02-02,0,2.8851450307447296e-27,0
13018,2020-02-03,0,6.161286819992159e-26,0
13019,2020-02-04,0,1.2126381884696595e-24,0
13020,2020-02-05,0,2.199629465130314e-23,0
13021,2020-02-06,0,3.677303022481032e-22,0
13022,2020-02-07,0,5.6659786457037804e-21,0
13023,2020-02-08,0,8.046207862331179e-20,0
13024,2020-02-09,0,1.0531373785435738e-18,0
13025,2020-02-10,0,1.2704713257985674e-17,0
13026,2020-02-11,0,1.4126737314765446e-16,0
13027,2020-02-12,0,1.4478727463912082e-15,0
13028,2020-02-13,0,1.3678833124749083e-14,0
13029,2020-02-14,0,1.1913024137041775e-13,0
13030,2020-02-15,0,9.564907926528313e-13,0
13031,2020-02-16,0,7.0805419763302906e-12,0
13032,2020-02-17,0,4.833181026132403e-11,0
13033,2020-02-18,0,3.042645933909121e-10,0
13034,2020-02-19,0,1.7669136328287981e-09,0
13035,2020-02-20,0,9.467804166276772e-09,0
13036,2020-02-21,0,4.682948901349443e-08,0
13037,2020-02-22,0,2.139187162659164e-07,0
13038,2020-02-23,0,9.031050647148756e-07,0
