,Date_reported,New_cases,SmoothedCases,cutDatesW
5994,2020-01-03,0,129.59906242122696,0
5995,2020-01-04,0,137.01279366767244,0
5996,2020-01-05,0,144.81187902649245,0
5997,2020-01-06,0,153.01285203434978,0
5998,2020-01-07,0,161.63264663290968,0
5999,2020-01-08,0,170.68857808941564,0
6000,2020-01-09,0,180.19832057584316,0
6001,2020-01-10,0,190.1798811978589,0
6002,2020-01-11,0,200.65157026679725,0
6003,2020-01-12,0,211.63196761181774,0
6004,2020-01-13,0,223.13988473554022,0
6005,2020-01-14,0,235.19432262495795,0
6006,2020-01-15,0,247.81442504051495,0
6007,2020-01-16,0,261.0194271200863,0
6008,2020-01-17,0,274.8285991514081,0
6009,2020-01-18,0,289.2611853864362,0
6010,2020-01-19,0,304.336337794311,0
6011,2020-01-20,0,320.0730446762184,0
6012,2020-01-21,0,336.4900540955343,0
6013,2020-01-22,0,353.60579211031336,0
6014,2020-01-23,0,371.43827583244445,0
6015,2020-01-24,0,390.00502137862924,0
6016,2020-01-25,0,409.32294682268633,0
6017,2020-01-26,0,429.40827030640895,0
6018,2020-01-27,0,450.2764035171393,0
6019,2020-01-28,0,471.94184079411593,0
6020,2020-01-29,2,494.4180441821938,0
6021,2020-01-30,0,517.7173248103467,0
6022,2020-01-31,1,541.8507210329891,0
6023,2020-02-01,0,566.8278738340787,0
6024,2020-02-02,0,592.6569000565686,0
6025,2020-02-03,0,619.3442640824405,0
6026,2020-02-04,0,646.8946486504922,0
6027,2020-02-05,0,675.3108255595337,0
6028,2020-02-06,0,704.5935270627812,0
6029,2020-02-07,0,734.7413188141859,0
6030,2020-02-08,0,765.7504752782305,0
6031,2020-02-09,0,797.6148585604832,0
6032,2020-02-10,0,830.3258016559414,0
6033,2020-02-11,0,863.8719971449906,0
6034,2020-02-12,0,898.2393923917787,0
6035,2020-02-13,0,933.411092316034,0
6036,2020-02-14,0,969.3672708161218,0
6037,2020-02-15,0,1006.0850919176111,0
6038,2020-02-16,0,1043.5386417073028,0
6039,2020-02-17,0,1081.6988720869415,0
6040,2020-02-18,0,1120.5335573433977,0
6041,2020-02-19,0,1160.0072644826728,0
6042,2020-02-20,0,1200.0813382136573,0
6043,2020-02-21,0,1240.7139013941392,0
6044,2020-02-22,14,1281.8598716665465,0
6045,2020-02-23,62,1323.4709949146243,0
6046,2020-02-24,53,1365.4958960654426,0
6047,2020-02-25,97,1407.8801476445549,0
6048,2020-02-26,93,1450.5663563668102,0
6049,2020-02-27,78,1493.4942679123985,0
6050,2020-02-28,250,1536.6008898984664,0
6051,2020-02-29,238,1579.8206329125521,0
6052,2020-03-01,240,1623.085469326647,0
6053,2020-03-02,566,1666.3251094615384,0
6054,2020-03-03,342,1709.467194521955,0
6055,2020-03-04,466,1752.4375055755634,0
6056,2020-03-05,587,1795.1601877048643,0
6057,2020-03-06,769,1837.5579883221776,0
6058,2020-03-07,778,1879.552508505845,0
6059,2020-03-08,1247,1921.0644660921228,0
6060,2020-03-09,1492,1962.013969143451,0
6061,2020-03-10,1797,2002.3207983112156,0
6062,2020-03-11,977,2041.9046965210118,0
6063,2020-03-12,2313,2080.685664331766,0
6064,2020-03-13,2651,2118.5842592577787,0
6065,2020-03-14,2547,2155.521897295496,0
6066,2020-03-15,3497,2191.421154864987,0
6067,2020-03-16,3590,2226.2060693601834,0
6068,2020-03-17,3233,2259.802436501707,0
6069,2020-03-18,3526,2292.1381027017287,0
6070,2020-03-19,4207,2323.1432506812807,0
6071,2020-03-20,5322,2352.7506766263687,0
6072,2020-03-21,5986,2380.896057229422,0
6073,2020-03-22,6557,2407.5182050362437,0
6074,2020-03-23,5560,2432.55931060484,0
6075,2020-03-24,4789,2455.965170080085,0
6076,2020-03-25,5249,2477.685396896101,0
6077,2020-03-26,5210,2497.6736164352665,0
6078,2020-03-27,6153,2515.887642597426,0
6079,2020-03-28,5959,2532.2896353641418,0
6080,2020-03-29,5974,2546.846238579008,0
6081,2020-03-30,5217,2559.5286973050584,0
6082,2020-03-31,4050,2570.312954262615,0
6083,2020-04-01,4053,2579.179724994335,0
6084,2020-04-02,4782,2586.114551547336,0
6085,2020-04-03,4668,2591.107834604063,0
6086,2020-04-04,4585,2594.154844132628,0
6087,2020-04-05,4805,2595.2557087627897,0
6088,2020-04-06,4316,2594.4153842245087,0
6089,2020-04-07,3599,2591.643601311116,0
6090,2020-04-08,3039,2586.954793947834,0
6091,2020-04-09,3836,2580.3680080579056,0
6092,2020-04-10,4204,2571.906792022312,0
6093,2020-04-11,3951,2561.5990696243784,0
6094,2020-04-12,4694,2549.476996457143,0
6095,2020-04-13,4092,2535.576800848727,0
6096,2020-04-14,3153,2519.938610428892,0
6097,2020-04-15,2972,2502.6062655183164,0
6098,2020-04-16,2667,2483.6271205707867,0
6099,2020-04-17,3786,2463.051834937398,0
6100,2020-04-18,3493,2440.934154251206,0
6101,2020-04-19,3491,2417.3306837505133,0
6102,2020-04-20,3047,2392.300654869534,0
6103,2020-04-21,2256,2365.9056864266067,0
6104,2020-04-22,2729,2338.2095417329506,0
6105,2020-04-23,3370,2309.2778829294007,0
6106,2020-04-24,2646,2279.1780238351444,0
6107,2020-04-25,3021,2247.978682561667,0
6108,2020-04-26,2357,2215.7497351073002,0
6109,2020-04-27,2324,2182.5619711036957,0
6110,2020-04-28,1739,2148.4868528355214,0
6111,2020-04-29,2091,2113.5962785995357,0
6112,2020-04-30,2086,2077.9623514092755,0
6113,2020-05-01,1872,2041.6571539877295,0
6114,2020-05-02,1965,2004.7525309230207,0
6115,2020-05-03,1900,1967.319878791897,0
6116,2020-05-04,1389,1929.4299449834484,0
6117,2020-05-05,1221,1891.1526358813599,0
6118,2020-05-06,1075,1852.5568349878806,0
6119,2020-05-07,1444,1813.7102314969995,0
6120,2020-05-08,1401,1774.6791597487068,0
6121,2020-05-09,1327,1735.5284499210607,0
6122,2020-05-10,1083,1696.321290242715,0
6123,2020-05-11,802,1657.1191009359036,0
6124,2020-05-12,744,1617.9814200291557,0
6125,2020-05-13,1402,1578.9658011105462,0
6126,2020-05-14,888,1540.1277230264416,0
6127,2020-05-15,992,1501.5205114678502,0
6128,2020-05-16,789,1463.1952723268064,0
6129,2020-05-17,875,1425.2008366490481,0
6130,2020-05-18,675,1387.583716956767,0
6131,2020-05-19,451,1350.3880746665163,0
6132,2020-05-20,813,1313.6556982827574,0
6133,2020-05-21,665,1277.425992006884,0
6134,2020-05-22,642,1241.735974365187,0
6135,2020-05-23,652,1206.6202864269496,0
6136,2020-05-24,669,1172.1112091558152,0
6137,2020-05-25,531,1138.238689413715,0
6138,2020-05-26,300,1105.0303741168416,0
6139,2020-05-27,397,1072.511652027477,0
6140,2020-05-28,584,1040.7057026536893,0
6141,2020-05-29,593,1009.6335517210057,0
6142,2020-05-30,516,979.3141326759279,0
6143,2020-05-31,416,949.7643536804997,0
6144,2020-06-01,355,920.9991695598519,0
6145,2020-06-02,178,893.031658170609,0
6146,2020-06-03,318,865.8731006670267,0
6147,2020-06-04,321,839.5330651535832,0
6148,2020-06-05,177,814.0194932272508,0
6149,2020-06-06,518,789.3387889296562,0
6150,2020-06-07,270,765.4959096485711,0
6151,2020-06-08,197,742.4944585294849,0
6152,2020-06-09,280,720.3367779811816,0
6153,2020-06-10,283,699.0240438840881,0
6154,2020-06-11,202,678.5563601364547,0
6155,2020-06-12,379,658.9328532010376,0
6156,2020-06-13,163,640.1517663435999,0
6157,2020-06-14,346,622.2105532841287,0
6158,2020-06-15,338,605.1059710119464,0
6159,2020-06-16,301,588.8341715466959,0
6160,2020-06-17,210,573.3907924583559,0
6161,2020-06-18,328,558.771045990785,0
6162,2020-06-19,331,544.9698066646511,0
6163,2020-06-20,-148,531.9816972667962,0
6164,2020-06-21,264,519.8011731639637,0
6165,2020-06-22,224,508.4226049091866,0
6166,2020-06-23,221,497.8403591388683,0
6167,2020-06-24,113,488.0488777874849,0
6168,2020-06-25,577,479.04275567476856,0
6169,2020-06-26,296,470.81681654700253,0
6170,2020-06-27,255,463.36618767953144,0
6171,2020-06-28,175,456.68637317157385,0
6172,2020-06-29,174,450.77332608677386,1
6173,2020-06-30,126,445.62351961346025,0
6174,2020-07-01,142,441.23401743713003,0
6175,2020-07-02,182,437.6025435340685,0
6176,2020-07-03,201,434.7275516090852,0
6177,2020-07-04,223,432.60829441191197,0
6178,2020-07-05,235,431.2448931756994,0
6179,2020-07-06,192,430.63840742710295,0
6180,2020-07-07,208,430.79090542047726,0
6181,2020-07-08,137,431.70553544855693,0
6182,2020-07-09,193,433.3865982785103,0
6183,2020-07-10,214,435.83962095528346,0
6184,2020-07-11,276,439.07143220352043,0
6185,2020-07-12,188,443.0902396449642,0
6186,2020-07-13,234,447.90570902995773,0
6187,2020-07-14,169,453.5290456593806,0
6188,2020-07-15,114,459.9730781469989,0
6189,2020-07-16,162,467.2523446416893,0
6190,2020-07-17,230,475.38318159430366,0
6191,2020-07-18,231,484.38381511503553,0
6192,2020-07-19,249,494.2744549240683,0
6193,2020-07-20,218,505.0773908510623,0
6194,2020-07-21,190,516.8170917877696,0
6195,2020-07-22,128,529.5203069428729,0
6196,2020-07-23,280,543.2161691891968,0
6197,2020-07-24,306,557.9363002309415,0
6198,2020-07-25,252,573.7149172528052,0
6199,2020-07-26,274,590.5889406440975,0
6200,2020-07-27,254,608.5981023195435,0
6201,2020-07-28,168,627.7850540848773,0
6202,2020-07-29,202,648.1954754199396,0
6203,2020-07-30,288,669.8781799753898,0
6204,2020-07-31,382,692.8852200018323,0
6205,2020-08-01,379,717.2719878528151,0
6206,2020-08-02,295,743.0973136263864,0
6207,2020-08-03,238,770.4235579344848,0
6208,2020-08-04,159,799.3166987160788,0
6209,2020-08-05,190,829.8464109395203,0
6210,2020-08-06,384,862.0861379728589,0
6211,2020-08-07,401,896.1131533387311,0
6212,2020-08-08,552,932.0086115138472,0
6213,2020-08-09,347,969.8575863829062,0
6214,2020-08-10,463,1009.7490959139654,0
6215,2020-08-11,259,1051.776111587789,0
6216,2020-08-12,412,1096.035551088432,0
6217,2020-08-13,476,1142.6282527472372,0
6218,2020-08-14,522,1191.658930228392,0
6219,2020-08-15,574,1243.2361059520995,0
6220,2020-08-16,629,1297.4720217721049,0
6221,2020-08-17,477,1354.4825254584887,0
6222,2020-08-18,320,1414.3869315850625,0
6223,2020-08-19,401,1477.3078554839562,0
6224,2020-08-20,642,1543.3710190085903,0
6225,2020-08-21,840,1612.7050269406514,0
6226,2020-08-22,947,1685.4411129871805,0
6227,2020-08-23,1071,1761.7128544406949,0
6228,2020-08-24,1209,1841.6558547183938,0
6229,2020-08-25,953,1925.4073931558519,0
6230,2020-08-26,876,2013.1060416060066,0
6231,2020-08-27,1366,2104.8912475851625,0
6232,2020-08-28,1409,2200.9028839136927,0
6233,2020-08-29,1460,2301.280765019342,0
6234,2020-08-30,1444,2406.164130304537,0
6235,2020-08-31,1365,2515.691095224875,0
6236,2020-09-01,996,2629.998070982629,0
6237,2020-09-02,975,2749.2191540052777,0
6238,2020-09-03,1326,2873.4854866530018,0
6239,2020-09-04,1397,3002.9245908791668,0
6240,2020-09-05,1732,3137.6596768518334,0
6241,2020-09-06,1693,3277.8089288303736,0
6242,2020-09-07,1297,3423.4847708770303,0
6243,2020-09-08,1150,3574.7931152662536,0
6244,2020-09-09,1369,3731.8325967325754,0
6245,2020-09-10,1430,3894.6937959679244,0
6246,2020-09-11,1597,4063.4584560390817,0
6247,2020-09-12,1616,4238.198695642668,0
6248,2020-09-13,1501,4418.976223346081,0
6249,2020-09-14,1456,4605.8415571752275,0
6250,2020-09-15,1008,4798.833254101298,0
