,Date_reported,New_cases,SmoothedCases,cutDatesW
6993,2020-01-03,0,1.3261933331785447,0
6994,2020-01-04,0,1.4180940197708467,0
6995,2020-01-05,0,1.515790701823556,0
6996,2020-01-06,0,1.6195927147028442,0
6997,2020-01-07,0,1.7298204462518065,0
6998,2020-01-08,0,1.8468051839575326,0
6999,2020-01-09,0,1.9708888921264691,0
7000,2020-01-10,0,2.102423912804937,0
7001,2020-01-11,0,2.2417725840487708,0
7002,2020-01-12,0,2.389306769058062,0
7003,2020-01-13,0,2.545407289656945,0
7004,2020-01-14,0,2.7104632576215284,0
7005,2020-01-15,0,2.884871297448974,0
7006,2020-01-16,0,3.0690346543249563,0
7007,2020-01-17,0,3.2633621812929983,0
7008,2020-01-18,0,3.4682671999648558,0
7009,2020-01-19,0,3.6841662295436475,0
7010,2020-01-20,0,3.9114775794674923,0
7011,2020-01-21,0,4.150619801627407,0
7012,2020-01-22,0,4.402009998874529,0
7013,2020-01-23,0,4.666061987412936,0
7014,2020-01-24,0,4.9431843116787695,0
7015,2020-01-25,0,5.233778111435872,0
7016,2020-01-26,0,5.538234842073249,0
7017,2020-01-27,0,5.8569338504684945,0
7018,2020-01-28,0,6.190239810280816,0
7019,2020-01-29,0,6.538500022151067,0
7020,2020-01-30,0,6.902041586006739,0
7021,2020-01-31,0,7.281168454485707,0
7022,2020-02-01,0,7.676158378391084,0
7023,2020-02-02,0,8.087259757053785,0
7024,2020-02-03,0,8.514688408491475,0
7025,2020-02-04,0,8.958624276289965,0
7026,2020-02-05,0,9.419208092172372,0
7027,2020-02-06,0,9.896538015235441,0
7028,2020-02-07,0,10.390666270792831,0
7029,2020-02-08,0,10.901595813640666,0
7030,2020-02-09,0,11.42927704231989,0
7031,2020-02-10,0,11.97360459255851,0
7032,2020-02-11,0,12.53441423950189,0
7033,2020-02-12,0,13.111479939546198,0
7034,2020-02-13,0,13.70451104354618,0
7035,2020-02-14,0,14.313149713841671,0
7036,2020-02-15,0,14.936968577907574,0
7037,2020-02-16,0,15.57546865145275,0
7038,2020-02-17,0,16.228077563449904,0
7039,2020-02-18,0,16.89414811485243,0
7040,2020-02-19,0,17.572957201629595,0
7041,2020-02-20,0,18.263705131218813,0
7042,2020-02-21,0,18.965515359550494,0
7043,2020-02-22,0,19.67743467344742,0
7044,2020-02-23,0,20.39843384044764,0
7045,2020-02-24,0,21.127408744962235,0
7046,2020-02-25,0,21.863182026179015,0
7047,2020-02-26,0,22.60450522928982,0
7048,2020-02-27,0,23.35006147748781,0
7049,2020-02-28,0,24.09846866779205,0
7050,2020-02-29,0,24.848283189158572,0
7051,2020-03-01,0,25.59800415657877,0
7052,2020-03-02,1,26.34607815000532,0
7053,2020-03-03,0,27.09090444203901,0
7054,2020-03-04,0,27.830840693419937,0
7055,2020-03-05,0,28.564209090552858,0
7056,2020-03-06,0,29.289302894623535,0
7057,2020-03-07,1,30.004393367389635,0
7058,2020-03-08,0,30.707737034516363,0
7059,2020-03-09,1,31.397583243429743,0
7060,2020-03-10,0,32.07218196913087,0
7061,2020-03-11,0,32.72979181830002,0
7062,2020-03-12,0,33.3686881793638,0
7063,2020-03-13,1,33.987171464034546,0
7064,2020-03-14,13,34.583575384190965,0
7065,2020-03-15,22,35.15627520687247,0
7066,2020-03-16,18,35.703695929623706,0
7067,2020-03-17,0,36.224320318454154,0
7068,2020-03-18,32,36.71669675127587,0
7069,2020-03-19,108,37.1794468108362,0
7070,2020-03-20,147,37.61127257286404,0
7071,2020-03-21,136,38.010963537370245,0
7072,2020-03-22,168,38.37740315376374,0
7073,2020-03-23,119,38.70957489362633,0
7074,2020-03-24,21,39.00656782859666,0
7075,2020-03-25,219,39.26758167480244,0
7076,2020-03-26,173,39.49193126960431,0
7077,2020-03-27,149,39.67905045102372,0
7078,2020-03-28,201,39.828495315071365,0
7079,2020-03-29,152,39.939946831214726,0
7080,2020-03-30,97,40.01321280137234,0
7081,2020-03-31,33,40.048229153041014,0
7082,2020-04-01,136,40.04506056239622,0
7083,2020-04-02,86,40.003900408403915,0
7084,2020-04-03,119,39.92507006408873,0
7085,2020-04-04,109,39.809017536072844,0
7086,2020-04-05,87,39.65631546828158,0
7087,2020-04-06,59,39.4676585302649,0
7088,2020-04-07,31,39.24386021486527,0
7089,2020-04-08,59,38.98584907393778,0
7090,2020-04-09,61,38.69466442446345,0
7091,2020-04-10,64,38.37145156066444,0
7092,2020-04-11,57,38.017456510606486,0
7093,2020-04-12,35,37.63402037824068,0
7094,2020-04-13,7,37.222573313878605,0
7095,2020-04-14,12,36.78462815770489,0
7096,2020-04-15,3,36.32177380210187,0
7097,2020-04-16,59,35.83566831929532,0
7098,2020-04-17,33,35.32803190113115,0
7099,2020-04-18,25,34.800639657670764,0
7100,2020-04-19,44,34.25531432076067,0
7101,2020-04-20,15,33.693918897807436,0
7102,2020-04-21,3,33.11834931969396,0
7103,2020-04-22,15,32.53052712513079,0
7104,2020-04-23,24,31.932392221776915,0
7105,2020-04-24,9,31.32589576221504,0
7106,2020-04-25,16,30.712993170363745,0
7107,2020-04-26,17,30.095637351183917,0
7108,2020-04-27,12,29.475772113628196,0
7109,2020-04-28,5,28.85532583372594,0
7110,2020-04-29,9,28.236205381529246,0
7111,2020-04-30,17,27.62029033240825,0
7112,2020-05-01,10,27.009427479910126,0
7113,2020-05-02,12,26.405425664126305,0
7114,2020-05-03,7,25.81005092627941,0
7115,2020-05-04,4,25.225021997080766,0
7116,2020-05-05,4,24.652006123353235,0
7117,2020-05-06,11,24.092615234491916,0
7118,2020-05-07,8,23.548402447575175,0
7119,2020-05-08,6,23.02085890736542,0
7120,2020-05-09,5,22.51141095507393,0
7121,2020-05-10,3,22.02141761762654,0
7122,2020-05-11,8,21.552168407272028,0
7123,2020-05-12,1,21.10488141973419,0
7124,2020-05-13,4,20.680701717731072,0
7125,2020-05-14,7,20.280699985575062,0
7126,2020-05-15,9,19.90587143972719,0
7127,2020-05-16,3,19.5571349796067,0
7128,2020-05-17,5,19.235332562646814,0
7129,2020-05-18,9,18.941228787532406,0
7130,2020-05-19,1,18.675510669743137,0
7131,2020-05-20,12,18.43878759394306,0
7132,2020-05-21,7,18.231591428388363,0
7133,2020-05-22,7,18.054376787349984,0
7134,2020-05-23,0,17.907521428547362,0
