,Date_reported,New_cases,SmoothedCases,cutDatesW
10989,2020-01-03,0,54.34542059612045,0
10990,2020-01-04,0,58.66080361118188,0
10991,2020-01-05,0,63.296070276096025,0
10992,2020-01-06,0,68.27221679922542,0
10993,2020-01-07,0,73.61131599455256,0
10994,2020-01-08,0,79.33653905214784,0
10995,2020-01-09,0,85.47217362506974,0
10996,2020-01-10,0,92.04363765463987,0
10997,2020-01-11,1,99.07748831931954,0
10998,2020-01-12,1,106.60142545736599,0
10999,2020-01-13,0,114.64428878077025,0
11000,2020-01-14,1,123.23604816844734,0
11001,2020-01-15,0,132.40778630110972,0
11002,2020-01-16,0,142.1916728796127,0
11003,2020-01-17,0,152.62092965377965,0
11004,2020-01-18,0,163.72978548081306,0
11005,2020-01-19,0,175.55342063242094,0
11006,2020-01-20,1,188.12789957880742,0
11007,2020-01-21,0,201.49009149677633,0
11008,2020-01-22,0,215.67757777942776,0
11009,2020-01-23,1,230.72854586732214,0
11010,2020-01-24,0,246.68166877650157,0
11011,2020-01-25,0,263.5759697682571,0
11012,2020-01-26,0,281.4506716897712,0
11013,2020-01-27,0,300.34503061432673,0
11014,2020-01-28,0,320.2981535250733,0
11015,2020-01-29,0,341.34879991757003,0
11016,2020-01-30,0,363.53516734341093,0
11017,2020-01-31,0,386.89466107985044,0
11018,2020-02-01,0,411.46364828783453,0
11019,2020-02-02,1,437.27719721221473,0
11020,2020-02-03,0,464.3688021818549,0
11021,2020-02-04,0,492.77009538213974,0
11022,2020-02-05,0,522.5105465959712,0
11023,2020-02-06,0,553.6171523392994,0
11024,2020-02-07,0,586.1141160507532,0
11025,2020-02-08,0,620.0225212289124,0
11026,2020-02-09,0,655.3599996417848,0
11027,2020-02-10,0,692.140396957416,0
11028,2020-02-11,1,730.3734383584037,0
11029,2020-02-12,0,770.0643969023819,0
11030,2020-02-13,0,811.2137675711676,0
11031,2020-02-14,3,853.8169501091735,0
11032,2020-02-15,0,897.8639438828259,0
11033,2020-02-16,0,943.3390580933449,0
11034,2020-02-17,0,990.2206407417241,0
11035,2020-02-18,0,1038.4808297739642,0
11036,2020-02-19,0,1088.0853298238094,0
11037,2020-02-20,0,1138.993217917192,0
11038,2020-02-21,0,1191.1567814057482,0
11039,2020-02-22,0,1244.5213912551108,0
11040,2020-02-23,1,1299.0254136271062,0
11041,2020-02-24,1,1354.6001624638548,0
11042,2020-02-25,2,1411.1698955075085,0
11043,2020-02-26,2,1468.6518558739444,0
11044,2020-02-27,1,1526.956360944944,0
11045,2020-02-28,7,1585.98693995482,0
11046,2020-02-29,23,1645.640521228149,0
11047,2020-03-01,23,1705.807669580141,0
11048,2020-03-02,19,1766.372873925397,0
11049,2020-03-03,37,1827.2148846601187,0
11050,2020-03-04,72,1888.2070998933227,0
11051,2020-03-05,85,1949.217999110442,0
11052,2020-03-06,99,2010.1116223642837,0
11053,2020-03-07,190,2070.7480926100216,0
11054,2020-03-08,274,2130.984178338925,0
11055,2020-03-09,290,2190.6738932259213,0
11056,2020-03-10,369,2249.669129094607,0
11057,2020-03-11,650,2307.820318125176,0
11058,2020-03-12,1036,2364.977119890847,0
11059,2020-03-13,1346,2420.9891285109893,0
11060,2020-03-14,1811,2475.706594957902,0
11061,2020-03-15,2178,2528.9811593522304,0
11062,2020-03-16,2032,2580.666587931555,0
11063,2020-03-17,2310,2630.619509279525,0
11064,2020-03-18,3265,2678.700144359929,0
11065,2020-03-19,4483,2724.773024911718,0
11066,2020-03-20,4786,2768.7076948266267,0
11067,2020-03-21,5881,2810.3793892499175,0
11068,2020-03-22,6531,2849.669686315019,0
11069,2020-03-23,5793,2886.4671266424207,0
11070,2020-03-24,5326,2920.667795999184,0
11071,2020-03-25,8206,2952.175866824867,0
11072,2020-03-26,9727,2980.9040946785703,0
11073,2020-03-27,10138,3006.7742660464537,0
11074,2020-03-28,10114,3029.7175943649104,0
11075,2020-03-29,9096,3049.6750615570895,0
11076,2020-03-30,7100,3066.5977028447865,0
11077,2020-03-31,5093,3080.4468330789036,0
11078,2020-04-01,8010,3091.194213324722,0
11079,2020-04-02,7926,3098.8221569379116,0
11080,2020-04-03,7065,3103.323574868587,0
11081,2020-04-04,6910,3104.701960428723,0
11082,2020-04-05,6822,3102.9713142479673,0
