,Date_reported,Indicator,SmoothedCases,cutDatesW
2997,2020-01-03,0.0,2.2200171988337464e-09,0
2998,2020-01-04,0.0,2.726405024931832e-09,0
2999,2020-01-05,0.0,3.345473123071727e-09,0
3000,2020-01-06,0.0,4.101486027622196e-09,0
3001,2020-01-07,0.0,5.023707747742945e-09,0
3002,2020-01-08,0.0,6.147370706326109e-09,0
3003,2020-01-09,0.0,7.514816438914546e-09,0
3004,2020-01-10,0.0,9.176834455497276e-09,0
3005,2020-01-11,0.0,1.1194228744818293e-08,0
3006,2020-01-12,0.0,1.3639644602303795e-08,0
3007,2020-01-13,0.0,1.6599691732716468e-08,0
3008,2020-01-14,0.0,2.017740284362655e-08,0
3009,2020-01-15,0.0,2.449507011303727e-08,0
3010,2020-01-16,0.0,2.9697504870763485e-08,0
3011,2020-01-17,0.0,3.595576844384301e-08,0
3012,2020-01-18,0.0,4.347142422542266e-08,0
3013,2020-01-19,0.0,5.2481362457923066e-08,0
3014,2020-01-20,0.0,6.326324978040661e-08,0
3015,2020-01-21,0.0,7.614165506790056e-08,0
3016,2020-01-22,0.0,9.14949012683131e-08,0
3017,2020-01-23,0.0,1.0976268959880402e-07,0
3018,2020-01-24,0.0,1.3145453738123513e-07,0
3019,2020-01-25,0.0,1.571590637730538e-07,0
3020,2020-01-26,0.0,1.8755414850767544e-07,0
3021,2020-01-27,0.0,2.2341797735478276e-07,0
3022,2020-01-28,0.0,2.656409742504966e-07,0
3023,2020-01-29,0.0,3.15238603892493e-07,0
3024,2020-01-30,0.0,3.7336501007608126e-07,0
3025,2020-01-31,0.0,4.4132743427069733e-07,0
3026,2020-02-01,0.0,5.2060133609179e-07,0
3027,2020-02-02,0.0,6.128461126873286e-07,0
3028,2020-02-03,0.0,7.199212879961488e-07,0
3029,2020-02-04,0.0,8.439030157989051e-07,0
3030,2020-02-05,0.0,9.871007130058413e-07,0
3031,2020-02-06,0.0,1.152073612318595e-06,0
3032,2020-02-07,0.0,1.3416469969415443e-06,0
3033,2020-02-08,0.0,1.5589278551320945e-06,0
3034,2020-02-09,0.0,1.8073196698408624e-06,0
3035,2020-02-10,0.0,2.09053603930158e-06,0
3036,2020-02-11,0.0,2.4126128089990867e-06,0
3037,2020-02-12,0.0,2.7779183847812052e-06,0
3038,2020-02-13,0.0,3.1911618917765064e-06,0
3039,2020-02-14,0.0,3.6573988449881253e-06,0
3040,2020-02-15,0.0,4.182034005652545e-06,0
3041,2020-02-16,0.0,4.770821113306106e-06,0
3042,2020-02-17,0.0,5.429859207521268e-06,0
3043,2020-02-18,0.0,6.165585285873076e-06,0
3044,2020-02-19,0.0,6.984763086148496e-06,0
3045,2020-02-20,0.0,7.894467831228956e-06,0
3046,2020-02-21,0.0,8.902066834383616e-06,0
3047,2020-02-22,0.0,1.0015195930622548e-05,0
3048,2020-02-23,0.0,1.1241731775757203e-05,0
3049,2020-02-24,0.0,1.2589760138134174e-05,0
3050,2020-02-25,0.0,1.4067540397616778e-05,0
3051,2020-02-26,0.0,1.5683466560987112e-05,0
3052,2020-02-27,0.0,1.7446025200956182e-05,0
3053,2020-02-28,0.0,1.9363750825567478e-05,0
3054,2020-02-29,0.0,2.144517928387758e-05,0
3055,2020-03-01,0.0,2.369879991009797e-05,0
3056,2020-03-02,0.0,2.613300719940381e-05,0
3057,2020-03-03,0.0,2.8756052891744817e-05,0
3058,2020-03-04,0.0,3.157599941253988e-05,0
3059,2020-03-05,0.0,3.460067567840026e-05,0
3060,2020-03-06,0.0,3.783763631936764e-05,0
3061,2020-03-07,0.0,4.1294125394077156e-05,0
3062,2020-03-08,1.963453995173359e-06,4.497704567848825e-05,0
3063,2020-03-09,0.0,4.889293459040653e-05,0
3064,2020-03-10,0.0,5.304794776937682e-05,0
3065,2020-03-11,3.926907990346718e-06,5.74478512635658e-05,0
3066,2020-03-12,0.0,6.209802318142469e-05,0
3067,2020-03-13,1.1780723971040151e-05,6.700346554629601e-05,0
3068,2020-03-14,7.853815980693435e-06,7.2168826947441e-05,0
3069,2020-03-15,5.8903619855200766e-06,7.75984364126607e-05,0
3070,2020-03-16,1.570763196138687e-05,8.329634873794593e-05,0
3071,2020-03-17,4.1232533898640536e-05,8.926640130133242e-05,0
3072,2020-03-18,3.926907990346718e-05,9.551228216499527e-05,0
3073,2020-03-19,5.497671186485405e-05,0.00010203760903590244,0
3074,2020-03-20,2.9451809927600383e-05,0.00010884601841599072,0
3075,2020-03-21,3.926907990346718e-05,0.00011594126403327858,0
3076,2020-03-22,0.0001335148716717,0.00012332732341145393,0
3077,2020-03-23,0.0,0.00013100851121340644,0
3078,2020-03-24,0.000159039773609,0.00013898959779017224,0
3079,2020-03-25,5.69401658600274e-05,0.00014727593118701984,0
3080,2020-03-26,0.0001413686876524,0.0001558735607088907,0
3081,2020-03-27,0.0001806377675559,0.00016478936003363096,0
3082,2020-03-28,4.1232533898640536e-05,0.00017403114778830284,0
3083,2020-03-29,0.0004555213268802,0.00018360780347540027,0
