,Date_reported,Indicator,SmoothedCases,cutDatesW
12987,2020-01-03,0.0,2.633737763630429e-11,0
12988,2020-01-04,0.0,3.7215777022796736e-11,0
12989,2020-01-05,0.0,5.2513209013218513e-11,0
12990,2020-01-06,0.0,7.398830726211573e-11,0
12991,2020-01-07,0.0,1.0408200954697179e-10,0
12992,2020-01-08,0.0,1.4617399657556342e-10,0
12993,2020-01-09,0.0,2.0493171738233489e-10,0
12994,2020-01-10,0.0,2.8678374569098434e-10,0
12995,2020-01-11,0.0,4.005593765440287e-10,0
12996,2020-01-12,0.0,5.583494991457398e-10,0
12997,2020-01-13,0.0,7.76660619927516e-10,0
12998,2020-01-14,0.0,1.0779553576164297e-09,0
12999,2020-01-15,0.0,1.4926998517236026e-09,0
13000,2020-01-16,0.0,2.0620725552258757e-09,0
13001,2020-01-17,0.0,2.841531241097591e-09,0
13002,2020-01-18,0.0,3.9054873405724934e-09,0
13003,2020-01-19,0.0,5.353400715272566e-09,0
13004,2020-01-20,0.0,7.31768555156684e-09,0
13005,2020-01-21,0.0,9.973911253206942e-09,0
13006,2020-01-22,0.0,1.3553893023112274e-08,0
13007,2020-01-23,0.0,1.8362397226499155e-08,0
13008,2020-01-24,0.0,2.4798338387475642e-08,0
13009,2020-01-25,0.0,3.338151922265343e-08,0
13010,2020-01-26,0.0,4.478616336700717e-08,0
13011,2020-01-27,0.0,5.988271256499421e-08,0
13012,2020-01-28,0.0,7.978960525484372e-08,0
13013,2020-01-29,0.0,1.0593701955935766e-07,0
13014,2020-01-30,0.0,1.4014484701971571e-07,0
13015,2020-01-31,0.0,1.8471745836385565e-07,0
13016,2020-02-01,0.0,2.425581213361756e-07,0
13017,2020-02-02,0.0,3.173062227093424e-07,0
13018,2020-02-03,0.0,4.135007187689944e-07,0
13019,2020-02-04,0.0,5.367734744290014e-07,0
13020,2020-02-05,0.0,6.940763310788555e-07,0
13021,2020-02-06,0.0,8.93945844407504e-07,0
13022,2020-02-07,0.0,1.1468096298024552e-06,0
13023,2020-02-08,0.0,1.4653381157518572e-06,0
13024,2020-02-09,0.0,1.8648452040995753e-06,0
13025,2020-02-10,0.0,2.3637408378846096e-06,0
13026,2020-02-11,0.0,2.984037750646241e-06,0
13027,2020-02-12,0.0,3.751913684764682e-06,0
13028,2020-02-13,0.0,4.698329093189884e-06,0
13029,2020-02-14,0.0,5.8596987567381495e-06,0
13030,2020-02-15,0.0,7.27861384368179e-06,0
13031,2020-02-16,0.0,9.00460870549539e-06,0
13032,2020-02-17,0.0,1.1094964150932645e-05,0
13033,2020-02-18,0.0,1.3615536093779147e-05,0
13034,2020-02-19,0.0,1.6641595368599858e-05,0
13035,2020-02-20,0.0,2.0258661213478865e-05,0
13036,2020-02-21,0.0,2.4563307509099305e-05,0
13037,2020-02-22,0.0,2.9663917439866777e-05,0
13038,2020-02-23,0.0,3.568135892520578e-05,0
13039,2020-02-24,0.0,4.2749550095720806e-05,0
13040,2020-02-25,0.0,5.101588141277766e-05,0
13041,2020-02-26,0.0,6.064145891537078e-05,0
13042,2020-02-27,0.0,7.180113169469956e-05,0
13043,2020-02-28,0.0,8.468326621373912e-05,0
13044,2020-02-29,0.0,9.948923066721015e-05,0
13045,2020-03-01,0.0,0.0001164325543615744,0
13046,2020-03-02,0.0,0.00013573773020533834,0
13047,2020-03-03,0.0,0.00015763863292449435,0
13048,2020-03-04,0.0,0.00018237653160299683,0
13049,2020-03-05,0.0,0.00021019768259249072,0
13050,2020-03-06,0.0,0.0002413504976841609,0
13051,2020-03-07,0.0,0.00027608229257595487,0
13052,2020-03-08,0.0,0.000314635631928312,0
13053,2020-03-09,0.0,0.0003572442994494914,0
13054,2020-03-10,0.0,0.000404128934199977,0
13055,2020-03-11,1.1885598923411958e-06,0.0004554923873159539,0
13056,2020-03-12,0.0,0.000511514866243716,0
13057,2020-03-13,0.0,0.0005723489459372372,0
13058,2020-03-14,4.754239569364783e-06,0.000638114537867747,0
13059,2020-03-15,1.1885598923411958e-06,0.0007088939176893289,0
13060,2020-03-16,1.4262718708094349e-05,0.000784726920570626,0
13061,2020-03-17,3.446823687789468e-05,0.0008656064191377601,0
13062,2020-03-18,6.0616554509400985e-05,0.0009514742023170718,0
13063,2020-03-19,0.0001105360699877,0.0010422173738145154,0
13064,2020-03-20,0.0001996780619133,0.0011376653862880213,0
13065,2020-03-21,0.0003696421265181,0.0012375878213091104,0
13066,2020-03-22,0.0003292310901785,0.0013416930159118922,0
13067,2020-03-23,0.0003434938088866,0.0014496276239323069,0
13068,2020-03-24,0.0003482480484559,0.001560977184592783,0
13069,2020-03-25,0.000407676043073,0.001675267752136906,0
13070,2020-03-26,0.0006667820996034,0.0017919686191174137,0
13071,2020-03-27,0.00142151763124,0.0019104961426382057,0
13072,2020-03-28,0.0024591304172539,0.0020302186579848453,0
13073,2020-03-29,0.0020253060565493,0.002150462438262482,0
13074,2020-03-30,0.0021572362045992,0.002270518632571202,0
13075,2020-03-31,0.0019135814266693,0.0023896510896063237,0
13076,2020-04-01,0.0032138659488905,0.0025071049491193244,0
13077,2020-04-02,0.0025530266487488,0.0026221158611598586,0
13078,2020-04-03,0.0029191030955899,0.0027339196731660173,0
13079,2020-04-04,0.0033113278600625,0.002841762408458077,0
13080,2020-04-05,0.003581130955624,0.002944910347130754,0
13081,2020-04-06,0.0037261352624896,0.0030426600122473698,0
13082,2020-04-07,0.00374158654109,0.0031343478610181834,0
13083,2020-04-08,0.0046258751009919,0.0032193594825618535,0
13084,2020-04-09,0.0048933010767687,0.0032971381110201993,0
13085,2020-04-10,0.0048207989233358,0.0033671922751772063,0
13086,2020-04-11,0.0056420938089436,0.003429102423109592,0
13087,2020-04-12,0.006106820726849,0.0034825263823865162,0
13088,2020-04-13,0.0056920133244219,0.0035272035423949103,0
13089,2020-04-14,0.0048647756393525,0.0035629576748002698,0
13090,2020-04-15,0.0048279302826899,0.0035896983401352374,0
13091,2020-04-16,0.0050882248991126,0.003607420862109976,0
13092,2020-04-17,0.00570627604313,0.003616204885454979,0
13093,2020-04-18,0.0051738012113612,0.003616211566895402,0
13094,2020-04-19,0.0044963220727267,0.0036076794811722487,0
13095,2020-04-20,0.0047269026918409,0.003590919353864485,0
13096,2020-04-21,0.0055553289368027,0.0035663077591992767,0
13097,2020-04-22,0.0054804496635852,0.0035342799432514158,0
13098,2020-04-23,0.0036643301480879,0.0034953219502603912,0
13099,2020-04-24,0.0037035526245351,0.0034499622417406115,0
13100,2020-04-25,0.0037106839838892,0.0033987630043265642,0
13101,2020-04-26,0.0034004698519881,0.003342311342783737,0
13102,2020-04-27,0.0028014356662481,0.0032812105494393687,0
13103,2020-04-28,0.002532821130579,0.0032160716307561956,0
13104,2020-04-29,0.0028430352624801,0.0031475052563853375,0
13105,2020-04-30,0.0034896118439137,0.003076114276451985,0
