,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,2020-01-03,CO,Colombia,AMRO,0,0,0,0
1,2020-01-04,CO,Colombia,AMRO,0,0,0,0
2,2020-01-05,CO,Colombia,AMRO,0,0,0,0
3,2020-01-06,CO,Colombia,AMRO,0,0,0,0
4,2020-01-07,CO,Colombia,AMRO,0,0,0,0
5,2020-01-08,CO,Colombia,AMRO,0,0,0,0
6,2020-01-09,CO,Colombia,AMRO,0,0,0,0
7,2020-01-10,CO,Colombia,AMRO,0,0,0,0
8,2020-01-11,CO,Colombia,AMRO,0,0,0,0
9,2020-01-12,CO,Colombia,AMRO,0,0,0,0
10,2020-01-13,CO,Colombia,AMRO,0,0,0,0
11,2020-01-14,CO,Colombia,AMRO,0,0,0,0
12,2020-01-15,CO,Colombia,AMRO,0,0,0,0
13,2020-01-16,CO,Colombia,AMRO,0,0,0,0
14,2020-01-17,CO,Colombia,AMRO,0,0,0,0
15,2020-01-18,CO,Colombia,AMRO,0,0,0,0
16,2020-01-19,CO,Colombia,AMRO,0,0,0,0
17,2020-01-20,CO,Colombia,AMRO,0,0,0,0
18,2020-01-21,CO,Colombia,AMRO,0,0,0,0
19,2020-01-22,CO,Colombia,AMRO,0,0,0,0
20,2020-01-23,CO,Colombia,AMRO,0,0,0,0
21,2020-01-24,CO,Colombia,AMRO,0,0,0,0
22,2020-01-25,CO,Colombia,AMRO,0,0,0,0
23,2020-01-26,CO,Colombia,AMRO,0,0,0,0
24,2020-01-27,CO,Colombia,AMRO,0,0,0,0
25,2020-01-28,CO,Colombia,AMRO,0,0,0,0
26,2020-01-29,CO,Colombia,AMRO,0,0,0,0
27,2020-01-30,CO,Colombia,AMRO,0,0,0,0
28,2020-01-31,CO,Colombia,AMRO,0,0,0,0
29,2020-02-01,CO,Colombia,AMRO,0,0,0,0
30,2020-02-02,CO,Colombia,AMRO,0,0,0,0
31,2020-02-03,CO,Colombia,AMRO,0,0,0,0
32,2020-02-04,CO,Colombia,AMRO,0,0,0,0
33,2020-02-05,CO,Colombia,AMRO,0,0,0,0
34,2020-02-06,CO,Colombia,AMRO,0,0,0,0
35,2020-02-07,CO,Colombia,AMRO,0,0,0,0
36,2020-02-08,CO,Colombia,AMRO,0,0,0,0
37,2020-02-09,CO,Colombia,AMRO,0,0,0,0
38,2020-02-10,CO,Colombia,AMRO,0,0,0,0
39,2020-02-11,CO,Colombia,AMRO,0,0,0,0
