,Date_reported,New_cases,SmoothedCases,cutDatesPV
5994,2020-01-03,0,0.17402588815910888,0
5995,2020-01-04,0,0.20970552665557143,0
5996,2020-01-05,0,0.2531906498465359,0
5997,2020-01-06,0,0.3061957688701847,0
5998,2020-01-07,0,0.37079902164486134,0
5999,2020-01-08,0,0.44951426326760346,0
6000,2020-01-09,0,0.5453759491649384,0
6001,2020-01-10,0,0.6620386709720869,0
6002,2020-01-11,0,0.8038933680055373,0
6003,2020-01-12,0,0.9762023856043389,0
6004,2020-01-13,0,1.1852556758788604,0
6005,2020-01-14,0,1.4385505250424238,0
6006,2020-01-15,0,1.7449972312661373,0
6007,2020-01-16,0,2.115153133041332,0
6008,2020-01-17,0,2.5614872842015832,0
6009,2020-01-18,0,3.098677871033135,0
6010,2020-01-19,0,3.7439441520204246,0
6011,2020-01-20,0,4.517414254964912,0
6012,2020-01-21,0,5.442529574098809,0
6013,2020-01-22,0,6.546485758375146,0
6014,2020-01-23,0,7.86070936172945,0
6015,2020-01-24,0,9.421368131563197,0
6016,2020-01-25,0,11.2699116431296,0
6017,2020-01-26,0,13.45363755119378,0
6018,2020-01-27,0,16.02627713933984,0
6019,2020-01-28,0,19.048592121804816,0
6020,2020-01-29,2,22.588972820235924,0
6021,2020-01-30,0,26.724025933024937,0
6022,2020-01-31,1,31.539138179579577,0
6023,2020-02-01,0,37.12900018432814,0
6024,2020-02-02,0,43.59807311980253,0
6025,2020-02-03,0,51.06097891476264,0
6026,2020-02-04,0,59.64279331700692,0
6027,2020-02-05,0,69.47921985070785,0
6028,2020-02-06,0,80.71662179805297,0
6029,2020-02-07,0,93.51188884080666,0
6030,2020-02-08,0,108.03211499701682,0
6031,2020-02-09,0,124.4540650594464,0
6032,2020-02-10,0,142.96340796124622,0
6033,2020-02-11,0,163.7536974317211,0
6034,2020-02-12,0,187.02508302294342,0
6035,2020-02-13,0,212.98273813571913,0
6036,2020-02-14,0,241.83499608256486,0
6037,2020-02-15,0,273.7911905046567,0
6038,2020-02-16,0,309.0592025899031,0
6039,2020-02-17,0,347.8427244683569,0
6040,2020-02-18,0,390.3382558002178,0
6041,2020-02-19,0,436.73185879198877,0
6042,2020-02-20,0,487.1957055080509,0
6043,2020-02-21,0,541.88446017734,0
6044,2020-02-22,14,600.9315479791574,0
6045,2020-02-23,62,664.445370246281,0
6046,2020-02-24,53,732.5055338393117,0
6047,2020-02-25,97,805.159169298753,0
6048,2020-02-26,93,882.4174179407244,0
6049,2020-02-27,78,964.2521720065332,0
6050,2020-02-28,250,1050.5931540059155,0
6051,2020-02-29,238,1141.3254212463303,0
6052,2020-03-01,240,1236.2873790059905,0
6053,2020-03-02,566,1335.269380742207,0
6054,2020-03-03,342,1438.0129860635261,0
6055,2020-03-04,466,1544.2109369569052,0
6056,2020-03-05,587,1653.5079000682629,0
6057,2020-03-06,769,1765.5020079033986,0
6058,2020-03-07,778,1879.7472149617072,0
6059,2020-03-08,1247,1995.7564664454433,1
6060,2020-03-09,1492,2113.005657793417,0
6061,2020-03-10,1797,2230.9383434300057,0
6062,2020-03-11,977,2348.971133408836,0
6063,2020-03-12,2313,2466.4996977053943,0
6064,2020-03-13,2651,2582.9052804192283,0
6065,2020-03-14,2547,2697.561610708693,0
6066,2020-03-15,3497,2809.842084477259,0
6067,2020-03-16,3590,2919.1270811658082,0
6068,2020-03-17,3233,3024.811273890587,0
6069,2020-03-18,3526,3126.3107888966047,0
6070,2020-03-19,4207,3223.0700720351283,0
6071,2020-03-20,5322,3314.5683257442383,0
6072,2020-03-21,5986,3400.325389689696,0
6073,2020-03-22,6557,3479.9069515421274,0
6074,2020-03-23,5560,3552.9289909225686,0
6075,2020-03-24,4789,3619.061378816792,0
6076,2020-03-25,5249,3678.030576113435,0
6077,2020-03-26,5210,3729.6213976584318,0
6078,2020-03-27,6153,3773.6778315867823,0
6079,2020-03-28,5959,3810.1029269220176,0
6080,2020-03-29,5974,3838.857784766308,0
6081,2020-03-30,5217,3859.9597091259698,0
6082,2020-03-31,4050,3873.479591885493,0
6083,2020-04-01,4053,3879.5386221118833,0
6084,2020-04-02,4782,3878.304422310371,0
6085,2020-04-03,4668,3869.9867231638523,0
6086,2020-04-04,4585,3854.832693512884,0
6087,2020-04-05,4805,3833.122043853714,0
6088,2020-04-06,4316,3805.1620195695627,0
6089,2020-04-07,3599,3771.282394713714,0
6090,2020-04-08,3039,3731.830568793016,0
6091,2020-04-09,3836,3687.1668581113295,0
6092,2020-04-10,4204,3637.660060348192,0
6093,2020-04-11,3951,3583.6833567382996,0
6094,2020-04-12,4694,3525.6106010713484,0
6095,2020-04-13,4092,3463.8130293334084,0
6096,2020-04-14,3153,3398.6564087153743,0
6097,2020-04-15,2972,3330.4986304267013,0
6098,2020-04-16,2667,3259.6877377120954,0
6099,2020-04-17,3786,3186.5603690330554,0
6100,2020-04-18,3493,3111.440586814101,0
6101,2020-04-19,3491,3034.6390546398334,0
6102,2020-04-20,3047,2956.4525204047413,0
6103,2020-04-21,2256,2877.163559653911,0
6104,2020-04-22,2729,2797.0405321181324,0
6105,2020-04-23,3370,2716.337705078387,0
6106,2020-04-24,2646,2635.29549947014,0
6107,2020-04-25,3021,2554.1408182907217,0
6108,2020-04-26,2357,2473.087421606914,0
6109,2020-04-27,2324,2392.3363179638072,0
6110,2020-04-28,1739,2312.076147958812,0
6111,2020-04-29,2091,2232.48354186793,0
6112,2020-04-30,2086,2153.7234392207215,0
6113,2020-05-01,1872,2075.9493638747726,0
6114,2020-05-02,1965,1999.303653239214,1
6115,2020-05-03,1900,1923.9176446841373,0
6116,2020-05-04,1389,1849.9118257397217,0
6117,2020-05-05,1221,1777.395957373818,0
6118,2020-05-06,1075,1706.4691814226778,0
6119,2020-05-07,1444,1637.2201241607975,0
6120,2020-05-08,1401,1569.7270080925268,0
6121,2020-05-09,1327,1504.0577834200478,0
6122,2020-05-10,1083,1440.270289402017,0
6123,2020-05-11,802,1378.412454092599,0
6124,2020-05-12,744,1318.5225388781182,0
6125,2020-05-13,1402,1260.6294319458173,0
6126,2020-05-14,888,1204.7529924593432,0
6127,2020-05-15,992,1150.9044449012326,0
6128,2020-05-16,789,1099.0868208822535,0
6129,2020-05-17,875,1049.2954438010659,0
6130,2020-05-18,675,1001.5184501354987,0
6131,2020-05-19,451,955.7373399074778,0
6132,2020-05-20,813,911.927548014645,0
6133,2020-05-21,665,870.0590276698052,0
6134,2020-05-22,642,830.0968371224282,0
6135,2020-05-23,652,792.0017211260214,0
6136,2020-05-24,669,755.7306792190567,0
6137,2020-05-25,531,721.2375137527079,0
6138,2020-05-26,300,688.4733516662031,0
6139,2020-05-27,397,657.387135216728,0
6140,2020-05-28,584,627.9260781515627,0
6141,2020-05-29,593,600.0360851039893,0
6142,2020-05-30,516,573.6621332448609,0
6143,2020-05-31,416,548.7486163791034,0
6144,2020-06-01,355,525.2396526999449,0
6145,2020-06-02,178,503.0793582722003,0
6146,2020-06-03,318,482.21208898855866,0
6147,2020-06-04,321,462.582654218932,0
6148,2020-06-05,177,444.1365056516733,0
6149,2020-06-06,518,426.81990491508844,0
6150,2020-06-07,270,410.58007348414736,0
6151,2020-06-08,197,395.3653281430694,0
6152,2020-06-09,280,381.12520491677844,0
6153,2020-06-10,283,367.81057393351944,0
6154,2020-06-11,202,355.37374716915576,0
6155,2020-06-12,379,343.7685804827127,0
6156,2020-06-13,163,332.9505708129898,0
6157,2020-06-14,346,322.87694889518735,0
6158,2020-06-15,338,313.5067673983501,0
6159,2020-06-16,301,304.80098399840017,0
6160,2020-06-17,210,296.7225386019216,0
6161,2020-06-18,328,289.2364237317657,0
6162,2020-06-19,331,282.3097469807767,0
6163,2020-06-20,-148,275.91178443333945,0
6164,2020-06-21,264,270.01402404024435,0
6165,2020-06-22,224,264.5901981008536,0
6166,2020-06-23,221,259.61630424468797,0
6167,2020-06-24,113,255.07061459683084,0
6168,2020-06-25,577,250.9336731407508,0
6169,2020-06-26,296,247.18828164013956,0
6170,2020-06-27,255,243.8194748299276,0
6171,2020-06-28,175,240.81448591808973,0
6172,2020-06-29,174,238.16270373771295,0
6173,2020-06-30,126,235.85562313829126,0
6174,2020-07-01,142,233.88679039370643,0
6175,2020-07-02,182,232.25174552162773,0
6176,2020-07-03,201,230.9479634475731,0
6177,2020-07-04,223,229.9747959018178,0
6178,2020-07-05,235,229.3334158067464,0
6179,2020-07-06,192,229.02676569691837,0
6180,2020-07-07,208,229.0595114175859,0
6181,2020-07-08,137,229.4380019757833,0
6182,2020-07-09,193,230.1702359800017,0
6183,2020-07-10,214,231.2658346107691,0
6184,2020-07-11,276,232.73602052823077,0
6185,2020-07-12,188,234.59360155909718,0
6186,2020-07-13,234,236.85295743087545,0
6187,2020-07-14,169,239.53002725449147,0
6188,2020-07-15,114,242.64229491687698,0
6189,2020-07-16,162,246.2087690534877,0
6190,2020-07-17,230,250.2499538483288,0
6191,2020-07-18,231,254.7878065773449,0
6192,2020-07-19,249,259.8456775911891,0
6193,2020-07-20,218,265.4482283456171,0
6194,2020-07-21,190,271.62132315071386,0
6195,2020-07-22,128,278.3918905400556,0
6196,2020-07-23,280,285.78775057076035,0
6197,2020-07-24,306,293.83740496408495,0
6198,2020-07-25,252,302.56978778774936,0
6199,2020-07-26,274,312.0139753636694,0
6200,2020-07-27,254,322.19885524997125,0
6201,2020-07-28,168,333.1527554786504,0
6202,2020-07-29,202,344.90303670729173,0
6203,2020-07-30,288,357.4756515346505,0
6204,2020-07-31,382,370.8946768981616,0
6205,2020-08-01,379,385.1818271725564,0
6206,2020-08-02,295,400.35595727301524,0
6207,2020-08-03,238,416.43256667974384,0
6208,2020-08-04,159,433.42331678701123,0
6209,2020-08-05,190,451.3355752815743,0
6210,2020-08-06,384,470.1720023177697,0
6211,2020-08-07,401,489.93019402843805,0
6212,2020-08-08,552,510.6023993478744,0
6213,2020-08-09,347,532.175326189949,0
6214,2020-08-10,463,554.630052697291,0
6215,2020-08-11,259,577.9420585448532,0
6216,2020-08-12,412,602.081390146352,0
6217,2020-08-13,476,627.0129720929134,0
6218,2020-08-14,522,652.6970752824495,0
6219,2020-08-15,574,679.0899500225139,0
6220,2020-08-16,629,706.1446299676195,0
6221,2020-08-17,477,733.8119101532955,0
6222,2020-08-18,320,762.041499689563,0
6223,2020-08-19,401,790.7833469555642,0
6224,2020-08-20,642,819.9891324739433,0
6225,2020-08-21,840,849.6139221129121,0
6226,2020-08-22,947,879.6179709319159,0
6227,2020-08-23,1071,909.9686659073456,0
6228,2020-08-24,1209,940.6425939862545,0
6229,2020-08-25,953,971.6277204388963,0
6230,2020-08-26,876,1002.9256613157735,0
6231,2020-08-27,1366,1034.5540329421806,0
6232,2020-08-28,1409,1066.5488607634675,0
6233,2020-08-29,1460,1098.967029429769,0
6234,2020-08-30,1444,1131.8887557066685,0
6235,2020-08-31,1365,1165.4200655332208,0
6236,2020-09-01,996,1199.6952562289798,0
6237,2020-09-02,975,1234.8793243831055,0
6238,2020-09-03,1326,1271.1703392510194,0
6239,2020-09-04,1397,1308.8017404566224,0
6240,2020-09-05,1732,1348.0445373851794,0
6241,2020-09-06,1693,1389.2093858084274,0
6242,2020-09-07,1297,1432.6485149890905,0
6243,2020-09-08,1150,1478.7574757754398,0
6244,2020-09-09,1369,1527.9766770578126,0
6245,2020-09-10,1430,1580.7926744909653,0
6246,2020-09-11,1597,1637.7391716946647,0
6247,2020-09-12,1616,1699.3976903675525,0
6248,2020-09-13,1501,1766.3978620528724,0
6249,2020-09-14,1456,1839.417290871258,0
6250,2020-09-15,1008,1919.180933597767,0
6251,2020-09-16,1229,2006.4599412344312,0
6252,2020-09-17,1452,2102.069904949486,0
6253,2020-09-18,1583,2206.8684491535078,0
6254,2020-09-19,1907,2321.7521157852907,0
6255,2020-09-20,1637,2447.6524867937537,0
6256,2020-09-21,1587,2585.5314965073476,0
6257,2020-09-22,1350,2736.37589222599,0
6258,2020-09-23,1391,2901.1908100558767,0
6259,2020-09-24,1640,3080.992443787816,0
6260,2020-09-25,1786,3276.799797490592,0
6261,2020-09-26,1912,3489.625527384985,0
6262,2020-09-27,1869,3720.4658953464486,0
6263,2020-09-28,1766,3970.289874850239,0
6264,2020-09-29,1494,4240.027470045501,0
6265,2020-09-30,1647,4530.557329578595,0
6266,2020-10-01,1850,4842.693758368323,0
6267,2020-10-02,2548,5177.17325229416,0
6268,2020-10-03,2499,5534.640702168703,0
6269,2020-10-04,2843,5915.63543386298,0
6270,2020-10-05,2578,6320.5772704461,0
6271,2020-10-06,2257,6749.752819086801,0
6272,2020-10-07,2677,7203.302199647746,0
6273,2020-10-08,3677,7681.206442813706,0
6274,2020-10-09,4458,8183.275792706931,0
6275,2020-10-10,5372,8709.13915179737,0
6276,2020-10-11,5724,9258.234904135148,0
6277,2020-10-12,5456,9829.803346242785,0
6278,2020-10-13,4619,10422.880943245033,0
6279,2020-10-14,5898,11036.29661095171,0
6280,2020-10-15,7332,11668.670202744479,0
6281,2020-10-16,8803,12318.413353490861,0
6282,2020-10-17,10009,12983.732801689943,0
6283,2020-10-18,10925,13662.636276146977,0
6284,2020-10-19,11705,14352.940995295026,0
6285,2020-10-20,9337,15052.284786550628,1
6286,2020-10-21,10871,15758.139790605841,0
6287,2020-10-22,15199,16467.828672179217,0
6288,2020-10-23,16078,17178.54321536507,0
6289,2020-10-24,19143,17887.36513923365,0
6290,2020-10-25,19640,18591.288928630012,0
6291,2020-10-26,21273,19287.246437039663,0
6292,2020-10-27,17007,19972.13298372049,0
6293,2020-10-28,21989,20642.834636746582,0
6294,2020-10-29,24988,21296.256347785344,0
6295,2020-10-30,26829,21929.3505838431,0
6296,2020-10-31,31079,22539.146086268855,0
6297,2020-11-01,31756,23122.776378288923,0
6298,2020-11-02,29905,23677.507639437405,0
6299,2020-11-03,22253,24200.765568518873,0
6300,2020-11-04,28241,24690.160866161146,0
6301,2020-11-05,30548,25143.512983459834,0
6302,2020-11-06,34502,25558.871804468024,0
6303,2020-11-07,37802,25934.5369570429,0
6304,2020-11-08,39809,26269.074478449544,0
6305,2020-11-09,32614,26561.330598687335,0
6306,2020-11-10,25269,26810.44244522113,0
6307,2020-11-11,35090,27015.8455170745,0
6308,2020-11-12,32961,27177.277823410695,0
6309,2020-11-13,37977,27294.780631061305,0
6310,2020-11-14,40902,27368.695816168245,0
6311,2020-11-15,37249,27399.659866332346,0
6312,2020-11-16,33977,27388.59463051051,0
6313,2020-11-17,27352,27336.69496343488,0
6314,2020-11-18,32191,27245.41345858278,0
6315,2020-11-19,34280,27116.442507740867,0
6316,2020-11-20,36176,26951.693965043472,0
6317,2020-11-21,37239,26753.276728131408,0
6318,2020-11-22,34764,26523.47257796152,0
6319,2020-11-23,28337,26264.710641099064,0
6320,2020-11-24,22927,25979.540853482253,0
6321,2020-11-25,23227,25670.606812269503,0
6322,2020-11-26,25852,25340.618402265874,0
6323,2020-11-27,29001,24992.32457558938,0
6324,2020-11-28,28342,24628.486647915324,0
6325,2020-11-29,26315,24251.852452290485,0
6326,2020-11-30,20646,23865.131662818916,0
6327,2020-12-01,16376,23470.972566371107,0
6328,2020-12-02,19347,23071.940521915945,0
6329,2020-12-03,20709,22670.498305320492,0
6330,2020-12-04,23219,22268.9884937995,0
6331,2020-12-05,24110,21869.617999967177,0
6332,2020-12-06,21052,21474.444821981404,0
6333,2020-12-07,18887,21085.36703484845,0
6334,2020-12-08,13679,20704.114009728273,0
6335,2020-12-09,14837,20332.239814038472,0
6336,2020-12-10,12755,19971.11871607972,0
6337,2020-12-11,16998,19621.942694337158,1
6338,2020-12-12,18726,19285.720833827036,0
6339,2020-12-13,19902,18963.28047985968,0
6340,2020-12-14,17937,18655.27001311262,0
6341,2020-12-15,12025,18362.1631084379,0
6342,2020-12-16,14839,18084.264342630395,0
6343,2020-12-17,17568,17821.716022552446,0
6344,2020-12-18,18233,17574.506113512147,0
6345,2020-12-19,15401,17342.4771575358,0
6346,2020-12-20,16305,17125.336081066755,0
6347,2020-12-21,15102,16922.664800634677,0
6348,2020-12-22,10869,16733.931542268503,0
6349,2020-12-23,13316,16558.502795146906,0
6350,2020-12-24,13908,16395.655821687396,0
6351,2020-12-25,18039,16244.591644715785,0
6352,2020-12-26,19037,16104.44842754459,0
6353,2020-12-27,10429,15974.31515500216,0
6354,2020-12-28,8913,15853.245513223335,0
6355,2020-12-29,8581,15740.271854085418,0
6356,2020-12-30,11210,15634.419117472326,0
6357,2020-12-31,16202,15534.71857211215,0
6358,2021-01-01,23477,15440.22122465056,0
6359,2021-01-02,22210,15350.010737968847,0
6360,2021-01-03,11825,15263.215694522192,0
6361,2021-01-04,14245,15179.021039503012,0
6362,2021-01-05,10798,15096.67854256359,0
6363,2021-01-06,15375,15015.516126050654,0
6364,2021-01-07,20326,14934.945922319088,0
6365,2021-01-08,18416,14854.470942517613,0
6366,2021-01-09,17529,14773.690263797103,0
6367,2021-01-10,19976,14692.302670433064,0
6368,2021-01-11,18625,14610.108715891392,0
6369,2021-01-12,12530,14527.011206229468,0
6370,2021-01-13,14242,14443.014139114579,0
6371,2021-01-14,15773,14358.220165805229,0
6372,2021-01-15,17243,14272.826674337775,0
6373,2021-01-16,16144,14187.12061963804,0
6374,2021-01-17,16310,14101.472249235241,0
6375,2021-01-18,12544,14016.32789080319,0
6376,2021-01-19,8825,13932.201979261043,0
6377,2021-01-20,10496,13849.668506289532,0
6378,2021-01-21,13568,13769.352073823176,0
6379,2021-01-22,14055,13691.918725634292,0
6380,2021-01-23,13633,13618.066718088987,0
6381,2021-01-24,13331,13548.517373344981,0
6382,2021-01-25,11628,13484.006136703525,0
6383,2021-01-26,8559,13425.273935706535,0
6384,2021-01-27,10584,13373.05891316224,0
6385,2021-01-28,15191,13328.088580890366,0
6386,2021-01-29,14360,13291.072416863026,0
6387,2021-01-30,13563,13262.694906736539,0
6388,2021-01-31,12713,13243.609012517554,0
6389,2021-02-01,11249,13234.430037070688,0
6390,2021-02-02,7925,13235.729843895815,0
6391,2021-02-03,9651,13248.031387357378,0
6392,2021-02-04,13182,13271.803509337517,0
6393,2021-02-05,13656,13307.455963843184,0
6394,2021-02-06,14213,13355.334640912371,0
6395,2021-02-07,13439,13415.716974507835,0
6396,2021-02-08,11640,13488.807535057826,0
6397,2021-02-09,7969,13574.733824878664,0
6398,2021-02-10,10612,13673.542312804213,0
6399,2021-02-11,12947,13785.19476185033,0
6400,2021-02-12,15137,13909.564919604265,0
6401,2021-02-13,13893,14046.43565429174,0
6402,2021-02-14,13523,14195.496629325193,0
6403,2021-02-15,11060,14356.342614942305,0
6404,2021-02-16,7344,14528.47253687995,0
6405,2021-02-17,10368,14711.289358693777,0
6406,2021-02-18,12066,14904.100886353994,0
6407,2021-02-19,13755,15106.121571369677,0
6408,2021-02-20,15470,15316.475372364524,0
6409,2021-02-21,14914,15534.199715367056,0
6410,2021-02-22,13450,15758.25057084657,0
6411,2021-02-23,9617,15987.508641577291,0
6412,2021-02-24,13299,16220.786630654165,0
6413,2021-02-25,16402,16456.83753432749,1
6414,2021-02-26,19871,16694.363880648205,0
6415,2021-02-27,20488,16932.027813019402,0
6416,2021-02-28,18902,17168.46189832571,0
6417,2021-03-01,17440,17402.280522913203,0
6418,2021-03-02,13106,17632.09172672187,0
6419,2021-03-03,17063,17856.50931656972,0
6420,2021-03-04,20840,18074.16509403348,0
6421,2021-03-05,22845,18283.72103149397,0
6422,2021-03-06,24010,18483.881231512783,0
6423,2021-03-07,23633,18673.403509466276,0
6424,2021-03-08,20724,18851.110446889776,0
6425,2021-03-09,13882,19015.899772833283,0
6426,2021-03-10,19725,19166.753942234853,0
6427,2021-03-11,22275,19302.74879342295,0
6428,2021-03-12,25649,19423.06118094349,0
6429,2021-03-13,26790,19526.975494607173,0
6430,2021-03-14,26031,19613.888990674146,0
6431,2021-03-15,21304,19683.315876221397,0
6432,2021-03-16,15252,19734.890102840534,0
6433,2021-03-17,20376,19768.366840827704,0
6434,2021-03-18,23040,19783.622619956193,0
6435,2021-03-19,24901,19780.654137812184,0
6436,2021-03-20,25707,19759.57575159481,0
6437,2021-03-21,23913,19720.61568430766,0
6438,2021-03-22,20045,19664.11099145062,0
6439,2021-03-23,24501,19590.501349669445,0
6440,2021-03-24,18739,19500.32174428803,0
6441,2021-03-25,21246,19394.194148114217,0
6442,2021-03-26,23783,19272.81829917643,0
6443,2021-03-27,23974,19136.96169983835,0
6444,2021-03-28,23771,18987.44897370235,0
6445,2021-03-29,19604,18825.15072944125,0
6446,2021-03-30,12900,18650.972091740186,0
6447,2021-03-31,16051,18465.84106841866,0
6448,2021-04-01,22499,18270.696929074962,0
6449,2021-04-02,23639,18066.47877382711,0
6450,2021-04-03,21917,17854.11447055302,0
6451,2021-04-04,21247,17634.510135185323,0
6452,2021-04-05,18017,17408.5403219288,0
6453,2021-04-06,10680,17177.039078706082,0
6454,2021-04-07,7763,16940.792007800294,0
6455,2021-04-08,13686,16700.529452795305,0
6456,2021-04-09,17209,16456.92091089499,0
6457,2021-04-10,18924,16210.57074503983,0
6458,2021-04-11,17551,15962.015243548472,0
6459,2021-04-12,15737,15711.72104699818,0
6460,2021-04-13,9780,15460.084933483135,0
6461,2021-04-14,13439,15207.434925048528,0
6462,2021-04-15,16160,14954.032650780895,0
6463,2021-04-16,16963,14700.076876502118,0
6464,2021-04-17,15923,14445.70808796362,0
6465,2021-04-18,15364,14191.013994479858,0
6466,2021-04-19,12688,13936.035803579794,0
6467,2021-04-20,8863,13680.775104871616,0
6468,2021-04-21,12069,13425.201193154275,0
6469,2021-04-22,13836,13169.258656977807,0
6470,2021-04-23,16046,12912.875059323578,0
6471,2021-04-24,14758,12655.96854168735,0
6472,2021-04-25,13814,12398.455191327073,0
6473,2021-04-26,13157,12140.256023405445,0
6474,2021-04-27,8440,11881.30344475405,0
6475,2021-04-28,10398,11621.547083486064,0
6476,2021-04-29,13382,11360.95888812209,0
6477,2021-04-30,14314,11099.537420679451,0
6478,2021-05-01,13445,10837.311289719079,1
6479,2021-05-02,12964,10574.3416910716,0
6480,2021-05-03,9145,10310.724045332267,0
6481,2021-05-04,5946,10046.58874172533,0
6482,2021-05-05,9113,9782.101017149584,0
6483,2021-05-06,10579,9517.460016747926,0
6484,2021-05-07,11798,9252.897097883024,0
6485,2021-05-08,10549,8988.673452706162,0
6486,2021-05-09,10174,8725.077135405327,0
6487,2021-05-10,8289,8462.419588608656,0
6488,2021-05-11,5077,8201.031769262729,0
6489,2021-05-12,6943,7941.259977625381,0
6490,2021-05-13,7848,7683.461493888599,0
6491,2021-05-14,8082,7428.00012550693,0
6492,2021-05-15,7562,7175.24176472219,0
6493,2021-05-16,6652,6925.550050252665,0
6494,2021-05-17,5748,6679.282219890895,0
6495,2021-05-18,3454,6436.785232085702,0
6496,2021-05-19,4449,6198.392224744004,0
6497,2021-05-20,5500,5964.419368756386,0
6498,2021-05-21,5736,5735.163162408774,0
