,Date_reported,New_cases,SmoothedCases,cutDatesW
1998,2020-01-03,0,1.0698752377901555e-06,0
1999,2020-01-04,0,1.5476399661181991e-06,0
2000,2020-01-05,0,2.2352238031648464e-06,0
2001,2020-01-06,0,3.222976837738336e-06,0
2002,2020-01-07,0,4.639257404058527e-06,0
2003,2020-01-08,0,6.665982747245171e-06,0
2004,2020-01-09,0,9.560333733543547e-06,0
2005,2020-01-10,0,1.3684953504913931e-05,0
2006,2020-01-11,0,1.954982776829782e-05,0
2007,2020-01-12,0,2.787017195667562e-05,0
2008,2020-01-13,0,3.964617002050021e-05,0
2009,2020-01-14,0,5.627243015641785e-05,0
2010,2020-01-15,0,7.968769714372264e-05,0
2011,2020-01-16,0,0.00011257888399491647,0
2012,2020-01-17,0,0.00015865810416610776,0
2013,2020-01-18,0,0.0002230374099707128,0
2014,2020-01-19,0,0.00031273376011898716,0
2015,2020-01-20,0,0.0004373468276493028,0
2016,2020-01-21,0,0.0006099652035760697,0
2017,2020-01-22,0,0.000848373057675609,0
2018,2020-01-23,0,0.0011766502276251377,0
2019,2020-01-24,0,0.001627285008282479,0
2020,2020-01-25,0,0.0022439517404710244,0
2021,2020-01-26,0,0.003085145932382114,0
2022,2020-01-27,0,0.004228919488219937,0
2023,2020-01-28,0,0.005779019152071209,0
2024,2020-01-29,0,0.007872804001683902,0
2025,2020-01-30,0,0.010691404169710863,0
2026,2020-01-31,0,0.01447268414041216,0
2027,2020-02-01,0,0.019527690793802167,0
2028,2020-02-02,0,0.026261399069601395,0
2029,2020-02-03,0,0.03519871605898019,0
2030,2020-02-04,0,0.04701686569941502,0
2031,2020-02-05,0,0.06258544775646996,0
2032,2020-02-06,0,0.08301564131675818,0
2033,2020-02-07,0,0.1097201973497877,0
2034,2020-02-08,0,0.144486027400268,0
2035,2020-02-09,0,0.18956133398885006,0
2036,2020-02-10,0,0.2477593281370687,0
2037,2020-02-11,0,0.32258062357758116,0
2038,2020-02-12,0,0.4183563667983518,0
2039,2020-02-13,0,0.5404140371579674,0
2040,2020-02-14,0,0.6952676119870359,0
2041,2020-02-15,0,0.8908334194102863,0
2042,2020-02-16,0,1.1366724813306688,0
2043,2020-02-17,0,1.4442594704911442,0
2044,2020-02-18,0,1.827277565820742,0
2045,2020-02-19,0,2.3019374955480756,0
2046,2020-02-20,0,2.8873179247801337,0
2047,2020-02-21,0,3.6057231022742364,0
2048,2020-02-22,0,4.483052371166724,0
2049,2020-02-23,0,5.549174823395412,0
2050,2020-02-24,0,6.838301100464081,0
2051,2020-02-25,0,8.389343184287766,0
2052,2020-02-26,0,10.246252054706522,0
2053,2020-02-27,1,12.458322387014189,0
2054,2020-02-28,0,15.080453088979873,0
2055,2020-02-29,0,18.173352485852572,0
2056,2020-03-01,0,21.8036773906039,0
2057,2020-03-02,1,26.0440961619195,0
2058,2020-03-03,0,30.973267149062575,0
2059,2020-03-04,0,36.675725624116325,0
2060,2020-03-05,0,43.24167436300292,0
2061,2020-03-06,1,50.76667539812448,0
2062,2020-03-07,5,59.35124306160081,0
2063,2020-03-08,5,69.10034120377506,0
2064,2020-03-09,6,80.12279035010451,0
2065,2020-03-10,6,92.53059350832606,0
2066,2020-03-11,0,106.43819233220435,0
2067,2020-03-12,9,121.96166838084216,0
2068,2020-03-13,26,139.21790728829922,0
2069,2020-03-14,17,158.3237467845209,0
2070,2020-03-15,7,179.39513268143966,0
2071,2020-03-16,37,202.54631012589974,0
2072,2020-03-17,79,227.8890805470897,0
2073,2020-03-18,34,255.53215765357123,0
2074,2020-03-19,57,285.5806583563814,0
2075,2020-03-20,137,318.1357663295997,0
2076,2020-03-21,0,353.2946067221637,0
2077,2020-03-22,476,391.1503699119333,0
2078,2020-03-23,0,431.7927197364657,0
2079,2020-03-24,642,475.30851696120106,0
2080,2020-03-25,345,521.7828815450454,0
2081,2020-03-26,310,571.300607351644,0
2082,2020-03-27,232,623.9479303235634,0
2083,2020-03-28,482,679.8146359954052,0
2084,2020-03-29,502,738.9964750256831,0
2085,2020-03-30,486,801.5978368861041,0
2086,2020-03-31,353,867.7346129117918,0
2087,2020-04-01,323,937.537161740208,0
2088,2020-04-02,1138,1011.1532740418531,0
2089,2020-04-03,1119,1088.7510207172347,0
2090,2020-04-04,1074,1170.5213606978555,0
2091,2020-04-05,1146,1256.6803822791462,0
2092,2020-04-06,1222,1347.4710563923845,0
2093,2020-04-07,852,1443.1643918768812,0
2094,2020-04-08,926,1544.0599016696035,0
2095,2020-04-09,1661,1650.4853143983723,0
2096,2020-04-10,2210,1762.7954971237482,0
2097,2020-04-11,1930,1881.3705903874359,0
2098,2020-04-12,1781,2006.6133943071143,0
2099,2020-04-13,1089,2138.9460818834777,0
2100,2020-04-14,1442,2278.8063504327856,0
2101,2020-04-15,1261,2426.643151582465,0
2102,2020-04-16,1832,2582.912162192354,0
2103,2020-04-17,3058,2748.0711708787494,0
2104,2020-04-18,2105,2922.5755560599764,0
2105,2020-04-19,3257,3106.87402085306,0
2106,2020-04-20,2917,3301.4047277918153,0
2107,2020-04-21,2055,3506.591943142598,0
2108,2020-04-22,1927,3722.8432583664344,0
2109,2020-04-23,2498,3950.547407603151,0
2110,2020-04-24,2678,4190.072648159863,0
2111,2020-04-25,3735,4441.765619525236,0
2112,2020-04-26,3503,4705.950549223158,0
2113,2020-04-27,5514,4982.92863456641,0
2114,2020-04-28,3379,5272.97740136328,0
2115,2020-04-29,4613,5576.349826475627,0
2116,2020-04-30,5385,5893.2730125265225,0
2117,2020-05-01,6276,6223.946220648111,0
2118,2020-05-02,7218,6568.538100454018,0
2119,2020-05-03,6209,6927.183003820512,0
2120,2020-05-04,4970,7299.9763279920135,0
2121,2020-05-05,4588,7686.968900640873,0
2122,2020-05-06,6633,8088.160490959155,0
2123,2020-05-07,6935,8503.492602595672,0
2124,2020-05-08,10503,8932.84077234243,0
2125,2020-05-09,9888,9376.006659376482,0
2126,2020-05-10,10222,9832.710260630221,0
2127,2020-05-11,10611,10302.582626273406,0
2128,2020-05-12,6760,10785.15947386728,0
2129,2020-05-13,5632,11279.87610969371,0
2130,2020-05-14,9258,11786.064060788987,0
2131,2020-05-15,11385,12302.949801359764,0
2132,2020-05-16,13944,12829.655922669594,0
2133,2020-05-17,15305,13365.205046229845,0
2134,2020-05-18,14919,13908.526716107806,0
2135,2020-05-19,7938,14458.467427120404,0
2136,2020-05-20,13140,15013.803851339966,0
2137,2020-05-21,17408,15573.259215678758,0
2138,2020-05-22,19951,16135.522658946598,0
2139,2020-05-23,18508,16699.271259345947,0
2140,2020-05-24,20803,17263.19427600576,0
2141,2020-05-25,16508,17826.01899578083,0
2142,2020-05-26,15813,18386.53742605315,0
2143,2020-05-27,11687,18943.632934477646,0
2144,2020-05-28,16324,19496.305817927347,0
2145,2020-05-29,20599,20043.696696715197,0
2146,2020-05-30,26417,20585.10658803392,0
2147,2020-05-31,26928,21120.012525060185,0
2148,2020-06-01,33274,21648.07766380556,0
2149,2020-06-02,16409,22169.154963790686,0
2150,2020-06-03,11598,22683.283741912113,0
2151,2020-06-04,28936,23190.678677379,0
2152,2020-06-05,28633,23691.711179849874,0
2153,2020-06-06,30925,24186.883408151876,0
2154,2020-06-07,30830,24676.79562380235,0
2155,2020-06-08,27075,25162.107958986173,0
2156,2020-06-09,18912,25643.498047616355,0
2157,2020-06-10,15654,26121.61628530477,0
2158,2020-06-11,32091,26597.040725868086,0
2159,2020-06-12,32913,27070.23376836902,0
2160,2020-06-13,30412,27541.502824931446,0
2161,2020-06-14,25982,28010.96707758439,0
2162,2020-06-15,21704,28478.53223155188,0
2163,2020-06-16,17110,28943.87485975338,0
2164,2020-06-17,20647,29406.437523151064,0
2165,2020-06-18,34918,29865.435364648973,0
2166,2020-06-19,32188,30319.874336086054,0
2167,2020-06-20,22765,30768.58065715574,0
2168,2020-06-21,54771,31210.240551671955,0
2169,2020-06-22,34666,31643.44878952793,0
2170,2020-06-23,17459,32066.764108421292,0
2171,2020-06-24,21432,32478.76922035704,0
2172,2020-06-25,39436,32878.13284138748,0
2173,2020-06-26,42725,33263.67103059744,0
2174,2020-06-27,39483,33634.40509172754,0
2175,2020-06-28,46860,33989.61337817761,0
2176,2020-06-29,38693,34328.8745445166,0
2177,2020-06-30,30476,34652.100095795526,0
2178,2020-07-01,24052,34959.55448713931,0
2179,2020-07-02,33846,35251.861504737455,0
2180,2020-07-03,46712,35529.99619777557,0
2181,2020-07-04,48105,35795.262209704626,0
2182,2020-07-05,42223,36049.25495585532,0
2183,2020-07-06,37923,36293.81169099961,0
2184,2020-07-07,26051,36530.95008241124,0
2185,2020-07-08,20229,36762.79742810854,0
2186,2020-07-09,45305,36991.51311308126,0
2187,2020-07-10,44571,37219.20725595777,0
2188,2020-07-11,42619,37447.85874412175,0
2189,2020-07-12,45048,37679.23596922711,0
2190,2020-07-13,39023,37914.82354451008,0
2191,2020-07-14,24831,38155.758103523745,0
2192,2020-07-15,20286,38402.77594771149,0
2193,2020-07-16,41857,38656.17483689657,0
2194,2020-07-17,39924,38915.79162057193,0
2195,2020-07-18,45403,39180.99671581071,0
2196,2020-07-19,34177,39450.70568431029,0
2197,2020-07-20,28532,39723.40738693591,0
2198,2020-07-21,23529,39997.207442753046,0
2199,2020-07-22,20257,40269.885034649065,0
2200,2020-07-23,41008,40538.96052572871,0
2201,2020-07-24,67860,40801.77091370454,0
2202,2020-07-25,59961,41055.549879102036,0
2203,2020-07-26,55891,41297.50909036676,0
2204,2020-07-27,51147,41524.917515334215,0
2205,2020-07-28,24578,41735.175741746985,0
2206,2020-07-29,23284,41925.88270576574,0
2207,2020-07-30,40816,42094.89273356597,0
2208,2020-07-31,69074,42240.36137772422,0
2209,2020-08-01,57837,42360.77913511296,0
2210,2020-08-02,52383,42454.99272553336,0
2211,2020-08-03,45392,42522.214154119625,0
2212,2020-08-04,25800,42562.018247109474,0
2213,2020-08-05,16641,42574.329721060545,0
2214,2020-08-06,51603,42559.40111179165,0
2215,2020-08-07,57152,42517.783053396655,0
2216,2020-08-08,53139,42450.28847074829,0
2217,2020-08-09,50230,42357.95224877504,0
2218,2020-08-10,49970,42241.98788997514,0
2219,2020-08-11,23010,42103.74259017519,0
2220,2020-08-12,22048,41944.65207096488,0
2221,2020-08-13,52160,41766.196419991364,0
2222,2020-08-14,55155,41569.858115029034,0
2223,2020-08-15,60091,41357.083344624116,0
2224,2020-08-16,50644,41129.247680234555,0
2225,2020-08-17,41576,40887.627089610905,0
2226,2020-08-18,23101,40633.37519283388,0
2227,2020-08-19,19373,40367.50753461858,0
2228,2020-08-20,47784,40090.89346547105,0
2229,2020-08-21,49298,39804.2559816989,0
2230,2020-08-22,45323,39508.17956942082,0
2231,2020-08-23,30355,39203.12573882189,0
2232,2020-08-24,50032,38889.455539333765,0
2233,2020-08-25,23421,38567.45793969033,0
2234,2020-08-26,17078,38237.38257044129,0
2235,2020-08-27,47134,37899.47499498567,0
2236,2020-08-28,47161,37554.01243232556,0
2237,2020-08-29,44235,37201.337729859544,0
2238,2020-08-30,43412,36841.88939890173,0
2239,2020-08-31,41350,36476.22568956866,0
2240,2020-09-01,16158,36105.0409928195,0
2241,2020-09-02,45961,35729.17330007711,0
2242,2020-09-03,42659,35349.60199689701,0
2243,2020-09-04,46934,34967.4358782706,0
2244,2020-09-05,43773,34583.89190414546,0
2245,2020-09-06,51194,34200.26581664772,0
2246,2020-09-07,30168,33817.89626902182,0
2247,2020-09-08,14521,33438.12453020605,0
2248,2020-09-09,10273,33062.25209774472,0
2249,2020-09-10,14279,32691.498657396878,0
2250,2020-09-11,35816,32326.962766287645,0
2251,2020-09-12,40557,31969.58741769413,0
2252,2020-09-13,43718,31620.132292123042,0
2253,2020-09-14,33523,31279.15404383053,0
2254,2020-09-15,14768,30946.99545353809,0
2255,2020-09-16,15155,30623.783738595317,0
2256,2020-09-17,36653,30309.43779159568,0
2257,2020-09-18,36820,30003.683652789434,0
2258,2020-09-19,36303,29706.077137977834,0
2259,2020-09-20,39797,29416.032259613457,0
2260,2020-09-21,33057,29132.85390189854,0
2261,2020-09-22,16389,28855.773138238525,0
2262,2020-09-23,13439,28583.983600626885,0
2263,2020-09-24,33536,28316.677408549458,0
2264,2020-09-25,33281,28053.07931964876,0
2265,2020-09-26,32817,27792.47795502816,0
2266,2020-09-27,31911,27534.25316003924,0
2267,2020-09-28,28378,27277.89877192746,0
2268,2020-09-29,14318,27023.04026908228,0
2269,2020-09-30,13155,26769.44696839992,0
2270,2020-10-01,32058,26517.038617652608,0
2271,2020-10-02,33413,26265.88640237927,0
2272,2020-10-03,36157,26016.208556879625,0
2273,2020-10-04,33431,25768.36094124043,0
2274,2020-10-05,26310,25522.82312353751,0
2275,2020-10-06,8456,25280.180687310043,0
2276,2020-10-07,11946,25041.104663379025,0
2277,2020-10-08,41906,24806.32915168167,0
2278,2020-10-09,31553,24576.62833863647,0
2279,2020-10-10,27750,24352.794211716155,0
2280,2020-10-11,27444,24135.61630794983,0
2281,2020-10-12,26749,23925.864791417895,0
2282,2020-10-13,12342,23724.27802514945,0
2283,2020-10-14,8429,23531.555580353554,0
2284,2020-10-15,10220,23348.35731390846,0
2285,2020-10-16,27235,23175.30875578138,0
2286,2020-10-17,28523,23013.012602780305,0
2287,2020-10-18,30914,22862.065642854493,0
2288,2020-10-19,24062,22723.079970050767,0
2289,2020-10-20,10982,22596.706932262052,0
2290,2020-10-21,15383,22483.66191986407,0
2291,2020-10-22,23227,22384.74788713548,0
2292,2020-10-23,24818,22300.875426553524,0
2293,2020-10-24,24858,22233.07730484142,1
2294,2020-10-25,30026,22182.51562264149,0
2295,2020-10-26,26979,22150.480166822927,0
2296,2020-10-27,13493,22138.37706202686,0
2297,2020-10-28,15726,22147.707460209207,0
2298,2020-10-29,29787,22180.036688141212,0
2299,2020-10-30,28629,22236.95495152874,0
2300,2020-10-31,26106,22320.031317359364,0
2301,2020-11-01,22282,22430.76321293514,0
2302,2020-11-02,18947,22570.52404786714,0
2303,2020-11-03,10100,22740.511752525388,0
2304,2020-11-04,8501,22941.701015849743,0
2305,2020-11-05,11843,23174.80179593664,0
2306,2020-11-06,23976,23440.22628372675,0
2307,2020-11-07,22294,23738.06595392147,0
2308,2020-11-08,18862,24068.079681018662,0
2309,2020-11-09,22380,24429.693183940384,0
2310,2020-11-10,10554,24822.00934619416,0
2311,2020-11-11,10917,25243.828295197018,0
2312,2020-11-12,25012,25693.67556406465,0
2313,2020-11-13,48331,26169.836241803296,0
2314,2020-11-14,33207,26670.39277038262,0
2315,2020-11-15,29070,27193.263981598062,0
2316,2020-11-16,38307,27736.24307949297,0
2317,2020-11-17,14134,28297.032547508312,0
2318,2020-11-18,13371,28873.274363441495,0
2319,2020-11-19,35294,29462.574400943322,0
2320,2020-11-20,34091,30062.520440134787,0
2321,2020-11-21,35918,30670.69375792803,0
2322,2020-11-22,38397,31284.67478019829,0
2323,2020-11-23,32622,31902.043719279172,0
2324,2020-11-24,18615,32520.377466715192,0
2325,2020-11-25,16207,33137.244248546514,0
2326,2020-11-26,31100,33750.197674732546,0
2327,2020-11-27,47898,34356.77183098303,0
2328,2020-11-28,37614,34954.47898279417,0
2329,2020-11-29,34130,35540.811304990544,0
2330,2020-11-30,51922,36113.24783440338,0
2331,2020-12-01,24468,36669.26758641633,0
2332,2020-12-02,21138,37206.36949289522,0
2333,2020-12-03,50909,37722.099520038115,0
2334,2020-12-04,49863,38214.08501573753,0
2335,2020-12-05,50434,38680.07601875749,0
2336,2020-12-06,46884,39117.992935263144,0
2337,2020-12-07,43209,39525.97965014456,0
2338,2020-12-08,26363,39902.46079090149,0
2339,2020-12-09,20371,40246.20150420483,0
2340,2020-12-10,51088,40556.367748872886,0
