,Date_reported,New_cases,SmoothedCases,cutDatesW
5994,2020-01-03,0,0.0005913564333229918,0
5995,2020-01-04,0,0.0008507646472611611,0
5996,2020-01-05,0,0.0012153212743013099,0
5997,2020-01-06,0,0.0017228228469426251,0
5998,2020-01-07,0,0.002422090175004621,0
5999,2020-01-08,0,0.003374893829280867,0
6000,2020-01-09,0,0.004657576045639995,0
6001,2020-01-10,0,0.006361985681511516,0
6002,2020-01-11,0,0.008595236191143964,0
6003,2020-01-12,0,0.011477725432913598,0
6004,2020-01-13,0,0.01513885948127421,0
6005,2020-01-14,0,0.019710043684774452,0
6006,2020-01-15,0,0.025314780618015127,0
6007,2020-01-16,0,0.03205616594798252,0
6008,2020-01-17,0,0.04000268998624905,0
6009,2020-01-18,0,0.04917399132037916,0
6010,2020-01-19,0,0.05952899848345995,0
6011,2020-01-20,0,0.0709596570343771,0
6012,2020-01-21,0,0.0832941141216075,0
6013,2020-01-22,0,0.096313812920668,0
6014,2020-01-23,0,0.10978950071513768,0
6015,2020-01-24,0,0.12354182111028993,0
6016,2020-01-25,0,0.13753315086956902,0
6017,2020-01-26,0,0.1519988909827804,0
6018,2020-01-27,0,0.16762874120391094,0
6019,2020-01-28,0,0.18581170211567055,0
6020,2020-01-29,2,0.2089626332468767,0
6021,2020-01-30,0,0.24095292029067472,0
6022,2020-01-31,1,0.28767270419225077,0
6023,2020-02-01,0,0.35775650475334164,0
6024,2020-02-02,0,0.4635070589144346,0
6025,2020-02-03,0,0.6220528445410538,0
6026,2020-02-04,0,0.8567722115034317,0
6027,2020-02-05,0,1.199010696446122,0
6028,2020-02-06,0,1.6901078114779806,0
6029,2020-02-07,0,2.3837358261089365,0
6030,2020-02-08,0,3.3485369295421488,0
6031,2020-02-09,0,4.671028403791228,0
6032,2020-02-10,0,6.458730206652295,0
6033,2020-02-11,0,8.843457869628441,0
6034,2020-02-12,0,11.984717664142124,0
6035,2020-02-13,0,16.07314145035777,0
6036,2020-02-14,0,21.333904947091817,0
6037,2020-02-15,0,28.030083050790438,0
6038,2020-02-16,0,36.46590518946911,0
6039,2020-02-17,0,46.98987694865595,0
6040,2020-02-18,0,59.99772503096743,0
6041,2020-02-19,0,75.9350950529696,0
6042,2020-02-20,0,95.29988150228056,0
6043,2020-02-21,0,118.64399522567766,0
6044,2020-02-22,14,146.57427915567288,0
6045,2020-02-23,62,179.7521754477799,0
6046,2020-02-24,53,218.89163920254256,0
6047,2020-02-25,97,264.7547013789623,0
6048,2020-02-26,93,318.144023875459,0
6049,2020-02-27,78,379.89177981326475,0
6050,2020-02-28,250,450.8442453969462,0
6051,2020-02-29,238,531.8416148472329,0
6052,2020-03-01,240,623.6927491862631,0
6053,2020-03-02,566,727.144839455538,0
6054,2020-03-03,342,842.848296627612,0
6055,2020-03-04,466,971.3175619299915,0
6056,2020-03-05,587,1112.8889482085779,0
6057,2020-03-06,769,1267.6770590064946,0
6058,2020-03-07,778,1435.531767695087,0
6059,2020-03-08,1247,1615.9981489549664,0
6060,2020-03-09,1492,1808.2821049956683,0
6061,2020-03-10,1797,2011.2246739847228,0
6062,2020-03-11,977,2223.288092726243,0
6063,2020-03-12,2313,2442.556548591021,0
6064,2020-03-13,2651,2666.754139879336,0
6065,2020-03-14,2547,2893.281829344152,0
6066,2020-03-15,3497,3119.274114926385,0
6067,2020-03-16,3590,3341.6747924258366,0
6068,2020-03-17,3233,3557.3296364941043,0
6069,2020-03-18,3526,3763.0922183700322,0
6070,2020-03-19,4207,3955.937587243734,0
6071,2020-03-20,5322,4133.077356983,0
6072,2020-03-21,5986,4292.069036068155,0
6073,2020-03-22,6557,4430.91234607666,0
6074,2020-03-23,5560,4548.1258539457995,0
6075,2020-03-24,4789,4642.798473636965,0
6076,2020-03-25,5249,4714.612168765408,0
6077,2020-03-26,5210,4763.83433471891,0
6078,2020-03-27,6153,4791.280637116646,0
6079,2020-03-28,5959,4798.251298859566,0
6080,2020-03-29,5974,4786.445742376257,0
6081,2020-03-30,5217,4757.861931030555,0
6082,2020-03-31,4050,4714.687597909139,0
6083,2020-04-01,4053,4659.190752929818,0
6084,2020-04-02,4782,4593.616438427336,0
6085,2020-04-03,4668,4520.09573519177,0
6086,2020-04-04,4585,4440.571626723603,0
6087,2020-04-05,4805,4356.744660969913,0
6088,2020-04-06,4316,4270.039572859095,0
6089,2020-04-07,3599,4181.592314684999,0
6090,2020-04-08,3039,4092.255438113062,0
6091,2020-04-09,3836,4002.618607530668,0
6092,2020-04-10,4204,3913.0402869397026,0
6093,2020-04-11,3951,3823.686370613343,0
6094,2020-04-12,4694,3734.571706973476,0
6095,2020-04-13,4092,3645.6010288714533,0
6096,2020-04-14,3153,3556.606640833138,0
6097,2020-04-15,2972,3467.381185370897,0
6098,2020-04-16,2667,3377.7047689571996,0
6099,2020-04-17,3786,3287.366541765929,0
6100,2020-04-18,3493,3196.1813978973323,0
6101,2020-04-19,3491,3104.002748748836,0
6102,2020-04-20,3047,3010.7323303501594,0
6103,2020-04-21,2256,2916.3277931866387,0
6104,2020-04-22,2729,2820.8084807763003,0
6105,2020-04-23,3370,2724.259433844851,0
6106,2020-04-24,2646,2626.833353944507,0
6107,2020-04-25,3021,2528.750090678054,0
6108,2020-04-26,2357,2430.293210530919,0
6109,2020-04-27,2324,2331.803355096113,0
6110,2020-04-28,1739,2233.6683636731814,0
6111,2020-04-29,2091,2136.3104625245132,0
6112,2020-04-30,2086,2040.1711483051636,0
6113,2020-05-01,1872,1945.6946616006958,0
6114,2020-05-02,1965,1853.3111191288053,0
6115,2020-05-03,1900,1763.4204302465605,0
6116,2020-05-04,1389,1676.3780636171077,0
6117,2020-05-05,1221,1592.4835665795117,0
6118,2020-05-06,1075,1511.9724961641937,0
6119,2020-05-07,1444,1435.012125440809,0
6120,2020-05-08,1401,1361.7009726348037,0
6121,2020-05-09,1327,1292.0718936081496,0
6122,2020-05-10,1083,1226.0982093502448,0
6123,2020-05-11,802,1163.70213394394,0
6124,2020-05-12,744,1104.7646442557386,0
6125,2020-05-13,1402,1049.1359014681814,0
6126,2020-05-14,888,996.6453973726575,0
6127,2020-05-15,992,947.1111444197128,0
6128,2020-05-16,789,900.3474361768865,0
6129,2020-05-17,875,856.1709437843058,0
6130,2020-05-18,675,814.405149665371,0
6131,2020-05-19,451,774.8833187532613,0
6132,2020-05-20,813,737.450343134197,0
6133,2020-05-21,665,701.9638527441642,0
6134,2020-05-22,642,668.2949606989514,0
6135,2020-05-23,652,636.3289187856003,0
6136,2020-05-24,669,605.9658196816773,0
6137,2020-05-25,531,577.1213276487227,0
6138,2020-05-26,300,549.7272803865549,0
6139,2020-05-27,397,523.7319091283111,0
6140,2020-05-28,584,499.0993910149994,0
6141,2020-05-29,593,475.8084847658444,0
6142,2020-05-30,516,453.8501023802377,0
6143,2020-05-31,416,433.2238191068664,0
6144,2020-06-01,355,413.93349548486543,0
6145,2020-06-02,178,395.9823487680017,0
6146,2020-06-03,318,379.3679369506202,0
6147,2020-06-04,321,364.0775829030729,0
6148,2020-06-05,177,350.0847543394343,0
6149,2020-06-06,518,337.34682514841666,0
6150,2020-06-07,270,325.80448547935634,0
6151,2020-06-08,197,315.3828638137186,0
6152,2020-06-09,280,305.9942043019925,0
6153,2020-06-10,283,297.5417408828446,0
6154,2020-06-11,202,289.9242584869958,0
6155,2020-06-12,379,283.0407563055995,0
6156,2020-06-13,163,276.79464237430284,0
6157,2020-06-14,346,271.09699162355247,0
6158,2020-06-15,338,265.86857470051234,0
6159,2020-06-16,301,261.04058247739806,0
6160,2020-06-17,210,256.55419268383343,0
6161,2020-06-18,328,252.3593100900337,0
6162,2020-06-19,331,248.41292561468265,0
6163,2020-06-20,-148,244.6775613493215,0
6164,2020-06-21,264,241.12019474449346,0
6165,2020-06-22,224,237.71190269662125,0
6166,2020-06-23,221,234.42826834185192,0
6167,2020-06-24,113,231.25039320811362,0
6168,2020-06-25,577,228.1661986663839,0
6169,2020-06-26,296,225.17161768281125,0
6170,2020-06-27,255,222.27128787532055,0
6171,2020-06-28,175,219.4784559823514,0
6172,2020-06-29,174,216.81396831630687,0
6173,2020-06-30,126,214.30441375938494,0
6174,2020-07-01,142,211.97966244325735,0
6175,2020-07-02,182,209.87016638847635,0
6176,2020-07-03,201,208.00443332173464,0
6177,2020-07-04,223,206.40704513737577,0
6178,2020-07-05,235,205.09748020934896,0
6179,2020-07-06,192,204.08984100704578,1
6180,2020-07-07,208,203.39342013910644,0
6181,2020-07-08,137,203.01389372525585,0
6182,2020-07-09,193,202.9548379641811,0
6183,2020-07-10,214,203.21923741151014,0
6184,2020-07-11,276,203.8106918941065,0
6185,2020-07-12,188,204.73412027829878,0
6186,2020-07-13,234,205.99588155266022,0
6187,2020-07-14,169,207.6033611952751,0
6188,2020-07-15,114,209.5641794813603,0
6189,2020-07-16,162,211.88525008371096,0
6190,2020-07-17,230,214.57194238378452,0
6191,2020-07-18,231,217.62757886979054,0
6192,2020-07-19,249,221.05343743266135,0
6193,2020-07-20,218,224.8493405839343,0
6194,2020-07-21,190,229.0148157292835,0
6195,2020-07-22,128,233.5507187355211,0
6196,2020-07-23,280,238.4611409124913,0
6197,2020-07-24,306,243.7553771522801,0
6198,2020-07-25,252,249.4497257176225,0
6199,2020-07-26,274,255.56891873084876,0
6200,2020-07-27,254,262.1470429666823,0
6201,2020-07-28,168,269.2278951507349,0
6202,2020-07-29,202,276.8648130122744,0
6203,2020-07-30,288,285.1201182733141,0
6204,2020-07-31,382,294.0643841738661,0
6205,2020-08-01,379,303.7757815629146,0
6206,2020-08-02,295,314.33974997478066,0
6207,2020-08-03,238,325.8491748487401,0
6208,2020-08-04,159,338.4051290095545,0
6209,2020-08-05,190,352.1180663965925,0
6210,2020-08-06,384,367.1091610960093,0
6211,2020-08-07,401,383.51129743410036,0
6212,2020-08-08,552,401.46907585543164,0
6213,2020-08-09,347,421.1371431147314,0
6214,2020-08-10,463,442.6762148623076,0
6215,2020-08-11,259,466.2463495917875,0
6216,2020-08-12,412,491.9973494178366,0
6217,2020-08-13,476,520.0565754052421,0
6218,2020-08-14,522,550.5149207222125,0
6219,2020-08-15,574,583.4121148999329,0
6220,2020-08-16,629,618.7228620554835,0
6221,2020-08-17,477,656.3454770467742,0
6222,2020-08-18,320,696.0946282421927,0
6223,2020-08-19,401,737.6995070150429,0
6224,2020-08-20,642,780.8082426131498,0
6225,2020-08-21,840,824.9987242292622,0
6226,2020-08-22,947,869.7952674234475,0
6227,2020-08-23,1071,914.689873766698,0
6228,2020-08-24,1209,959.1662843943349,0
6229,2020-08-25,953,1002.724705112023,0
6230,2020-08-26,876,1044.9050336074768,0
6231,2020-08-27,1366,1085.306655015272,0
6232,2020-08-28,1409,1123.6033515030686,0
6233,2020-08-29,1460,1159.5525163648429,0
6234,2020-08-30,1444,1192.998569743151,0
6235,2020-08-31,1365,1223.8711315388678,0
6236,2020-09-01,996,1252.1790207619079,0
6237,2020-09-02,975,1278.0014535522666,0
6238,2020-09-03,1326,1301.4778797944853,0
6239,2020-09-04,1397,1322.797750012105,0
6240,2020-09-05,1732,1342.1911971024479,0
6241,2020-09-06,1693,1359.921232693422,0
6242,2020-09-07,1297,1376.2776831190752,0
6243,2020-09-08,1150,1391.5728010139023,0
6244,2020-09-09,1369,1406.138334362884,0
6245,2020-09-10,1430,1420.3238292794413,0
6246,2020-09-11,1597,1434.4960636745113,0
6247,2020-09-12,1616,1449.039705334627,0
6248,2020-09-13,1501,1464.3594927739891,0
6249,2020-09-14,1456,1480.8843832570938,0
6250,2020-09-15,1008,1499.0741468849376,0
6251,2020-09-16,1229,1519.4287815353293,0
6252,2020-09-17,1452,1542.5008844290492,0
6253,2020-09-18,1583,1568.9107750195658,0
6254,2020-09-19,1907,1599.3637753867085,0
6255,2020-09-20,1637,1634.6686834266304,0
6256,2020-09-21,1587,1675.756183880613,0
6257,2020-09-22,1350,1723.6957824305905,0
6258,2020-09-23,1391,1779.709847510707,0
6259,2020-09-24,1640,1845.1835075240658,0
6260,2020-09-25,1786,1921.669458637921,0
6261,2020-09-26,1912,2010.887151739068,0
6262,2020-09-27,1869,2114.716294778071,0
6263,2020-09-28,1766,2235.1850705500733,0
6264,2020-09-29,1494,2374.453871922018,0
6265,2020-09-30,1647,2534.795644240597,0
6266,2020-10-01,1850,2718.5740562419905,0
6267,2020-10-02,2548,2928.2206690899393,0
6268,2020-10-03,2499,3166.2120296422727,0
6269,2020-10-04,2843,3435.047191899653,0
6270,2020-10-05,2578,3737.22560668799,0
6271,2020-10-06,2257,4075.2246742524303,0
6272,2020-10-07,2677,4451.475608176031,0
6273,2020-10-08,3677,4868.335706347252,0
6274,2020-10-09,4458,5328.054764452543,0
6275,2020-10-10,5372,5832.733291166842,0
6276,2020-10-11,5724,6384.270463224299,0
6277,2020-10-12,5456,6984.300431785528,0
6278,2020-10-13,4619,7634.116654998567,0
6279,2020-10-14,5898,8334.58533129635,0
6280,2020-10-15,7332,9086.050636825526,0
6281,2020-10-16,8803,9888.23617150709,0
6282,2020-10-17,10009,10740.148594314587,0
6283,2020-10-18,10925,11639.990659125142,0
6284,2020-10-19,11705,12585.091529560514,0
6285,2020-10-20,9337,13571.862169230253,0
6286,2020-10-21,10871,14595.78265433594,0
6287,2020-10-22,15199,15651.426418691766,0
6288,2020-10-23,16078,16732.523817297402,0
6289,2020-10-24,19143,17832.064210389435,0
6290,2020-10-25,19640,18942.432362934665,0
6291,2020-10-26,21273,20055.571734872312,0
6292,2020-10-27,17007,21163.164630081643,0
6293,2020-10-28,21989,22256.817548966163,0
6294,2020-10-29,24988,23328.239703761144,0
6295,2020-10-30,26829,24369.40359205226,0
6296,2020-10-31,31079,25372.678678290333,0
6297,2020-11-01,31756,26330.93232574214,0
6298,2020-11-02,29905,27237.595744412327,0
6299,2020-11-03,22253,28086.696408106167,0
6300,2020-11-04,28241,28872.8617001878,0
6301,2020-11-05,30548,29591.301115299557,0
6302,2020-11-06,34502,30237.7759481089,0
6303,2020-11-07,37802,30808.56595893531,0
6304,2020-11-08,39809,31300.442064636183,0
6305,2020-11-09,32614,31710.652793527515,0
6306,2020-11-10,25269,32036.930240964597,0
6307,2020-11-11,35090,32277.518751922362,0
6308,2020-11-12,32961,32431.22671613659,0
6309,2020-11-13,37977,32497.49886607807,0
6310,2020-11-14,40902,32476.503511635306,0
6311,2020-11-15,37249,32369.226458991034,0
6312,2020-11-16,33977,32177.56122086666,0
6313,2020-11-17,27352,31904.383835579134,0
6314,2020-11-18,32191,31553.60046275043,0
6315,2020-11-19,34280,31130.157124695943,0
6316,2020-11-20,36176,30640.00357669429,0
6317,2020-11-21,37239,30090.007174605726,0
6318,2020-11-22,34764,29487.817396241862,0
6319,2020-11-23,28337,28841.6867925119,0
6320,2020-11-24,22927,28160.258895358078,0
6321,2020-11-25,23227,27452.337275260677,0
6322,2020-11-26,25852,26726.65192132604,0
6323,2020-11-27,29001,25991.639052149276,0
6324,2020-11-28,28342,25255.248325189186,0
6325,2020-11-29,26315,24524.7875237191,0
6326,2020-11-30,20646,23806.80980754981,0
6327,2020-12-01,16376,23107.043368871375,0
6328,2020-12-02,19347,22430.358741034197,0
6329,2020-12-03,20709,21780.76584474036,0
6330,2020-12-04,23219,21161.431619555195,0
