,Date_reported,New_cases,SmoothedCases,cutDatesW
11988,2020-01-03,0,1.7493560012511716e-06,0
11989,2020-01-04,0,3.5946130784445255e-06,0
11990,2020-01-05,0,7.3219767124968015e-06,0
11991,2020-01-06,0,1.4767809061930002e-05,0
11992,2020-01-07,0,2.9456821862135348e-05,0
11993,2020-01-08,0,5.803309247002989e-05,0
11994,2020-01-09,0,0.00011277153616425227,0
11995,2020-01-10,0,0.00021585315293476902,0
11996,2020-01-11,0,0.0004064002316291549,0
11997,2020-01-12,0,0.0007516269623082118,0
11998,2020-01-13,0,0.0013637939660136285,0
11999,2020-01-14,0,0.0024248241231010605,0
12000,2020-01-15,0,0.0042202299615770305,0
12001,2020-01-16,0,0.00718314872207642,0
12002,2020-01-17,0,0.011947500366063513,0
12003,2020-01-18,0,0.01940638266178303,0
12004,2020-01-19,0,0.030767824654070033,0
12005,2020-01-20,0,0.047595341616934295,0
12006,2020-01-21,0,0.07181628174304312,0
12007,2020-01-22,0,0.10567816447397757,0
12008,2020-01-23,0,0.15163387596746475,0
12009,2020-01-24,0,0.21214243635939292,0
12010,2020-01-25,0,0.28938409476053684,0
12011,2020-01-26,0,0.3849062919707945,0
12012,2020-01-27,0,0.49923809611228565,0
12013,2020-01-28,0,0.631530545720377,0
12014,2020-01-29,0,0.7792930742111654,0
12015,2020-01-30,0,0.9382961484052567,0
12016,2020-01-31,0,1.1026938730866869,0
12017,2020-02-01,1,1.2653879751185806,0
12018,2020-02-02,0,1.4186114951756164,0
12019,2020-02-03,0,1.5546661000378639,0
12020,2020-02-04,1,1.6667125635167732,0
12021,2020-02-05,18,1.749499660336206,0
12022,2020-02-06,0,1.799927777831765,0
12023,2020-02-07,1,1.8173784802457753,0
12024,2020-02-08,0,1.8037918404054498,0
12025,2020-02-09,0,1.7635270199604678,0
12026,2020-02-10,3,1.7030853440965268,0
12027,2020-02-11,1,1.6307996139859067,0
12028,2020-02-12,1,1.5565955640244682,0
12029,2020-02-13,4,1.4919147910431734,0
12030,2020-02-14,1,1.4498614339671336,0
12031,2020-02-15,1,1.4456069513147254,0
12032,2020-02-16,0,1.4970660906096724,0
12033,2020-02-17,0,1.6258461100334791,0
12034,2020-02-18,0,1.8584699923154124,0
12035,2020-02-19,1,2.2278798328848453,0
12036,2020-02-20,0,2.7752355269398423,0
12037,2020-02-21,0,3.5520340725166224,0
12038,2020-02-22,0,4.6225846104007795,0
12039,2020-02-23,2,6.066880673302381,0
12040,2020-02-24,0,7.9839070972827155,0
12041,2020-02-25,6,10.495393108136113,0
12042,2020-02-26,2,13.749961890467555,0
12043,2020-02-27,3,17.927522469801527,0
12044,2020-02-28,2,23.243609124386996,0
12045,2020-02-29,8,29.953227400774793,0
12046,2020-03-01,12,38.35366937614732,0
12047,2020-03-02,4,48.78578308675653,0
12048,2020-03-03,20,61.633380805688354,0
12049,2020-03-04,41,77.32086471767273,0
12050,2020-03-05,57,96.3096824323132,0
12051,2020-03-06,56,119.09476348740334,0
12052,2020-03-07,49,146.2024347175045,0
12053,2020-03-08,83,178.19126088500906,0
12054,2020-03-09,68,215.65666556286897,0
12055,2020-03-10,55,259.2390508852566,0
12056,2020-03-11,148,309.6336268450828,0
12057,2020-03-12,265,367.598621397653,0
12058,2020-03-13,403,433.9574065850435,0
12059,2020-03-14,484,509.5897557104297,0
12060,2020-03-15,478,595.408203373039,0
12061,2020-03-16,352,692.3173240337994,0
12062,2020-03-17,441,801.156399687861,0
12063,2020-03-18,602,922.6288972775171,0
12064,2020-03-19,783,1057.224786556178,0
12065,2020-03-20,984,1205.1434101441396,0
12066,2020-03-21,1040,1366.224991585053,0
12067,2020-03-22,1253,1539.8978834605862,0
12068,2020-03-23,1183,1725.146618877702,0
12069,2020-03-24,1361,1920.5033116169868,0
12070,2020-03-25,2289,2124.0626272646514,0
12071,2020-03-26,2353,2333.518973665937,0
12072,2020-03-27,2666,2546.223976703613,0
12073,2020-03-28,3039,2759.2625590390426,0
12074,2020-03-29,3154,2969.5465226453553,0
12075,2020-03-30,2774,3173.924792433096,0
12076,2020-03-31,2818,3369.3088477783394,0
12077,2020-04-01,4195,3552.810108973531,0
12078,2020-04-02,4463,3721.883332396622,0
12079,2020-04-03,4891,3874.4669452412745,0
12080,2020-04-04,4824,4009.1084652759055,0
12081,2020-04-05,4853,4125.061457014402,0
12082,2020-04-06,3976,4222.3404796690675,0
12083,2020-04-07,3556,4301.722564077481,0
12084,2020-04-08,5273,4364.68803358305,0
12085,2020-04-09,5477,4413.299771878719,0
12086,2020-04-10,5146,4450.027774125771,0
12087,2020-04-11,4875,4477.533982028692,0
12088,2020-04-12,4327,4498.439563257017,0
12089,2020-04-13,3585,4515.101306972687,0
12090,2020-04-14,3507,4529.424229199682,0
12091,2020-04-15,4203,4542.733078361758,0
12092,2020-04-16,4335,4555.7165707390495,0
12093,2020-04-17,5070,4568.446438067699,0
12094,2020-04-18,5292,4580.461204994452,0
12095,2020-04-19,4977,4590.894762505739,0
12096,2020-04-20,4744,4598.624484440131,0
12097,2020-04-21,3881,4602.413921819251,0
12098,2020-04-22,4441,4601.030643256642,0
12099,2020-04-23,4795,4593.328908029904,0
12100,2020-04-24,5517,4578.297087991761,0
12101,2020-04-25,5167,4555.078481339589,0
12102,2020-04-26,4961,4522.979292919115,0
12103,2020-04-27,3757,4481.478015578331,0
12104,2020-04-28,3476,4430.246404856194,0
12105,2020-04-29,4739,4369.185042176468,0
12106,2020-04-30,4719,4298.468302048654,0
12107,2020-05-01,5433,4218.5868068102,0
12108,2020-05-02,4961,4130.372199291445,0
12109,2020-05-03,4766,4034.9903452540457,0
12110,2020-05-04,3258,3933.894654741634,0
12111,2020-05-05,3002,3828.739606691722,0
12112,2020-05-06,3398,3721.2634905173777,0
12113,2020-05-07,3686,3613.156434159467,0
12114,2020-05-08,3832,3505.9331482541384,0
12115,2020-05-09,3787,3400.828750361151,0
12116,2020-05-10,3064,3298.7310523059527,0
12117,2020-05-11,2170,3200.155315858453,0
12118,2020-05-12,2337,3105.259719526327,0
12119,2020-05-13,3612,3013.8935251075086,0
12120,2020-05-14,3410,2925.666438696383,0
12121,2020-05-15,3330,2840.0272528471965,0
12122,2020-05-16,2630,2756.34194971331,0
12123,2020-05-17,2530,2673.964833835592,0
12124,2020-05-18,2082,2592.299582588688,0
12125,2020-05-19,1837,2510.849303855809,0
12126,2020-05-20,2581,2429.255375399639,0
12127,2020-05-21,3063,2347.324332175291,0
12128,2020-05-22,2719,2265.041203460681,0
12129,2020-05-23,2567,2182.5674264877166,0
12130,2020-05-24,2057,2100.2223971642284,0
12131,2020-05-25,1532,2018.449874875413,0
12132,2020-05-26,1373,1937.7732317072264,0
12133,2020-05-27,1625,1858.7459567539745,0
12134,2020-05-28,2070,1781.9049626935482,0
12135,2020-05-29,1825,1707.7335790821783,0
12136,2020-05-30,1757,1636.6387497437588,0
12137,2020-05-31,1531,1568.9435354849102,0
12138,2020-06-01,1132,1504.8925226273973,0
12139,2020-06-02,1080,1444.6650923716454,0
12140,2020-06-03,1439,1388.3903460807883,0
12141,2020-06-04,1492,1336.1579802815925,0
12142,2020-06-05,1369,1288.021288570275,0
12143,2020-06-06,1249,1243.9911458325623,0
12144,2020-06-07,1123,1204.0225860358162,0
12145,2020-06-08,804,1167.9977599104964,0
12146,2020-06-09,722,1135.710196593359,0
12147,2020-06-10,1099,1106.8552186004263,0
12148,2020-06-11,1165,1081.0301879532124,0
12149,2020-06-12,1196,1057.7463430917344,0
12150,2020-06-13,1013,1036.451800419333,0
12151,2020-06-14,1053,1016.5633218755844,0
12152,2020-06-15,886,997.50306071357,0
12153,2020-06-16,826,978.735882256846,0
12154,2020-06-17,1045,959.8030164020003,0
12155,2020-06-18,1103,940.3485871568104,0
12156,2020-06-19,1017,920.1367525425907,0
12157,2020-06-20,1022,899.0585288734329,0
12158,2020-06-21,993,877.1286467938102,0
12159,2020-06-22,683,854.4738223456158,0
12160,2020-06-23,636,831.3145138525374,0
12161,2020-06-24,899,807.9425283932014,0
12162,2020-06-25,883,784.6967626161766,0
