,Date_reported,New_cases,SmoothedCases,cutDatesW
7992,2020-01-03,0,2.207093843225539,0
7993,2020-01-04,0,2.3861331727704864,0
7994,2020-01-05,0,2.5786360072106684,0
7995,2020-01-06,0,2.7854911107836684,0
7996,2020-01-07,0,3.0076317890639164,0
7997,2020-01-08,0,3.246036498372508,0
7998,2020-01-09,0,3.5017292503420387,0
7999,2020-01-10,0,3.7757797827006687,0
8000,2020-01-11,0,4.069303465758971,0
8001,2020-01-12,0,4.383460912644897,0
8002,2020-01-13,0,4.719457260079086,0
8003,2020-01-14,0,5.0785410854609,0
8004,2020-01-15,0,5.462002925294526,0
8005,2020-01-16,0,5.8711733595764315,0
8006,2020-01-17,0,6.307420626745101,0
8007,2020-01-18,0,6.772147734217001,0
8008,2020-01-19,0,7.266789030455614,0
8009,2020-01-20,0,7.792806205998871,0
8010,2020-01-21,0,8.351683692957852,0
8011,2020-01-22,0,8.944923435246807,0
8012,2020-01-23,0,9.57403900525616,0
8013,2020-01-24,0,10.240549046874898,0
8014,2020-01-25,0,10.945970029735696,0
8015,2020-01-26,0,11.691808305315526,0
8016,2020-01-27,0,12.479551462081194,0
8017,2020-01-28,0,13.310658984217485,0
8018,2020-01-29,0,14.186552226589843,0
8019,2020-01-30,0,15.108603727433572,0
8020,2020-01-31,0,16.07812588976582,0
8021,2020-02-01,0,17.096359072605747,0
8022,2020-02-02,0,18.164459143660252,0
8023,2020-02-03,0,19.283484556066632,0
8024,2020-02-04,0,20.454383022937456,0
8025,2020-02-05,0,21.677977874665537,0
8026,2020-02-06,0,22.95495419504062,0
8027,2020-02-07,0,24.285844843009976,0
8028,2020-02-08,0,25.671016477177524,0
8029,2020-02-09,0,27.110655709666098,0
8030,2020-02-10,0,28.604755524546942,0
8031,2020-02-11,0,30.15310210345098,0
8032,2020-02-12,0,31.75526220700653,0
8033,2020-02-13,0,33.41057126519478,0
8034,2020-02-14,0,35.11812233239295,0
8035,2020-02-15,0,36.876756063622295,0
8036,2020-02-16,0,38.68505186719506,0
8037,2020-02-17,0,40.54132038545785,0
8038,2020-02-18,0,42.44359744958697,0
8039,2020-02-19,0,44.389639646373915,0
8040,2020-02-20,1,46.37692162465837,0
8041,2020-02-21,0,48.402635256572566,0
8042,2020-02-22,0,50.463690754156644,0
8043,2020-02-23,0,52.55671982532672,0
8044,2020-02-24,0,54.67808093480921,0
8045,2020-02-25,0,56.823866715716576,0
8046,2020-02-26,0,58.98991355618495,0
8047,2020-02-27,0,61.17181336320731,0
8048,2020-02-28,3,63.364927482785134,0
8049,2020-02-29,2,65.56440273211179,0
8050,2020-03-01,9,67.7651894760301,0
8051,2020-03-02,6,69.96206165681501,0
8052,2020-03-03,10,72.14963866375852,0
8053,2020-03-04,12,74.32240890740913,0
8054,2020-03-05,31,76.47475494295588,0
8055,2020-03-06,33,78.6009799684371,0
8056,2020-03-07,33,80.69533550647265,0
8057,2020-03-08,24,82.75205006328859,0
8058,2020-03-09,19,84.76535854614248,0
8059,2020-03-10,65,86.72953221001775,0
8060,2020-03-11,247,88.63890889677405,0
8061,2020-03-12,241,90.48792332489977,0
8062,2020-03-13,175,92.27113718566301,0
8063,2020-03-14,206,93.98326880180684,0
8064,2020-03-15,147,95.61922210795555,0
8065,2020-03-16,100,97.17411471752729,0
8066,2020-03-17,99,98.64330484908496,0
8067,2020-03-18,180,100.0224168955766,0
8068,2020-03-19,176,101.30736543265796,0
8069,2020-03-20,213,102.49437747707674,0
