,Date_reported,Indicator,SmoothedCases,cutDatesW
13986,2020-01-03,0.0,1.9587666510345466e-08,0
13987,2020-01-04,0.0,2.249101674162137e-08,0
13988,2020-01-05,0.0,2.57630283452633e-08,0
13989,2020-01-06,0.0,2.9435841722414845e-08,0
13990,2020-01-07,0.0,3.3541027640464886e-08,0
13991,2020-01-08,0.0,3.810869538286932e-08,0
13992,2020-01-09,0.0,4.31664643304107e-08,0
13993,2020-01-10,0.0,4.8738320674066734e-08,0
13994,2020-01-11,0.0,5.484339628716196e-08,0
13995,2020-01-12,0.0,6.149472441791163e-08,0
13996,2020-01-13,0.0,6.869804607844107e-08,0
13997,2020-01-14,0.0,7.645076078574805e-08,0
13998,2020-01-15,0.0,8.474113445549158e-08,0
13999,2020-01-16,0.0,9.354789459012793e-08,0
14000,2020-01-17,0.0,1.028403576029245e-07,0
14001,2020-01-18,0.0,1.1257924506436755e-07,0
14002,2020-01-19,0.0,1.2271835587846038e-07,0
14003,2020-01-20,2.976704170281576e-07,1.3320727247336533e-07,0
14004,2020-01-21,0.0,1.4399529547526865e-07,0
14005,2020-01-22,0.0,1.5503682954639695e-07,0
14006,2020-01-23,0.0,1.66298491758571e-07,0
14007,2020-01-24,0.0,1.7776829378504428e-07,0
14008,2020-01-25,1.488352085140788e-06,1.8946737309368705e-07,0
14009,2020-01-26,2.976704170281576e-07,2.0146493100479587e-07,0
14010,2020-01-27,0.0,2.1389729388625963e-07,0
14011,2020-01-28,2.976704170281576e-07,2.2699236730242626e-07,0
14012,2020-01-29,0.0,2.4110122387982344e-07,0
14013,2020-01-30,0.0,2.5673917952753815e-07,0
14014,2020-01-31,0.0,2.746394984183912e-07,0
14015,2020-02-01,0.0,2.958238569664319e-07,0
14016,2020-02-02,2.976704170281576e-07,3.216949254128772e-07,0
14017,2020-02-03,2.976704170281576e-07,3.5415792764069984e-07,0
14018,2020-02-04,8.930112510844729e-07,3.9577984843669926e-07,0
14019,2020-02-05,1.1906816681126305e-06,4.4999709957522875e-07,0
14020,2020-02-06,5.953408340563152e-07,5.213849476427883e-07,0
14021,2020-02-07,0.0,6.160048456272642e-07,0
14022,2020-02-08,0.0,7.418489694610702e-07,0
14023,2020-02-09,2.976704170281576e-07,9.094046772785612e-07,0
14024,2020-02-10,0.0,1.1323651744929478e-06,0
14025,2020-02-11,0.0,1.4285162155665278e-06,0
14026,2020-02-12,0.0,1.820831967595159e-06,0
14027,2020-02-13,0.0,2.3388158852616636e-06,0
14028,2020-02-14,5.953408340563152e-07,3.02012419687209e-06,0
14029,2020-02-15,2.976704170281576e-07,3.912509881886517e-06,0
14030,2020-02-16,2.976704170281576e-07,5.076123251156743e-06,0
14031,2020-02-17,0.0,6.586200772779717e-06,0
14032,2020-02-18,0.0,8.536165931369117e-06,0
14033,2020-02-19,5.953408340563152e-07,1.1041153986676795e-05,0
14034,2020-02-20,1.488352085140788e-06,1.424195589972826e-05,0
14035,2020-02-21,8.930112510844729e-07,1.8309354961691032e-05,0
14036,2020-02-22,2.976704170281576e-07,2.34488025747846e-05,0
14037,2020-02-23,1.488352085140788e-06,2.9905347317569367e-05,0
14038,2020-02-24,2.381363336225261e-06,3.7968694436386805e-05,0
14039,2020-02-25,0.0,4.7978232315769724e-05,0
14040,2020-02-26,1.1906816681126305e-06,6.032781994166605e-05,0
14041,2020-02-27,1.1906816681126305e-06,7.547008711904998e-05,0
14042,2020-02-28,2.381363336225261e-06,9.391996002781032e-05,0
14043,2020-02-29,1.488352085140788e-06,0.00011625709183817546,0
14044,2020-03-01,1.1906816681126305e-06,0.0001431268550886776,0
14045,2020-03-02,2.6790337532534183e-06,0.00017523954294813848,0
14046,2020-03-03,5.358067506506837e-06,0.00021336743371676411,0
14047,2020-03-04,1.0418464595985516e-05,0.0002583393998253554,0
14048,2020-03-05,1.518119126843604e-05,0.00031103279118230347,0
14049,2020-03-06,2.0836929191971032e-05,0.00037236239388209523,0
14050,2020-03-07,2.321829252819629e-05,0.0004432663585493123,0
14051,2020-03-08,3.869715421366049e-05,0.0005246891059606418,0
14052,2020-03-09,4.345988088611101e-05,0.0006175613475296939,0
14053,2020-03-10,6.310612840996941e-05,0.0007227774997630068,0
14054,2020-03-11,0.0001160914626409,0.0008411709186644184,0
14055,2020-03-12,0.0001479421972629,0.0009734875251256532,0
14056,2020-03-13,0.0001562769689397,0.0011203585279353568,0
14057,2020-03-14,0.0002164063931794,0.0012822730694653601,0
14058,2020-03-15,0.0002881449636832,0.0014595517130748805,0
14059,2020-03-16,0.0003628602383573,0.00165232175439044,0
14060,2020-03-17,0.0006355263403551,0.0018604953656669774,0
14061,2020-03-18,0.0007051812179397,0.002083751569685366,0
14062,2020-03-19,0.0009611777765839,0.0023215229849925714,0
14063,2020-03-20,0.0014472735675909,0.002572988187318153,0
14064,2020-03-21,0.0018196592592931,0.0028370703939221147,0
14065,2020-03-22,0.0022500906823158,0.003112443001218607,0
14066,2020-03-23,0.0027117774991265,0.0033975422955081457,0
14067,2020-03-24,0.0032044220393081,0.0036905874176390388,0
14068,2020-03-25,0.0032011476647208,0.003989607401828547,0
14069,2020-03-26,0.003373201165763,0.004292474834935694,0
14070,2020-03-27,0.0042016179363524,0.004596945404732486,0
14071,2020-03-28,0.0054991632841781,0.004900702335004832,0
14072,2020-03-29,0.0060558069640208,0.005201404453660847,0
14073,2020-03-30,0.006153442860806,0.0054967364204229945,0
14074,2020-03-31,0.0077876534502906,0.005784459466640731,0
14075,2020-04-01,0.0046246075989494,0.00606246088463906,0
14076,2020-04-02,0.0069238139000749,0.006328800460105568,0
14077,2020-04-03,0.0085354015378653,0.006581752078424999,0
14078,2020-04-04,0.0088676017232688,0.006819838861296711,0
14079,2020-04-05,0.0095424205586716,0.0070418604054889025,0
14080,2020-04-06,0.0095653411807828,0.007246910997592982,0
14081,2020-04-07,0.0080323385330878,0.007434388057164462,0
14082,2020-04-08,0.0085220063690991,0.007603990499126392,0
14083,2020-04-09,0.0087378174214445,0.0077557071820845815,0
14084,2020-04-10,0.0101648494006775,0.00788979609456688,0
14085,2020-04-11,0.0103419632988092,0.008006755395238752,0
14086,2020-04-12,0.0098764067665772,0.008107287834080336,0
14087,2020-04-13,0.0093864412601488,0.008192260409384226,0
14088,2020-04-14,0.0080644869381268,0.00826266133492055,0
14089,2020-04-15,0.0075143920074588,0.008319556484581603,0
14090,2020-04-16,0.0075188570637142,0.00836404743936357,0
14091,2020-04-17,0.0075036758724457,0.008397233085245344,0
14092,2020-04-18,0.0093748321138847,0.00842017641269938,0
14093,2020-04-19,0.0090241763626256,0.008433877771462437,0
14094,2020-04-20,0.0084181193935562,0.008439255368165456,0
14095,2020-04-21,0.007760267771924,0.008437133295286663,0
14096,2020-04-22,0.0078668337812201,0.008428236885701776,0
14097,2020-04-23,0.007717700902289,0.008413194734712411,0
14098,2020-04-24,0.0090697199364309,0.008392546353217572,0
14099,2020-04-25,0.0098859322199221,0.008366754136792593,0
14100,2020-04-26,0.0103523817634052,0.008336218171774972,0
14101,2020-04-27,0.0100023213529801,0.008301292356718152,0
14102,2020-04-28,0.0077581840790048,0.00826230039123782,0
14103,2020-04-29,0.0070717560973379,0.008219550360581173,0
14104,2020-04-30,0.0071247414315689,0.008173346901977137,0
14105,2020-05-01,0.0079692324046778,0.00812400025162828,0
14106,2020-05-02,0.0092935680900361,0.008071831810219867,0
14107,2020-05-03,0.0098475327361255,0.008017176201280918,0
14108,2020-05-04,0.0084216914385606,0.007960380104331685,0
14109,2020-05-05,0.007717403231872,0.007901798401585978,0
14110,2020-05-06,0.0066451943897365,0.007841788366925955,0
14111,2020-05-07,0.0068101038007701,0.0077807027393866105,0
14112,2020-05-08,0.0075727354091963,0.007718882557710757,0
14113,2020-05-09,0.0084990857469879,0.007656650591342429,0
14114,2020-05-10,0.0085818381229217,0.007594306095870123,0
14115,2020-05-11,0.0077147241981187,0.007532121461306716,0
14116,2020-05-12,0.0061486801341336,0.007470341126768641,0
14117,2020-05-13,0.0059382271492947,0.007409182923809295,0
14118,2020-05-14,0.007114918307807,0.007348841801668462,0
14119,2020-05-15,0.0051601166791831,0.007289495698379613,0
14120,2020-05-16,0.0103118985866894,0.007231313166584417,0
14121,2020-05-17,0.0079263678646257,0.007174462252669976,0
14122,2020-05-18,0.0077632444760943,0.007119120068403669,0
14123,2020-05-19,0.0059284040255327,0.007065482486473448,0
14124,2020-05-20,0.0067702159648884,0.007013773431182925,0
14125,2020-05-21,0.0065255308820912,0.006964253314568783,0
14126,2020-05-22,0.0069970408226638,0.006917226274612279,0
14127,2020-05-23,0.0077962858923844,0.006873045992201253,0
14128,2020-05-24,0.007728417037302,0.006832119982782916,0
14129,2020-05-25,0.0063894955015094,0.006794912364046465,0
14130,2020-05-26,0.0061471917820484,0.006761945181818981,0
14131,2020-05-27,0.0057685550115886,0.00673379842560337,1
14132,2020-05-28,0.005211911331746,0.006711108880076791,0
14133,2020-05-29,0.0058069544953852,0.0066945679410869265,0
14134,2020-05-30,0.0071982660245749,0.00668491847999019,0
14135,2020-05-31,0.0070669933706654,0.006682950777575343,0
14136,2020-06-01,0.0071818941516383,0.006689497479388764,0
14137,2020-06-02,0.0063897931719264,0.006705427459819699,0
14138,2020-06-03,0.0051071313449521,0.006731638433944486,0
14139,2020-06-04,0.0062433393267485,0.006769048133087411,0
14140,2020-06-05,0.0061602892803977,0.006818583868664911,0
14141,2020-06-06,0.0062123816033776,0.006881170351960029,0
14142,2020-06-07,0.0072902461834366,0.00695771571409508,0
14143,2020-06-08,0.0069312556605006,0.007049095776085021,0
14144,2020-06-09,0.0054935075462546,0.007156136745756196,0
14145,2020-06-10,0.005403015739478,0.007279596656346251,0
14146,2020-06-11,0.0055310140188001,0.007420145999027489,0
14147,2020-06-12,0.0066026275201015,0.007578348126071831,0
14148,2020-06-13,0.0068136758457745,0.0077546401009331795,0
14149,2020-06-14,0.0084338959256587,0.00794931473552722,0
14150,2020-06-15,0.0078686198037223,0.008162504575020385,0
14151,2020-06-16,0.006184995925011,0.008394168561062438,0
14152,2020-06-17,0.0061293315570267,0.008644082023768032,0
14153,2020-06-18,0.0073753799227066,0.008911830523032068,0
14154,2020-06-19,0.0076843618155818,0.009196807887264541,0
14155,2020-06-20,0.008489560293643,0.009498218592662935,0
14156,2020-06-21,0.0098540814853001,0.00981508440250097,0
14157,2020-06-22,0.0099621358466813,0.010146254960012528,0
14158,2020-06-23,0.0081397975536349,0.010490421818088376,0
14159,2020-06-24,0.008542545627874,0.010846135211871154,0
14160,2020-06-25,0.0112778390899458,0.011211822752345077,0
14161,2020-06-26,0.0111090599634908,0.01158580915264712,0
14162,2020-06-27,0.013997058349498,0.011966336101632408,0
14163,2020-06-28,0.0138532835380734,0.012351581472746691,0
14164,2020-06-29,0.0129942067145301,0.012739677195462248,0
14165,2020-06-30,0.0111873472831692,0.013128725309935307,0
14166,2020-07-01,0.0114653714526735,0.013516811956033757,0
14167,2020-07-02,0.0140658202158315,0.01390201929422489,0
14168,2020-07-03,0.0176643578872849,0.01428243559466559,0
14169,2020-07-04,0.0165064199650453,0.014656163939114763,0
14170,2020-07-05,0.0179691723943217,0.015021330137554805,0
14171,2020-07-06,0.014579004014788,0.01537609055205439,0
14172,2020-07-07,0.0120297545633589,0.015718640535307683,0
14173,2020-07-08,0.0151106433796003,0.016047224128775028,0
14174,2020-07-09,0.016893689177599,0.016360145531334025,0
14175,2020-07-10,0.0192813035925818,0.01665578265659803,0
14176,2020-07-11,0.0184380033011411,0.016932602863745407,0
14177,2020-07-12,0.0204136418589569,0.017189180694390106,0
14178,2020-07-13,0.020319578007176,0.01742421719937008,0
14179,2020-07-14,0.0174673000712122,0.017636560215785736,0
14180,2020-07-15,0.0167549747632639,0.017825224774429854,0
14181,2020-07-16,0.0192045046249886,0.0179894126944479,0
14182,2020-07-17,0.0215480638182513,0.018128530363643768,0
14183,2020-07-18,0.0205931371204249,0.01824220371160401,0
14184,2020-07-19,0.0229063339311507,0.018330289455862313,0
14185,2020-07-20,0.0200403631560036,0.01839288183156091,0
14186,2020-07-21,0.0178637970666937,0.018430314192429166,0
14187,2020-07-22,0.0174193751340707,0.018443155083690876,0
14188,2020-07-23,0.0188532535328953,0.01843219862354526,0
14189,2020-07-24,0.021556100919511,0.018398449277313524,0
14190,2020-07-25,0.0217722096422735,0.018343101356188028,0
14191,2020-07-26,0.0217748886760267,0.01826751381064649,0
14192,2020-07-27,0.0183350093368493,0.01817318110756727,0
14193,2020-07-28,0.0171931456171293,0.018061701170834343,0
14194,2020-07-29,0.0160762862124397,0.017934741518754207,0
14195,2020-07-30,0.017475634842889,0.01779400483894564,0
14196,2020-07-31,0.0193054148963611,0.017641195293840124,0
14197,2020-08-01,0.0196879213822423,0.01747798683988266,0
14198,2020-08-02,0.0202966573850649,0.01730599476533382,0
14199,2020-08-03,0.0167921835653924,0.017126751502945372,0
14200,2020-08-04,0.0151362430354647,0.016941687557002125,0
14201,2020-08-05,0.0134928046630523,0.016752118107197053,0
14202,2020-08-06,0.0154955312288177,0.016559235528577625,0
14203,2020-08-07,0.0165480938234293,0.016364107717359147,0
14204,2020-08-08,0.015825647721302,0.016167681761655818,0
14205,2020-08-09,0.018606187086762,0.015970792172097615,0
14206,2020-08-10,0.0153833094815981,0.01577417261832834,0
14207,2020-08-11,0.0138339349609665,0.015578469929421133,0
14208,2020-08-12,0.0129120496794303,0.015384259029547442,0
14209,2020-08-13,0.0175500524471461,0.015192057506572895,0
14210,2020-08-14,0.0161905916525785,0.015002338651863107,0
14211,2020-08-15,0.0153371705669587,0.014815542054133175,0
14212,2020-08-16,0.0167466399915871,0.014632081157044823,0
14213,2020-08-17,0.0152219721155688,0.01445234756816392,0
14214,2020-08-18,0.0123518339545834,0.01427671229778496,0
14215,2020-08-19,0.012379814973784,0.014105524469048305,0
14216,2020-08-20,0.012390531108797,0.013939108336282754,0
14217,2020-08-21,0.0138637020026694,0.013777759643168783,0
14218,2020-08-22,0.0137479082104454,0.013621742422717334,0
14219,2020-08-23,0.0140443879458055,0.013471287276813279,0
14220,2020-08-24,0.0126658762445481,0.013326591978494689,0
14221,2020-08-25,0.0107789434710066,0.013187824934271652,0
14222,2020-08-26,0.0106315966145776,0.013055131658774534,0
14223,2020-08-27,0.0120776795005004,0.012928643991928787,0
14224,2020-08-28,0.0138208374626173,0.012808491377291158,0
14225,2020-08-29,0.0139663982965441,0.012694813167160923,0
