,Date_reported,New_cases,SmoothedCases,cutDatesPV
4995,2020-01-03,0,6.904305243354507e-07,0
4996,2020-01-04,0,1.0329242363113766e-06,0
4997,2020-01-05,0,1.5421392444278788e-06,0
4998,2020-01-06,0,2.2973795477480494e-06,0
4999,2020-01-07,0,3.414612667066044e-06,0
5000,2020-01-08,0,5.062830749212545e-06,0
5001,2020-01-09,0,7.487395631996428e-06,0
5002,2020-01-10,0,1.1043184998747806e-05,0
5003,2020-01-11,0,1.624141237282294e-05,0
5004,2020-01-12,0,2.3815407579657177e-05,0
5005,2020-01-13,0,3.4812522107440105e-05,0
5006,2020-01-14,0,5.072179623641361e-05,0
5007,2020-01-15,0,7.365025148678714e-05,0
5008,2020-01-16,0,0.00010656484519647225,0
5009,2020-01-17,0,0.00015362247257674967,0
5010,2020-01-18,0,0.00022061719360220978,0
5011,2020-01-19,0,0.0003155824076077327,0
5012,2020-01-20,0,0.00044959635045011416,0
5013,2020-01-21,0,0.0006378524426249903,0
5014,2020-01-22,0,0.0009010721054411787,0
5015,2020-01-23,0,0.0012673571508767703,0
5016,2020-01-24,0,0.0017746022215627852,0
5017,2020-01-25,0,0.0024736154900097946,0
5018,2020-01-26,0,0.0034321283664275042,0
5019,2020-01-27,0,0.004739912680490711,0
5020,2020-01-28,0,0.0065152669257222415,0
5021,2020-01-29,0,0.008913181703821134,0
5022,2020-01-30,0,0.012135548188891792,0
5023,2020-01-31,0,0.01644383153273284,0
5024,2020-02-01,0,0.022174692381868224,0
5025,2020-02-02,0,0.02975910210817754,0
5026,2020-02-03,0,0.03974555816156884,0
5027,2020-02-04,0,0.05282806135778095,0
5028,2020-02-05,0,0.06987956206629611,0
5029,2020-02-06,0,0.09199161118687972,0
5030,2020-02-07,0,0.12052095742301393,0
5031,2020-02-08,0,0.15714380662990962,0
5032,2020-02-09,0,0.20391839317589347,0
5033,2020-02-10,0,0.2633563982539221,0
5034,2020-02-11,0,0.3385035771489883,0
5035,2020-02-12,0,0.4330297188922664,0
5036,2020-02-13,0,0.5513277517747939,0
5037,2020-02-14,0,0.6986214241427435,0
5038,2020-02-15,0,0.8810805331962105,0
5039,2020-02-16,0,1.1059421518658406,0
5040,2020-02-17,0,1.3816357281824712,0
5041,2020-02-18,0,1.7179093227645263,0
5042,2020-02-19,0,2.1259536352477832,0
5043,2020-02-20,0,2.6185198837703396,0
5044,2020-02-21,0,3.2100270831158193,0
5045,2020-02-22,0,3.9166538611855533,0
5046,2020-02-23,0,4.756409706162179,0
5047,2020-02-24,0,5.749180492368574,0
5048,2020-02-25,0,6.916743329952268,0
5049,2020-02-26,0,8.282746250366174,0
5050,2020-02-27,0,9.87264898946637,0
5051,2020-02-28,0,11.71362215695345,0
