,Date_reported,New_cases,SmoothedCases,cutDatesW
4995,2020-01-03,0,9.658605334021235e-26,0
4996,2020-01-04,0,5.70722987740071e-25,0
4997,2020-01-05,0,3.325465579452121e-24,0
4998,2020-01-06,0,1.9077611315224803e-23,0
4999,2020-01-07,0,1.0757841987005815e-22,0
5000,2020-01-08,0,5.952629422617811e-22,0
5001,2020-01-09,0,3.2263432849466885e-21,0
5002,2020-01-10,0,1.709885286481252e-20,0
5003,2020-01-11,0,8.845790397065975e-20,0
5004,2020-01-12,0,4.459862856927629e-19,0
5005,2020-01-13,0,2.1881966944710105e-18,0
5006,2020-01-14,0,1.0434564855668507e-17,0
5007,2020-01-15,0,4.830771634499761e-17,0
5008,2020-01-16,0,2.169375315525758e-16,0
5009,2020-01-17,0,9.443610208092406e-16,0
5010,2020-01-18,0,3.983038494000449e-15,0
5011,2020-01-19,0,1.6271180252328203e-14,0
5012,2020-01-20,0,6.436666373238895e-14,0
5013,2020-01-21,0,2.465424131568227e-13,0
5014,2020-01-22,0,9.143105705252614e-13,0
5015,2020-01-23,0,3.283017007073903e-12,0
5016,2020-01-24,0,1.1414388340959414e-11,0
5017,2020-01-25,0,3.842978863493762e-11,0
5018,2020-01-26,0,1.2530410701207815e-10,0
5019,2020-01-27,0,3.9573071809979774e-10,0
5020,2020-01-28,0,1.210695970863135e-09,0
5021,2020-01-29,0,3.5887528012790215e-09,0
5022,2020-01-30,0,1.0308752077242888e-08,0
5023,2020-01-31,0,2.8702046021672115e-08,0
5024,2020-02-01,0,7.747532779650625e-08,0
5025,2020-02-02,0,2.0279962829533955e-07,0
5026,2020-02-03,0,5.149242007130954e-07,0
5027,2020-02-04,0,1.2685888834760203e-06,0
5028,2020-02-05,0,3.033460690074636e-06,0
5029,2020-02-06,0,7.042758652714552e-06,0
5030,2020-02-07,0,1.588140379685168e-05,0
5031,2020-02-08,0,3.479665212135493e-05,0
5032,2020-02-09,0,7.4106071206355e-05,0
5033,2020-02-10,0,0.00015346368078631738,0
5034,2020-02-11,0,0.0003091442296510467,0
5035,2020-02-12,0,0.0006060204633023676,0
5036,2020-02-13,0,0.0011565070883492049,0
5037,2020-02-14,0,0.002149340917460582,0
5038,2020-02-15,0,0.0038915003181450277,0
5039,2020-02-16,0,0.006866609472543531,0
5040,2020-02-17,0,0.011812566484081036,0
5041,2020-02-18,0,0.01981969565966346,0
5042,2020-02-19,0,0.03244851652733353,0
5043,2020-02-20,0,0.05186377153642088,0
5044,2020-02-21,0,0.08097983051785806,0
5045,2020-02-22,0,0.1236138101111803,0
5046,2020-02-23,0,0.18464883637493484,0
5047,2020-02-24,0,0.2702224778408654,0
5048,2020-02-25,0,0.3879744442617559,0
5049,2020-02-26,0,0.5474102063682267,0
5050,2020-02-27,0,0.7604566127754566,0
5051,2020-02-28,0,1.042292101933719,0
5052,2020-02-29,0,1.4125170677207102,0
5053,2020-03-01,1,1.8966815177912828,0
5054,2020-03-02,0,2.52810662239997,0
5055,2020-03-03,0,3.349833467954089,0
5056,2020-03-04,1,4.416425976710396,0
5057,2020-03-05,4,5.79527197195342,0
5058,2020-03-06,7,7.56699338621352,0
5059,2020-03-07,5,9.824612845094368,0
5060,2020-03-08,1,12.671235047355392,0
5061,2020-03-09,2,16.21617712678897,0
5062,2020-03-10,3,20.569697295604257,0
5063,2020-03-11,10,25.836689796599536,0
5064,2020-03-12,9,32.10989660187688,0
5065,2020-03-13,27,39.46329603523801,0
5066,2020-03-14,20,47.94634193475767,0
5067,2020-03-15,39,57.579642684310144,0
5068,2020-03-16,40,68.3525144752915,0
5069,2020-03-17,54,80.22267033961249,0
5070,2020-03-18,69,93.11817793298734,0
5071,2020-03-19,74,106.94177692324403,0
5072,2020-03-20,191,121.57768192248227,0
5073,2020-03-21,126,136.90103275492268,0
5074,2020-03-22,102,152.79006365085033,0
5075,2020-03-23,121,169.14072318005967,0
5076,2020-03-24,219,185.8828412776235,0
5077,2020-03-25,204,202.99609992494536,0
5078,2020-03-26,235,220.52325702792555,0
5079,2020-03-27,255,238.57761828106325,0
5080,2020-03-28,302,257.3419301506805,0
5081,2020-03-29,294,277.05678964188957,0
5082,2020-03-30,210,297.998196213328,0
5083,2020-03-31,285,320.4456444819237,0
5084,2020-04-01,325,344.64370912927257,0
5085,2020-04-02,212,370.76102498005855,0
5086,2020-04-03,402,398.8507783368974,0
5087,2020-04-04,424,428.81646250557554,0
5088,2020-04-05,331,460.386085410597,0
5089,2020-04-06,390,493.0976333534246,0
5090,2020-04-07,865,526.298552605949,0
5091,2020-04-08,365,559.1621030245745,0
5092,2020-04-09,464,590.7231249295589,0
5093,2020-04-10,705,619.9343968458592,0
5094,2020-04-11,696,645.7419469381111,0
5095,2020-04-12,839,667.1735843274189,0
5096,2020-04-13,727,683.4304142303328,0
5097,2020-04-14,992,693.9676196562657,0
5098,2020-04-15,831,698.549864697324,0
5099,2020-04-16,1069,697.2693410682028,0
5100,2020-04-17,724,690.5207648551417,0
5101,2020-04-18,709,678.936322744277,0
5102,2020-04-19,778,663.2924454056434,0
5103,2020-04-20,493,644.4067688205206,0
5104,2020-04-21,401,623.0456587515611,0
5105,2020-04-22,388,599.8594245963784,0
5106,2020-04-23,631,575.3546824538732,0
5107,2020-04-24,936,549.9035106597436,0
5108,2020-04-25,577,523.780014836747,0
5109,2020-04-26,377,497.2092902790312,0
5110,2020-04-27,701,470.41292794533507,0
5111,2020-04-28,386,443.6389130693166,0
5112,2020-04-29,229,417.17032982233366,0
5113,2020-04-30,376,391.3142960777849,0
5114,2020-05-01,359,366.3777754820312,0
5115,2020-05-02,221,342.63905396839596,0
5116,2020-05-03,343,320.3226896195954,0
5117,2020-05-04,330,299.5826887923318,0
5118,2020-05-05,266,280.49508411678903,0
5119,2020-05-06,211,263.0583962944634,0
5120,2020-05-07,265,247.19940136941716,0
5121,2020-05-08,137,232.78212296148882,0
5122,2020-05-09,156,219.61930276754651,0
5123,2020-05-10,219,207.48681001549863,0
5124,2020-05-11,236,196.1417733470465,0
5125,2020-05-12,139,185.34440946274714,0
5126,2020-05-13,107,174.8819121208783,0
5127,2020-05-14,159,164.59108712123816,0
5128,2020-05-15,426,154.3754853991617,0
5129,2020-05-16,129,144.21314252084198,0
5130,2020-05-17,92,134.15273027079468,0
5131,2020-05-18,64,124.29849561041573,0
5132,2020-05-19,88,114.7869925976206,0
5133,2020-05-20,51,105.7604587494259,0
5134,2020-05-21,64,97.34218472378967,0
5135,2020-05-22,76,89.61828847819554,0
5136,2020-05-23,115,82.62832815496792,0
5137,2020-05-24,76,76.36487207884063,0
5138,2020-05-25,57,70.78021541627722,0
5139,2020-05-26,59,65.79738292759478,0
5140,2020-05-27,37,61.32250286950662,0
5141,2020-05-28,68,57.25634156567464,0
5142,2020-05-29,38,53.50381228782209,0
5143,2020-05-30,35,49.98117693931171,0
5144,2020-05-31,53,46.62117017185151,0
5145,2020-06-01,61,43.376350579240665,0
5146,2020-06-02,72,40.220774436373674,0
5147,2020-06-03,4,37.149833585966306,0
5148,2020-06-04,45,34.17800838370833,0
5149,2020-06-05,31,31.33445331857201,0
5150,2020-06-06,21,28.65671670175076,0
5151,2020-06-07,20,26.183356754550243,0
5152,2020-06-08,18,23.946580935460307,0
5153,2020-06-09,6,21.966163073511574,0
5154,2020-06-10,8,20.245721941664975,0
5155,2020-06-11,16,18.772005700136294,0
5156,2020-06-12,7,17.517226267618092,0
5157,2020-06-13,12,16.44387464076199,0
5158,2020-06-14,45,15.510969643057376,0
5159,2020-06-15,8,14.680455967799928,0
5160,2020-06-16,18,13.922515503571617,0
5161,2020-06-17,13,13.218860882086446,0
5162,2020-06-18,7,12.563556095380793,0
5163,2020-06-19,14,11.961438656498725,0
5164,2020-06-20,13,11.424684147699233,0
5165,2020-06-21,6,10.968367549446373,0
5166,2020-06-22,5,10.605990229401094,0
5167,2020-06-23,4,10.345856658146259,0
5168,2020-06-24,8,10.188938666068315,0
5169,2020-06-25,5,10.128519803206093,0
5170,2020-06-26,9,10.151540669880614,0
5171,2020-06-27,9,10.24123785145323,0
5172,2020-06-28,23,10.380441154992564,0
5173,2020-06-29,2,10.55480196006349,0
5174,2020-06-30,23,10.755279180690327,0
5175,2020-07-01,11,10.979390803524645,0
5176,2020-07-02,4,11.231007098219827,0
5177,2020-07-03,12,11.518760672099273,1
5178,2020-07-04,9,11.853419818839008,0
5179,2020-07-05,11,12.244764868472753,0
5180,2020-07-06,18,12.698589740555015,0
5181,2020-07-07,4,13.214412350658074,0
5182,2020-07-08,7,13.784330912204496,0
5183,2020-07-09,4,14.39324176683065,0
5184,2020-07-10,23,15.020385188281152,0
5185,2020-07-11,24,15.641959844012202,0
5186,2020-07-12,22,16.23438820225165,0
5187,2020-07-13,17,16.777750010961114,0
5188,2020-07-14,10,17.25893019431344,0
5189,2020-07-15,32,17.67412800472592,0
5190,2020-07-16,13,18.030507056059786,0
5191,2020-07-17,15,18.34689001993305,0
5192,2020-07-18,32,18.653488949632127,0
5193,2020-07-19,20,18.990706189899296,0
5194,2020-07-20,10,19.407058133301607,0
5195,2020-07-21,6,19.95629484457183,0
5196,2020-07-22,36,20.693840931957368,0
5197,2020-07-23,17,21.672776830721034,0
5198,2020-07-24,7,22.939696583808445,0
5199,2020-07-25,19,24.530874263883756,0
5200,2020-07-26,24,26.469193049794622,0
5201,2020-07-27,12,28.762201838442905,0
5202,2020-07-28,11,31.40146860698513,0
