,Date_reported,New_cases,SmoothedCases,cutDatesW
0,2020-01-03,0,0.5263024999264965,0
1,2020-01-04,0,0.6011673555146517,0
2,2020-01-05,0,0.6864681469019374,0
3,2020-01-06,0,0.783600006588129,0
4,2020-01-07,0,0.8941320890568945,0
5,2020-01-08,0,1.0198268856016082,0
6,2020-01-09,0,1.1626612446183497,0
7,2020-01-10,0,1.3248491688575004,0
8,2020-01-11,0,1.508866448691307,0
9,2020-01-12,0,1.7174771744004538,0
10,2020-01-13,0,1.9537621503939373,0
11,2020-01-14,0,2.2211492097539685,0
12,2020-01-15,0,2.523445398172137,0
13,2020-01-16,0,2.8648709618939345,0
14,2020-01-17,0,3.2500950344639987,0
15,2020-01-18,0,3.6842728717031217,0
16,2020-01-19,0,4.173084433404197,0
17,2020-01-20,0,4.722774053801133,0
18,2020-01-21,0,5.340190881199482,0
19,2020-01-22,0,6.032829700704171,0
20,2020-01-23,0,6.808871683389628,0
21,2020-01-24,0,7.677224531406736,0
22,2020-01-25,0,8.647561412519977,0
23,2020-01-26,0,9.730358000768408,0
24,2020-01-27,0,10.936926863932412,0
25,2020-01-28,0,12.279448365074494,0
26,2020-01-29,0,13.770997176616884,0
27,2020-01-30,0,15.42556344339604,0
28,2020-01-31,0,17.258067578191003,0
29,2020-02-01,0,19.28436763172117,0
30,2020-02-02,0,21.521258151415523,0
31,2020-02-03,0,23.986459431667168,0
32,2020-02-04,1,26.698596064961798,0
33,2020-02-05,0,29.677163730142805,0
34,2020-02-06,0,32.94248320279604,0
35,2020-02-07,0,36.515640644582746,0
36,2020-02-08,0,40.41841332417849,0
37,2020-02-09,0,44.67318004266649,0
38,2020-02-10,0,49.302815680651605,0
39,2020-02-11,0,54.330569452333286,0
40,2020-02-12,0,59.77992664208439,0
41,2020-02-13,0,65.67445380997475,0
42,2020-02-14,0,72.0376276818866,0
43,2020-02-15,0,78.89264818465244,0
44,2020-02-16,0,86.26223634383543,0
45,2020-02-17,0,94.16841802782704,0
46,2020-02-18,0,102.63229479300982,0
47,2020-02-19,0,111.67380335673083,0
48,2020-02-20,0,121.31146549348829,0
49,2020-02-21,0,131.56213041066368,0
