,Date_reported,New_cases,SmoothedCases,cutDatesW
9990,2020-01-03,0,0.4672924867119423,0
9991,2020-01-04,0,0.516291129365677,0
9992,2020-01-05,0,0.5702558102227019,0
9993,2020-01-06,0,0.6296624099699876,0
9994,2020-01-07,0,0.6950283052913357,0
9995,2020-01-08,0,0.7669154004526926,0
9996,2020-01-09,0,0.8459332987154801,0
9997,2020-01-10,0,0.9327426082760726,0
9998,2020-01-11,0,1.0280583752645587,0
9999,2020-01-12,0,1.1326536339193263,0
10000,2020-01-13,0,1.2473630613801876,0
10001,2020-01-14,0,1.3730867216099354,0
10002,2020-01-15,0,1.5107938797648668,0
10003,2020-01-16,0,1.6615268648965555,0
10004,2020-01-17,0,1.8264049551934625,0
10005,2020-01-18,0,2.006628256081904,0
10006,2020-01-19,0,2.2034815374287087,0
10007,2020-01-20,0,2.4183379918577597,0
10008,2020-01-21,0,2.6526628718532113,0
10009,2020-01-22,0,2.9080169589257405,0
10010,2020-01-23,0,3.1860598137263696,0
10011,2020-01-24,0,3.48855275167558,0
10012,2020-01-25,0,3.817361484513158,0
10013,2020-01-26,0,4.174458364254326,0
10014,2020-01-27,0,4.5619241624556714,0
10015,2020-01-28,0,4.981949314552434,0
10016,2020-01-29,0,5.436834556434111,0
10017,2020-01-30,0,5.928990878488622,0
10018,2020-01-31,0,6.460938721178885,0
10019,2020-02-01,0,7.035306335930006,0
10020,2020-02-02,0,7.654827235808161,0
10021,2020-02-03,0,8.322336662263766,0
10022,2020-02-04,0,9.040766997182716,0
10023,2020-02-05,0,9.81314205371843,0
10024,2020-02-06,0,10.642570184925578,0
10025,2020-02-07,0,11.532236156127462,0
10026,2020-02-08,0,12.485391735242981,0
10027,2020-02-09,0,13.505344964973707,0
10028,2020-02-10,0,14.59544809177628,0
10029,2020-02-11,0,15.759084138863164,0
10030,2020-02-12,0,16.99965212399894,0
10031,2020-02-13,0,18.320550937475197,0
10032,2020-02-14,0,19.72516191121059,0
10033,2020-02-15,0,21.216830126264217,0
10034,2020-02-16,0,22.798844522974324,0
10035,2020-02-17,0,24.474416895224564,0
10036,2020-02-18,0,26.246659867760574,0
10037,2020-02-19,0,28.118563972782766,0
10038,2020-02-20,0,30.092973958967452,0
10039,2020-02-21,0,32.17256448235602,0
10040,2020-02-22,0,34.35981534393882,0
10041,2020-02-23,0,36.65698645299048,0
10042,2020-02-24,0,39.0660927080439,0
10043,2020-02-25,0,41.58887899859017,0
10044,2020-02-26,1,44.226795539956235,0
10045,2020-02-27,0,46.98097376115536,0
10046,2020-02-28,2,49.85220297067302,0
10047,2020-02-29,1,52.840908028017296,0
10048,2020-03-01,0,55.947128249333154,0
10049,2020-03-02,0,59.170497773397805,0
10050,2020-03-03,0,62.510227609848194,0
10051,2020-03-04,2,65.96508958455557,0
10052,2020-03-05,0,69.53340238768979,0
10053,2020-03-06,1,73.21301991828476,0
10054,2020-03-07,6,77.00132210512336,0
10055,2020-03-08,2,80.89520836763816,0
10056,2020-03-09,2,84.89109386242485,0
10057,2020-03-10,8,88.98490864106601,0
10058,2020-03-11,20,93.17209982346297,0
10059,2020-03-12,19,97.44763686798359,0
10060,2020-03-13,25,101.8060199956857,0
10061,2020-03-14,24,106.24129180090874,0
10062,2020-03-15,26,110.74705205488961,0
10063,2020-03-16,23,115.31647568301034,0
10064,2020-03-17,33,119.94233387008134,0
10065,2020-03-18,22,124.61701822197182,0
10066,2020-03-19,43,129.33256788617211,0
10067,2020-03-20,17,134.08069950877191,0
10068,2020-03-21,31,138.85283988111271,0
10069,2020-03-22,59,143.64016110626122,0
10070,2020-03-23,66,148.43361809368838,0
10071,2020-03-24,143,153.22398817033675,0
10072,2020-03-25,186,158.00191257782234,0
10073,2020-03-26,144,162.7579396090266,0
10074,2020-03-27,123,167.48256912295298,0
10075,2020-03-28,263,172.16629816458925,0
10076,2020-03-29,160,176.79966740675002,0
10077,2020-03-30,308,181.3733081235603,0
10078,2020-03-31,192,185.87798940044914,0
10079,2020-04-01,293,190.3046652832842,0
10080,2020-04-02,215,194.64452156960428,0
10081,2020-04-03,278,198.88902194777424,0
10082,2020-04-04,445,203.02995319525223,0
10083,2020-04-05,430,207.05946915494107,0
10084,2020-04-06,251,210.97013321869568,0
10085,2020-04-07,193,214.75495905935233,0
10086,2020-04-08,360,218.40744936697843,0
10087,2020-04-09,344,221.92163236125072,0
10088,2020-04-10,441,225.2920958697635,0
10089,2020-04-11,265,228.5140187814444,0
10090,2020-04-12,523,231.58319970490237,0
10091,2020-04-13,310,234.49608268322103,0
10092,2020-04-14,333,237.24977983921642,0
10093,2020-04-15,246,239.84209084826256,0
10094,2020-04-16,337,242.2715191592231,0
10095,2020-04-17,491,244.53728490758095,0
10096,2020-04-18,360,246.63933448830224,0
10097,2020-04-19,351,248.57834677909798,0
10098,2020-04-20,328,250.35573602734206,0
10099,2020-04-21,190,251.97365143578142,0
10100,2020-04-22,306,253.43497350314715,0
10101,2020-04-23,468,254.7433071956892,0
10102,2020-04-24,386,255.902972044351,0
10103,2020-04-25,321,256.91898927965815,0
10104,2020-04-26,218,257.7970661322892,0
10105,2020-04-27,401,258.54357744164224,0
10106,2020-04-28,303,259.16554472741933,0
10107,2020-04-29,277,259.6706128902691,0
10108,2020-04-30,362,260.06702471680296,0
10109,2020-05-01,262,260.3635933718059,0
10110,2020-05-02,327,260.5696730661905,0
10111,2020-05-03,165,260.6951280931761,0
10112,2020-05-04,431,260.75030042735153,0
10113,2020-05-05,349,260.7459760817061,0
10114,2020-05-06,325,260.6933504164406,0
10115,2020-05-07,270,260.6039925904492,0
10116,2020-05-08,392,260.48980934185516,0
10117,2020-05-09,312,260.3630082779628,0
10118,2020-05-10,320,260.2360608475445,0
10119,2020-05-11,231,260.1216651596116,0
10120,2020-05-12,226,260.0327088028215,0
10121,2020-05-13,190,259.9822318085775,0
10122,2020-05-14,224,259.98338988881096,0
10123,2020-05-15,245,260.04941806652323,0
10124,2020-05-16,190,260.1935948035748,0
10125,2020-05-17,267,260.42920671608533,0
10126,2020-05-18,167,260.76951395332594,0
10127,2020-05-19,165,261.22771630131837,0
10128,2020-05-20,155,261.8169200576876,0
10129,2020-05-21,196,262.5501057098427,0
10130,2020-05-22,198,263.440096434468,0
10131,2020-05-23,127,264.49952742280936,0
10132,2020-05-24,145,265.7408160235246,0
10133,2020-05-25,213,267.17613268314363,0
10134,2020-05-26,213,268.81737265364285,0
10135,2020-05-27,146,270.67612842746934,0
10136,2020-05-28,165,272.76366285274673,0
10137,2020-05-29,197,275.09088287550276,0
10138,2020-05-30,191,277.6683138517523,0
10139,2020-05-31,151,280.5060743702665,0
10140,2020-06-01,124,283.61385152697545,0
10141,2020-06-02,141,287.00087659427413,0
10142,2020-06-03,119,290.67590103306964,0
10143,2020-06-04,152,294.64717280226466,0
10144,2020-06-05,238,298.9224129294882,0
10145,2020-06-06,196,303.50879231821006,0
10146,2020-06-07,187,308.41290877984034,0
10147,2020-06-08,189,313.6407642948645,0
10148,2020-06-09,125,319.19774252435514,0
10149,2020-06-10,145,325.0885866121116,0
10150,2020-06-11,196,331.31737733797127,0
10151,2020-06-12,237,337.8875117042271,0
10152,2020-06-13,222,344.8016820592655,0
10153,2020-06-14,275,352.0618558851519,0
10154,2020-06-15,320,359.6692563985865,0
10155,2020-06-16,166,367.62434413702283,0
10156,2020-06-17,250,375.92679972338965,0
10157,2020-06-18,345,384.5755080233698,0
10158,2020-06-19,320,393.5685439281458,0
10159,2020-06-20,320,402.9031600125161,0
10160,2020-06-21,330,412.5757763329159,0
10161,2020-06-22,315,422.5819726417606,0
10162,2020-06-23,246,432.91648330332146,0
10163,2020-06-24,214,443.5731952017155,0
10164,2020-06-25,321,454.5451489332724,0
10165,2020-06-26,460,465.82454357329476,0
10166,2020-06-27,411,477.4027453008782,0
10167,2020-06-28,325,489.27030015488066,0
10168,2020-06-29,291,501.41695117926207,0
10169,2020-06-30,269,513.8316601968749,0
10170,2020-07-01,388,526.5026344274168,0
10171,2020-07-02,326,539.4173581378215,0
10172,2020-07-03,450,552.5626294820545,0
10173,2020-07-04,420,565.924602652358,0
10174,2020-07-05,416,579.4888354257953,0
10175,2020-07-06,391,593.2403421488706,0
10176,2020-07-07,250,607.1636521594558,0
10177,2020-07-08,397,621.2428735997682,0
10178,2020-07-09,555,635.4617625272074,0
10179,2020-07-10,614,649.8037971820331,0
10180,2020-07-11,592,664.2522572227513,0
10181,2020-07-12,698,678.7903076922121,0
10182,2020-07-13,456,693.4010874304715,0
10183,2020-07-14,413,708.0678016049354,0
10184,2020-07-15,637,722.7738179848324,0
10185,2020-07-16,641,737.5027665461334,0
10186,2020-07-17,777,752.2386419551999,0
10187,2020-07-18,799,766.9659084451265,0
10188,2020-07-19,889,781.669606568389,0
10189,2020-07-20,767,796.3354612833427,0
10190,2020-07-21,681,810.9499908106313,0
10191,2020-07-22,994,825.500615678894,0
10192,2020-07-23,1030,839.9757673674179,0
10193,2020-07-24,1112,854.3649959466642,0
10194,2020-07-25,1119,868.6590761158891,0
10195,2020-07-26,1284,882.8501110402929,0
10196,2020-07-27,1120,896.9316333981369,0
10197,2020-07-28,1104,910.8987030608108,0
10198,2020-07-29,1151,924.7480008456673,0
10199,2020-07-30,1182,938.477917802188,0
10200,2020-07-31,1356,952.0886395163419,0
10201,2020-08-01,1295,965.582224945381,0
10202,2020-08-02,1225,978.9626793253346,0
10203,2020-08-03,1075,992.2360207256181,0
10204,2020-08-04,823,1005.4103398589195,0
10205,2020-08-05,1232,1018.495852789411,0
10206,2020-08-06,1309,1031.504946217763,0
10207,2020-08-07,1345,1044.4522150569783,0
10208,2020-08-08,1378,1057.3544920481768,0
10209,2020-08-09,1350,1070.2308691997678,0
10210,2020-08-10,1145,1083.1027108664402,0
10211,2020-08-11,779,1095.9936583158187,0
10212,2020-08-12,1215,1108.929625660085,0
10213,2020-08-13,1415,1121.9387870571327,0
10214,2020-08-14,1454,1135.0515551106944,0
10215,2020-08-15,1415,1148.3005504212515,0
10216,2020-08-16,1328,1161.7205622592746,0
10217,2020-08-17,1087,1175.3485003495587,0
10218,2020-08-18,733,1189.2233377700345,0
10219,2020-08-19,1014,1203.3860449807232,0
10220,2020-08-20,1409,1217.8795150085302,0
10221,2020-08-21,1346,1232.7484798216788,0
10222,2020-08-22,1392,1248.039417933992,0
10223,2020-08-23,1189,1263.8004532843327,0
10224,2020-08-24,961,1280.081245440708,0
10225,2020-08-25,825,1296.9328711821563,0
10226,2020-08-26,1060,1314.4076975151693,0
10227,2020-08-27,1256,1332.5592461853823,0
10228,2020-08-28,1504,1351.442049750161,0
10229,2020-08-29,1318,1371.111499283978,0
10230,2020-08-30,1365,1391.6236837966253,0
10231,2020-08-31,952,1413.0352214547638,0
10232,2020-09-01,755,1435.4030827106376,0
10233,2020-09-02,1053,1458.7844054582933,0
10234,2020-09-03,1298,1483.2363023578496,0
10235,2020-09-04,1365,1508.815660492606,0
10236,2020-09-05,1339,1535.578933552334,0
10237,2020-09-06,1269,1563.5819267693466,0
10238,2020-09-07,1150,1592.8795748719942,0
10239,2020-09-08,883,1623.52571336335,0
10240,2020-09-09,1136,1655.57284348105,0
10241,2020-09-10,1271,1689.0718912475859,0
10242,2020-09-11,1380,1724.0719610787785,0
10243,2020-09-12,1391,1760.6200844814985,0
10244,2020-09-13,1311,1798.760964439744,0
10245,2020-09-14,1109,1838.5367161606637,0
10246,2020-09-15,692,1879.9866049285024,0
10247,2020-09-16,1111,1923.1467818943752,0
10248,2020-09-17,1713,1968.050018712532,0
10249,2020-09-18,1679,2014.7254420187137,0
10250,2020-09-19,1527,2063.1982688324993,0
10251,2020-09-20,1333,2113.489544052318,0
10252,2020-09-21,1231,2165.6158812980248,0
10253,2020-09-22,808,2219.589208440594,0
10254,2020-09-23,1059,2275.4165192403066,0
10255,2020-09-24,1767,2333.0996325926803,0
10256,2020-09-25,1639,2392.634960953875,0
10257,2020-09-26,1629,2454.0132895831434,0
