,Date_reported,Indicator,SmoothedCases,cutDatesW
1998,2020-01-03,0.0,2.56424100372868e-07,0
1999,2020-01-04,0.0,2.8946077325746874e-07,0
2000,2020-01-05,0.0,3.2664881584985184e-07,0
2001,2020-01-06,0.0,3.6849102963773154e-07,0
2002,2020-01-07,0.0,4.155478884253163e-07,0
2003,2020-01-08,0.0,4.6844362547880337e-07,0
2004,2020-01-09,0.0,5.278728804611071e-07,0
2005,2020-01-10,0.0,5.946079452524726e-07,0
2006,2020-01-11,0.0,6.69506648688324e-07,0
2007,2020-01-12,0.0,7.535209209241379e-07,0
2008,2020-01-13,0.0,8.477060785156198e-07,0
2009,2020-01-14,0.0,9.532308713361578e-07,0
2010,2020-01-15,0.0,1.0713883320973902e-06,0
2011,2020-01-16,0.0,1.2036074684485253e-06,0
2012,2020-01-17,0.0,1.3514658363635875e-06,0
2013,2020-01-18,0.0,1.5167030317442352e-06,0
2014,2020-01-19,0.0,1.7012351348353777e-06,0
2015,2020-01-20,0.0,1.907170139144177e-06,0
2016,2020-01-21,0.0,2.136824393051194e-06,0
2017,2020-01-22,0.0,2.3927400781964713e-06,0
2018,2020-01-23,0.0,2.677703744016088e-06,0
2019,2020-01-24,0.0,2.994765912512412e-06,0
2020,2020-01-25,0.0,3.3472617614950855e-06,0
2021,2020-01-26,0.0,3.7388328881769646e-06,0
2022,2020-01-27,0.0,4.173450148213936e-06,0
2023,2020-01-28,0.0,4.655437558121463e-06,0
2024,2020-01-29,0.0,5.189497241582569e-06,0
2025,2020-01-30,0.0,5.780735392597204e-06,0
2026,2020-01-31,0.0,6.434689220842208e-06,0
2027,2020-02-01,0.0,7.157354837157666e-06,0
2028,2020-02-02,0.0,7.955216029903424e-06,0
2029,2020-02-03,0.0,8.83527387619886e-06,0
2030,2020-02-04,0.0,9.80507712593232e-06,0
2031,2020-02-05,0.0,1.0872753291063934e-05,0
2032,2020-02-06,0.0,1.2047040368298075e-05,0
2033,2020-02-07,0.0,1.333731911980788e-05,0
2034,2020-02-08,0.0,1.4753645834471591e-05,0
2035,2020-02-09,0.0,1.6306785491121348e-05,0
2036,2020-02-10,0.0,1.8008245245670327e-05,0
2037,2020-02-11,0.0,1.987030816569776e-05,0
2038,2020-02-12,0.0,2.1906067139117555e-05,0
2039,2020-02-13,0.0,2.4129458887872897e-05,0
2040,2020-02-14,0.0,2.655529802308058e-05,0
2041,2020-02-15,0.0,2.9199311084538805e-05,0
2042,2020-02-16,0.0,3.2078170514810795e-05,0
2043,2020-02-17,0.0,3.520952852595658e-05,0
2044,2020-02-18,0.0,3.861205082512168e-05,0
2045,2020-02-19,0.0,4.2305450173278865e-05,0
2046,2020-02-20,0.0,4.631051975910848e-05,0
2047,2020-02-21,0.0,5.0649166376917386e-05,0
2048,2020-02-22,0.0,5.5344443403251e-05,0
2049,2020-02-23,0.0,6.0420583571054227e-05,0
2050,2020-02-24,0.0,6.590303154250027e-05,0
2051,2020-02-25,0.0,7.181847628156135e-05,0
2052,2020-02-26,0.0,7.81948832246939e-05,0
2053,2020-02-27,4.690512833655878e-07,8.506152624234601e-05,0
2054,2020-02-28,0.0,9.244901937509309e-05,0
2055,2020-02-29,0.0,0.00010038934831585598,0
2056,2020-03-01,0.0,0.00010891590159369166,0
2057,2020-03-02,4.690512833655878e-07,0.000118063501394974,0
2058,2020-03-03,0.0,0.00012786843393437593,0
2059,2020-03-04,0.0,0.00013836847926096735,0
2060,2020-03-05,0.0,0.0001496029403540754,0
2061,2020-03-06,4.690512833655878e-07,0.0001616126713295145,0
2062,2020-03-07,2.345256416827939e-06,0.00017444010453965194,0
2063,2020-03-08,2.345256416827939e-06,0.00018812927631088733,0
2064,2020-03-09,2.814307700193527e-06,0.0002027258510199088,0
2065,2020-03-10,2.814307700193527e-06,0.00021827714316605148,0
2066,2020-03-11,0.0,0.00023483213705178835,0
2067,2020-03-12,4.22146155029029e-06,0.0002524415036374623,0
2068,2020-03-13,1.2195333367505283e-05,0.0002711576140905225,0
2069,2020-03-14,7.973871817214993e-06,0.00029103454950449846,0
2070,2020-03-15,3.2833589835591148e-06,0.00031212810621953426,0
2071,2020-03-16,1.735489748452675e-05,0.00033449579613535087,0
2072,2020-03-17,3.705505138588144e-05,0.00035819684136987104,0
2073,2020-03-18,1.5947743634429986e-05,0.00038329216258332395,0
2074,2020-03-19,2.6735923151838505e-05,0.0004098443602593476,0
2075,2020-03-20,6.426002582108553e-05,0.00043791768821232384,0
2076,2020-03-21,0.0,0.0004675780185748059,0
2077,2020-03-22,0.000223268410882,0.0004988927975112961,0
2078,2020-03-23,0.0,0.0005319309909056108,0
2079,2020-03-24,0.0003011309239207,0.0005667630192794259,0
2080,2020-03-25,0.0001618226927611,0.0006034606812199753,0
2081,2020-03-26,0.0001454058978433,0.0006420970646259562,0
2082,2020-03-27,0.0001088198977408,0.0006827464451229082,0
2083,2020-03-28,0.0002260827185822,0.0007254841710531466,0
2084,2020-03-29,0.0002354637442495,0.0007703865345109425,0
2085,2020-03-30,0.0002279589237156,0.0008175306279712154,0
2086,2020-03-31,0.000165575103028,0.0008669941861494719,0
2087,2020-04-01,0.000151503564527,0.0009188554128318869,0
2088,2020-04-02,0.00053378036047,0.000973192792526903,0
2089,2020-04-03,0.000524868386086,0.0010300848869129373,0
2090,2020-04-04,0.0005037610783346,0.0010896101161899873,0
2091,2020-04-05,0.0005375327707369,0.0011518465255851572,0
2092,2020-04-06,0.0005731806682727,0.0012168715374122653,0
2093,2020-04-07,0.0003996316934274,0.001284761689242384,0
2094,2020-04-08,0.0004343414883965,0.0013555923589039435,0
2095,2020-04-09,0.0007790941816702,0.0014294374771962018,0
2096,2020-04-10,0.0010366033362379,0.001506369229366612,0
2097,2020-04-11,0.0009052689768955,0.0015864577465689996,0
2098,2020-04-12,0.0008353803356741,0.0016697707886833312,0
2099,2020-04-13,0.0005107968475851,0.001756373420037154,0
2100,2020-04-14,0.0006763719506131,0.001846327679721173,0
2101,2020-04-15,0.000591473668324,0.0019396922483347569,0
2102,2020-04-16,0.0008593019511257,0.002036522113129064,0
2103,2020-04-17,0.0014343588245319,0.0021368682336338142,0
2104,2020-04-18,0.0009873529514845,0.002240777209956279,0
2105,2020-04-19,0.0015277000299217,0.002348290956025842,0
2106,2020-04-20,0.0013682225935774,0.002459446380122513,0
2107,2020-04-21,0.0009639003873162,0.0025742750750714673,0
2108,2020-04-22,0.0009038618230454,0.002692803020506375,0
2109,2020-04-23,0.0011716901058472,0.002815050299600961,0
2110,2020-04-24,0.001256119336853,0.002941030832639699,0
2111,2020-04-25,0.0017519065433704,0.003070752129744431,0
2112,2020-04-26,0.0016430866456296,0.0032042150649934736,0
2113,2020-04-27,0.0025863487764778,0.0033414136740637767,0
2114,2020-04-28,0.0015849242864923,0.003482334977395093,0
2115,2020-04-29,0.0021637335701654,0.0036269588307190283,0
2116,2020-04-30,0.0025258411609236,0.003775257804616325,0
2117,2020-05-01,0.0029437658544024,0.003927197094564381,0
2118,2020-05-02,0.0033856121633328,0.004082734462715943,0
2119,2020-05-03,0.0029123394184169,0.004241820212411294,0
2120,2020-05-04,0.0023311848783269,0.004404397196172747,0
2121,2020-05-05,0.0021520072880813,0.004570400857664873,0
2122,2020-05-06,0.0031112171625639,0.004739759307829548,0
2123,2020-05-07,0.0032528706501403,0.004912393435125171,0
2124,2020-05-08,0.0049264456291887,0.005088217049517482,0
2125,2020-05-09,0.0046379790899189,0.005267137059589042,0
2126,2020-05-10,0.004794642218563,0.005449053681858875,0
2127,2020-05-11,0.0049771031677922,0.005633860681136733,0
2128,2020-05-12,0.0031707866755513,0.005821445640481034,0
2129,2020-05-13,0.0026416968279149,0.0060116902590889275,0
2130,2020-05-14,0.0043424767813986,0.006204470676224187,0
2131,2020-05-15,0.0053401488611172,0.006399657819085922,0
2132,2020-05-16,0.0065404510952497,0.006597117772341084,0
2133,2020-05-17,0.0071788298919103,0.006796712166887839,0
2134,2020-05-18,0.0069977760965312,0.0069982985852866325,0
2135,2020-05-19,0.003723329087356,0.007201730981192111,0
2136,2020-05-20,0.0061633338634238,0.007406860110042288,0
2137,2020-05-21,0.0081652447408281,0.007613533968211472,0
2138,2020-05-22,0.0093580421544268,0.007821598237810144,0
2139,2020-05-23,0.0086812011525302,0.008030896734316915,0
2140,2020-05-24,0.0097576738478543,0.008241271854254094,0
2141,2020-05-25,0.0077430985857991,0.008452565020166856,0
2142,2020-05-26,0.00741710794386,0.008664617120235463,0
2143,2020-05-27,0.0054818023486936,0.008877268939937356,0
2144,2020-05-28,0.0076567931496598,0.009090361583279452,0
2145,2020-05-29,0.0096619873860477,0.009303736881238004,0
2146,2020-05-30,0.0123909277526687,0.00951723778517149,0
2147,2020-05-31,0.0126306129584685,0.009730708743108758,0
2148,2020-06-01,0.0156072124027065,0.009943996056958141,0
2149,2020-06-02,0.0076966625087459,0.010156948218831048,0
2150,2020-06-03,0.005440056784474,0.01036941622482435,0
2151,2020-06-04,0.0135724679354666,0.010581253864758075,0
2152,2020-06-05,0.0134303453966068,0.010792317986517554,0
2153,2020-06-06,0.0145054109380808,0.011002468733801752,0
2154,2020-06-07,0.014460851066161,0.01121156975623152,0
2155,2020-06-08,0.0126995634971232,0.011419488390923507,0
2156,2020-06-09,0.0088706978710099,0.011626095814787766,0
2157,2020-06-10,0.0073425287898049,0.011831267166960462,0
2158,2020-06-11,0.015052324734485,0.012034881640939011,0
2159,2020-06-12,0.0154378848894115,0.012236822546146567,0
2160,2020-06-13,0.0142647876297142,0.012436977338817334,0
2161,2020-06-14,0.0121868904444047,0.012635237622265772,0
2162,2020-06-15,0.0101802890541667,0.012831499116782087,0
2163,2020-06-16,0.0080254674583852,0.013025661599585328,0
2164,2020-06-17,0.0096845018476492,0.013217628815464696,0
2165,2020-06-18,0.0163783327125595,0.013407308358949776,0
2166,2020-06-19,0.0150978227089715,0.01359461152907199,0
2167,2020-06-20,0.0106779524658176,0.013779453158011774,0
