,Date_reported,Indicator,SmoothedCases,cutDatesW
2997,2020-01-03,0.0,5.611169682009727e-08,0
2998,2020-01-04,0.0,6.443688821260064e-08,0
2999,2020-01-05,0.0,7.39579868439038e-08,0
3000,2020-01-06,0.0,8.483922031082877e-08,0
3001,2020-01-07,0.0,9.72659502893585e-08,0
3002,2020-01-08,0.0,1.1144713405028921e-07,0
3003,2020-01-09,0.0,1.2761802717724902e-07,0
3004,2020-01-10,0.0,1.460431433246531e-07,0
3005,2020-01-11,0.0,1.67019486540357e-07,0
3006,2020-01-12,0.0,1.9088007107223284e-07,0
3007,2020-01-13,0.0,2.1799774263610066e-07,0
3008,2020-01-14,0.0,2.4878931380022653e-07,0
3009,2020-01-15,0.0,2.8372002439526923e-07,0
3010,2020-01-16,0.0,3.233083356463347e-07,0
3011,2020-01-17,0.0,3.681310640073798e-07,0
3012,2020-01-18,0.0,4.1882885742464814e-07,0
3013,2020-01-19,0.0,4.761120129395667e-07,0
3014,2020-01-20,0.0,5.407666301466252e-07,0
3015,2020-01-21,0.0,6.136610900441714e-07,0
3016,2020-01-22,0.0,6.957528432660242e-07,0
3017,2020-01-23,0.0,7.880954855861434e-07,0
3018,2020-01-24,0.0,8.918460919928276e-07,0
3019,2020-01-25,0.0,1.00827277359912e-06,0
3020,2020-01-26,0.0,1.1387624142803673e-06,0
3021,2020-01-27,0.0,1.2848285363192399e-06,0
3022,2020-01-28,0.0,1.4481192366271193e-06,0
3023,2020-01-29,0.0,1.6304251274553616e-06,0
3024,2020-01-30,0.0,1.833687208088468e-06,0
3025,2020-01-31,0.0,2.060004587020309e-06,0
3026,2020-02-01,0.0,2.3116419677662475e-06,0
3027,2020-02-02,0.0,2.591036805981298e-06,0
3028,2020-02-03,0.0,2.9008060411659583e-06,0
3029,2020-02-04,0.0,3.243752303175212e-06,0
3030,2020-02-05,0.0,3.6228694922233655e-06,0
3031,2020-02-06,0.0,4.041347631304267e-06,0
3032,2020-02-07,0.0,4.502576892107613e-06,0
3033,2020-02-08,0.0,5.010150699762953e-06,0
3034,2020-02-09,0.0,5.567867828202839e-06,0
3035,2020-02-10,0.0,6.179733406682367e-06,0
3036,2020-02-11,0.0,6.8499587690534515e-06,0
3037,2020-02-12,0.0,7.5829600907462055e-06,0
3038,2020-02-13,0.0,8.383355773980173e-06,0
3039,2020-02-14,0.0,9.255962559382364e-06,0
3040,2020-02-15,0.0,1.0205790361740332e-05,0
3041,2020-02-16,0.0,1.1238035848825436e-05,0
3042,2020-02-17,0.0,1.2358074804794731e-05,0
3043,2020-02-18,0.0,1.357145334328349e-05,0
3044,2020-02-19,0.0,1.4883878059560312e-05,0
3045,2020-02-20,0.0,1.6301205235626093e-05,0
3046,2020-02-21,0.0,1.7829429236465353e-05,0
3047,2020-02-22,0.0,1.9474670259354634e-05,0
3048,2020-02-23,0.0,2.1243161620740283e-05,0
3049,2020-02-24,0.0,2.314123678625822e-05,0
3050,2020-02-25,0.0,2.517531636852973e-05,0
3051,2020-02-26,0.0,2.7351895333992644e-05,0
3052,2020-02-27,0.0,2.96775306738028e-05,0
3053,2020-02-28,0.0,3.2158829804379635e-05,0
3054,2020-02-29,0.0,3.4802439970125046e-05,0
3055,2020-03-01,0.0,3.7615038923908535e-05,0
3056,2020-03-02,0.0,4.060332715982858e-05,0
3057,2020-03-03,0.0,4.3774021967328237e-05,0
3058,2020-03-04,0.0,4.713385356582301e-05,0
3059,2020-03-05,0.0,5.06895635645168e-05,0
3060,2020-03-06,0.0,5.4447905973039254e-05,0
3061,2020-03-07,0.0,5.841565096500772e-05,0
3062,2020-03-08,1.963453995173359e-06,6.259959156876029e-05,0
3063,2020-03-09,0.0,6.700655342756059e-05,0
3064,2020-03-10,0.0,7.164340773586888e-05,0
3065,2020-03-11,3.926907990346718e-06,7.651708741921838e-05,0
3066,2020-03-12,0.0,8.163460658332854e-05,0
3067,2020-03-13,1.1780723971040151e-05,8.700308321390516e-05,0
3068,2020-03-14,7.853815980693435e-06,9.262976506277742e-05,0
3069,2020-03-15,5.8903619855200766e-06,9.852205860932199e-05,0
3070,2020-03-16,1.570763196138687e-05,0.00010468756093931275,0
3071,2020-03-17,4.1232533898640536e-05,0.00011113409433723106,0
3072,2020-03-18,3.926907990346718e-05,0.00011786974334354487,0
3073,2020-03-19,5.497671186485405e-05,0.00012490289398638552,0
3074,2020-03-20,2.9451809927600383e-05,0.0001322422748583002,0
3075,2020-03-21,3.926907990346718e-05,0.0001398969996741897,0
3076,2020-03-22,0.0001335148716717,0.00014787661091697168,0
3077,2020-03-23,0.0,0.00015619112415369795,0
3078,2020-03-24,0.000159039773609,0.0001648510725874779,0
3079,2020-03-25,5.69401658600274e-05,0.00017386755140019194,0
3080,2020-03-26,0.0001413686876524,0.0001832522614380927,0
3081,2020-03-27,0.0001806377675559,0.0001930175517973048,0
3082,2020-03-28,4.1232533898640536e-05,0.00020317646087913754,0
3083,2020-03-29,0.0004555213268802,0.0002137427555060457,0
3084,2020-03-30,0.0001354783256669,0.00022473096771787358,0
3085,2020-03-31,-0.0001767108595656,0.00023615642890439164,0
3086,2020-04-01,0.0001884915835366,0.00024803530097361806,0
3087,2020-04-02,0.0002120530314787,0.00026038460430536915,0
3088,2020-04-03,0.0003121891852325,0.0002732222422951183,0
3089,2020-04-04,0.0001884915835366,0.0002865670223536337,0
3090,2020-04-05,0.0002081261234883,0.0003004386732919489,0
3091,2020-04-06,0.000272920105329,0.00031485785908783834,0
3092,2020-04-07,0.0001551128656186,0.0003298461890978767,0
3093,2020-04-08,0.0001845646755462,0.00034542622484704075,0
3094,2020-04-09,0.0003946542530298,0.0003616214835943379,0
3095,2020-04-10,0.0005379863946775,0.0003784564389367654,0
