,Date_reported,Indicator,SmoothedCases,cutDatesW
10989,2020-01-03,0.0,4.011057177476202e-07,0
10990,2020-01-04,0.0,4.067621580324303e-07,0
10991,2020-01-05,0.0,4.1264185262208245e-07,0
10992,2020-01-06,0.0,4.1892594711447637e-07,0
10993,2020-01-07,0.0,4.2586168916816554e-07,0
10994,2020-01-08,0.0,4.337825951196709e-07,0
10995,2020-01-09,0.0,4.4313444547416783e-07,0
10996,2020-01-10,0.0,4.545087019972759e-07,0
10997,2020-01-11,2.111316725209257e-06,4.6868533349592266e-07,0
10998,2020-01-12,2.111316725209257e-06,4.866875132084045e-07,0
10999,2020-01-13,0.0,5.098512191364103e-07,0
11000,2020-01-14,2.111316725209257e-06,5.39913440320188e-07,0
11001,2020-01-15,0.0,5.791234764118321e-07,0
11002,2020-01-16,0.0,6.303827220840249e-07,0
11003,2020-01-17,0.0,6.9741935540235e-07,0
11004,2020-01-18,0.0,7.85005498800987e-07,0
11005,2020-01-19,0.0,8.992256844761909e-07,0
11006,2020-01-20,2.111316725209257e-06,1.0478068159681464e-06,0
11007,2020-01-21,0.0,1.2405212470043318e-06,0
11008,2020-01-22,0.0,1.4896760574205645e-06,0
11009,2020-01-23,2.111316725209257e-06,1.810703039988818e-06,0
11010,2020-01-24,0.0,2.2228652512785444e-06,0
11011,2020-01-25,0.0,2.750097137283852e-06,0
11012,2020-01-26,0.0,3.421996115825482e-06,0
11013,2020-01-27,0.0,4.274983960364808e-06,0
11014,2020-01-28,0.0,5.3536562446179006e-06,0
11015,2020-01-29,0.0,6.712337319818492e-06,0
11016,2020-01-30,0.0,8.416856639909963e-06,0
11017,2020-01-31,0.0,1.0546559549468453e-05,0
11018,2020-02-01,0.0,1.3196561727473977e-05,0
11019,2020-02-02,2.111316725209257e-06,1.6480251164913145e-05,0
11020,2020-02-03,0.0,2.0532034687828882e-05,0
11021,2020-02-04,0.0,2.5510317487930553e-05,0
11022,2020-02-05,0.0,3.1600693797677847e-05,0
11023,2020-02-06,0.0,3.901931470789283e-05,0
